Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_184_S123_L001_R1_001	53845	2656	37768	13421	0.05	0.7	0.25	0.384	0.046	0.087
2	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_184_S27_L001_R1_001	187892	33158	76438	78296	0.18	0.41	0.42	0.784	0.104	0.154
3	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_212_S124_L001_R1_001	63459	2258	33712	27489	0.04	0.53	0.43	0.552	0.08	0.15
4	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_212_S28_L001_R1_001	828887	44745	103606	680536	0.05	0.12	0.82	0.956	0.152	0.303
5	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_240_S125_L001_R1_001	44818	2175	37294	5349	0.05	0.83	0.12	0.232	0.024	0.167
6	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_240_S29_L001_R1_001	82932	26875	51300	4757	0.32	0.62	0.06	0.55	0.076	0.026
7	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_271_S126_L001_R1_001	26620	978	16009	9633	0.04	0.6	0.36	0.386	0.048	0.125
8	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_271_S30_L001_R1_001	410685	38480	91267	280938	0.09	0.22	0.68	0.862	0.126	0.286
9	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_351_S127_L001_R1_001	30155	1307	20405	8443	0.04	0.68	0.28	0.362	0.046	0.043
10	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_351_S31_L001_R1_001	154495	29363	61950	63182	0.19	0.4	0.41	0.862	0.114	0.105
11	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_356_S128_L001_R1_001	56143	2130	33397	20616	0.04	0.59	0.37	0.504	0.062	0.194
12	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_356_S32_L001_R1_001	289620	24457	57891	207272	0.08	0.2	0.72	0.908	0.132	0.348
13	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_362_S129_L001_R1_001	33799	1644	28471	3684	0.05	0.84	0.11	0.176	0.03	0.2
14	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_362_S33_L001_R1_001	88979	21066	60748	7165	0.24	0.68	0.08	0.556	0.094	0.064
15	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_385_S1_L001_R1_001	90816	22761	60644	7411	0.25	0.67	0.08	0.578	0.092	0.065
16	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_385_S97_L001_R1_001	49616	2393	41437	5786	0.05	0.84	0.12	0.18	0.024	0.25
17	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_392_S2_L001_R1_001	85445	20763	60920	3762	0.24	0.71	0.04	0.442	0.064	0
18	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_392_S98_L001_R1_001	61261	3088	49357	8816	0.05	0.81	0.14	0.294	0.034	0.059
19	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_397_S3_L001_R1_001	119516	22228	86120	11168	0.19	0.72	0.09	0.564	0.088	0.068
20	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_397_S99_L001_R1_001	48916	2226	38535	8155	0.05	0.79	0.17	0.312	0.05	0.2
21	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_401_S100_L001_R1_001	137583	6941	128525	2117	0.05	0.93	0.02	0.052	0.008	0.25
22	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_401_S4_L001_R1_001	91195	24862	65965	368	0.27	0.72	0	0.076	0.018	0
23	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_406_S101_L001_R1_001	104898	5212	86860	12826	0.05	0.83	0.12	0.318	0.046	0.13
24	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_406_S5_L001_R1_001	96874	27355	62805	6714	0.28	0.65	0.07	0.66	0.086	0
25	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_407_S102_L001_R1_001	88132	4344	78000	5788	0.05	0.89	0.07	0.146	0.02	0.1
26	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_407_S6_L001_R1_001	35473	10581	24607	285	0.3	0.69	0.01	0.064	0.01	0
27	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_411_S103_L001_R1_001	45082	2228	36256	6598	0.05	0.8	0.15	0.25	0.04	0.15
28	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_411_S7_L001_R1_001	63925	18465	40896	4564	0.29	0.64	0.07	0.516	0.086	0.047
29	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_413_S104_L001_R1_001	89061	4769	69192	15100	0.05	0.78	0.17	0.322	0.046	0.174
30	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_413_S8_L001_R1_001	76887	20225	46144	10518	0.26	0.6	0.14	0.67	0.092	0.065
31	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_414_S105_L001_R1_001	31527	1593	28011	1923	0.05	0.89	0.06	0.094	0.014	0.143
32	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_414_S9_L001_R1_001	69126	19318	49297	511	0.28	0.71	0.01	0.124	0.022	0
33	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_415_S10_L001_R1_001	119193	35744	60437	23012	0.3	0.51	0.19	0.812	0.122	0.082
34	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_415_S106_L001_R1_001	36156	1864	27254	7038	0.05	0.75	0.19	0.324	0.068	0.029
35	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_418_S107_L001_R1_001	76974	4234	55745	16995	0.06	0.72	0.22	0.442	0.072	0.028
36	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_418_S11_L001_R1_001	80866	20636	49268	10962	0.26	0.61	0.14	0.708	0.098	0.02
37	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_422_S108_L001_R1_001	85445	4404	75104	5937	0.05	0.88	0.07	0.182	0.036	0.056
38	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_422_S12_L001_R1_001	107873	33216	73018	1639	0.31	0.68	0.02	0.324	0.048	0
39	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_425_S109_L001_R1_001	44645	2371	37754	4520	0.05	0.85	0.1	0.196	0.036	0.111
40	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_425_S13_L001_R1_001	59289	21901	35472	1916	0.37	0.6	0.03	0.366	0.066	0
41	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_429_S110_L001_R1_001	18191	947	15291	1953	0.05	0.84	0.11	0.148	0.028	0.071
42	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_429_S14_L001_R1_001	68151	19719	45555	2877	0.29	0.67	0.04	0.436	0.082	0.024
43	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_431_S111_L001_R1_001	60531	3218	47313	10000	0.05	0.78	0.17	0.336	0.048	0.083
44	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_431_S15_L001_R1_001	89444	23051	53290	13103	0.26	0.6	0.15	0.722	0.102	0.039
45	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_440_S112_L001_R1_001	20926	1065	16466	3395	0.05	0.79	0.16	0.198	0.03	0
46	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_440_S16_L001_R1_001	116425	24435	82765	9225	0.21	0.71	0.08	0.654	0.09	0.022
47	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_442_S113_L001_R1_001	45523	2245	36164	7114	0.05	0.79	0.16	0.278	0.038	0.158
48	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_442_S17_L001_R1_001	153185	30554	95857	26774	0.2	0.63	0.17	0.746	0.096	0.062
49	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_445_S114_L001_R1_001	37353	1821	27714	7818	0.05	0.74	0.21	0.336	0.054	0.074
50	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_445_S18_L001_R1_001	88383	17342	38045	32996	0.2	0.43	0.37	0.784	0.106	0.151
51	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_465_S115_L001_R1_001	65332	3053	45930	16349	0.05	0.7	0.25	0.384	0.07	0.086
52	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_465_S19_L001_R1_001	135493	28479	58017	48997	0.21	0.43	0.36	0.734	0.128	0.125
53	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_467_S116_L001_R1_001	57232	2674	45114	9444	0.05	0.79	0.17	0.326	0.052	0.115
54	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_467_S20_L001_R1_001	116996	24817	63750	28429	0.21	0.54	0.24	0.702	0.104	0.096
55	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_472_S117_L001_R1_001	48392	2546	41651	4195	0.05	0.86	0.09	0.158	0.034	0.059
56	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_472_S21_L001_R1_001	95351	30964	61636	2751	0.32	0.65	0.03	0.4	0.072	0.028
57	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_473_S118_L001_R1_001	49096	2233	36073	10790	0.05	0.73	0.22	0.34	0.054	0.074
58	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_473_S22_L001_R1_001	182443	30219	87265	64959	0.17	0.48	0.36	0.732	0.104	0.154
59	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_477_S119_L001_R1_001	59300	3125	51143	5032	0.05	0.86	0.08	0.194	0.038	0.158
60	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_477_S23_L001_R1_001	79797	22678	52679	4440	0.28	0.66	0.06	0.548	0.104	0.019
61	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_479_S120_L001_R1_001	24026	1190	16905	5931	0.05	0.7	0.25	0.3	0.046	0.043
62	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_479_S24_L001_R1_001	66360	8706	33506	24148	0.13	0.5	0.36	0.662	0.1	0.08
63	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_484_S121_L001_R1_001	66335	3214	50160	12961	0.05	0.76	0.2	0.334	0.054	0.111
64	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_484_S25_L001_R1_001	131840	29457	70489	31894	0.22	0.53	0.24	0.796	0.13	0.123
65	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_485_S122_L001_R1_001	67861	3683	49407	14771	0.05	0.73	0.22	0.446	0.062	0.065
66	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_485_S26_L001_R1_001	113003	30194	55250	27559	0.27	0.49	0.24	0.854	0.106	0.113
67	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_002_S130_L001_R1_001	39004	1989	31880	5135	0.05	0.82	0.13	0.256	0.04	0.05
