Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	38	22	0.58
Tpa_0012	2384	165	0.07
Tpa_0024	91	0	0.00
Tpa_0035	250	23	0.09
Tpa_0037	641	6	0.01
Tpa_0095	12114	3817	0.32
Tpa_0151	7341	6070	0.83
Tpa_0183	729	526	0.72
Tpa_0186	941	24	0.03
Tpa_0215	67	0	0.00
Tpa_0226	4	4	1.00
Tpa_0228	940	4	0.00
Tpa_0263	157	27	0.17
Tpa_0269	1635	9	0.01
Tpa_0272	24	0	0.00
Tpa_0301	4893	4772	0.98
Tpa_0342	591	510	0.86
Tpa_0346	1003	10	0.01
Tpa_0358	149	67	0.45
Tpa_0366	44420	326	0.01
Tpa_0367	152	34	0.22
Tpa_0371	566	154	0.27
Tpa_0395	177	143	0.81
Tpa_0409	1102	0	0.00
Tpa_0427	98	80	0.82
Tpa_0429	782	11	0.01
Tpa_0438	2388	13	0.01
Tpa_0439	351	285	0.81
Tpa_0474	12	1	0.08
Tpa_0492	1019	1	0.00
Tpa_0500	468	1	0.00
Tpa_0540	6348	2	0.00
Tpa_0547	2556	134	0.05
Tpa_0556	2478	2	0.00
Tpa_0569	472	290	0.61
Tpa_0584	2124	7	0.00
Tpa_0592	6923	2810	0.41
Tpa_0650	26764	9	0.00
Tpa_0671	150	133	0.89
Tpa_0678	22	2	0.09
Tpa_0687	234	27	0.12
Tpa_0730	522	19	0.04
Tpa_0743	76	75	0.99
Tpa_0763	419	101	0.24
Tpa_0768	88	11	0.12
Tpa_0791	11033	117	0.01
Tpa_0826	545	13	0.02
Tpa_0866	9922	7466	0.75
Tpa_0868	2	0	0.00
Tpa_0882	1	1	1.00
Tpa_0888	42888	136	0.00
Tpa_0895	531	5	0.01
Tpa_0905	1636	146	0.09
Tpa_0912	253	0	0.00
Tpa_0929	1013	2	0.00
Tpa_0936	14292	27	0.00
Tpa_0953	61675	3191	0.05
Tpa_0970	24	0	0.00
Tpa_0973	38853	0	0.00
Tpa_0979	39260	6	0.00
