sample	GenotypeRate	Heterozygosity	conScore
1	52507_184_S123_L001_R1_001	0.384	0.046	0.087
2	52507_212_S124_L001_R1_001	0.552	0.08	0.15
3	52507_240_S125_L001_R1_001	0.232	0.024	0.167
4	52507_271_S126_L001_R1_001	0.386	0.048	0.125
5	52507_351_S127_L001_R1_001	0.362	0.046	0.043
6	52507_356_S128_L001_R1_001	0.504	0.062	0.194
7	52507_362_S129_L001_R1_001	0.176	0.03	0.2
8	52507_385_S97_L001_R1_001	0.18	0.024	0.25
9	52507_392_S98_L001_R1_001	0.294	0.034	0.059
10	52507_397_S99_L001_R1_001	0.312	0.05	0.2
11	52507_401_S100_L001_R1_001	0.052	0.008	0.25
12	52507_406_S101_L001_R1_001	0.318	0.046	0.13
13	52507_407_S102_L001_R1_001	0.146	0.02	0.1
14	52507_411_S103_L001_R1_001	0.25	0.04	0.15
15	52507_413_S104_L001_R1_001	0.322	0.046	0.174
16	52507_414_S105_L001_R1_001	0.094	0.014	0.143
17	52507_415_S106_L001_R1_001	0.324	0.068	0.029
18	52507_418_S107_L001_R1_001	0.442	0.072	0.028
19	52507_422_S108_L001_R1_001	0.182	0.036	0.056
20	52507_425_S109_L001_R1_001	0.196	0.036	0.111
21	52507_429_S110_L001_R1_001	0.148	0.028	0.071
22	52507_431_S111_L001_R1_001	0.336	0.048	0.083
23	52507_440_S112_L001_R1_001	0.198	0.03	0
24	52507_442_S113_L001_R1_001	0.278	0.038	0.158
25	52507_445_S114_L001_R1_001	0.336	0.054	0.074
26	52507_465_S115_L001_R1_001	0.384	0.07	0.086
27	52507_467_S116_L001_R1_001	0.326	0.052	0.115
28	52507_472_S117_L001_R1_001	0.158	0.034	0.059
29	52507_473_S118_L001_R1_001	0.34	0.054	0.074
30	52507_477_S119_L001_R1_001	0.194	0.038	0.158
31	52507_479_S120_L001_R1_001	0.3	0.046	0.043
32	52507_484_S121_L001_R1_001	0.334	0.054	0.111
33	52507_485_S122_L001_R1_001	0.446	0.062	0.065
34	52508_002_S130_L001_R1_001	0.256	0.04	0.05
35	52508_004_S131_L001_R1_001	0.106	0.018	0.222
36	52508_011_S132_L001_R1_001	0.458	0.056	0.071
37	52508_014_S133_L001_R1_001	0.106	0.012	0
38	52508_017_S134_L001_R1_001	0.416	0.054	0.185
39	52508_019_S135_L001_R1_001	0.162	0.032	0.125
40	52508_022_S136_L001_R1_001	0.05	0.012	0
41	52508_024_S137_L001_R1_001	0.134	0.016	0.125
42	52508_025_S138_L001_R1_001	0.228	0.046	0.13
43	52508_027_S139_L001_R1_001	0.294	0.05	0
44	52508_031_S140_L001_R1_001	0.24	0.03	0
45	52508_033_S141_L001_R1_001	0.276	0.044	0.182
46	52508_036_S142_L001_R1_001	0.338	0.066	0.182
47	52508_039_S143_L001_R1_001	0.14	0.018	0.111
48	52508_040_S144_L001_R1_001	0.206	0.032	0.062
49	52508_043_S145_L001_R1_001	0.212	0.044	0.136
50	52508_046_S146_L001_R1_001	0.246	0.038	0.053
51	52508_047_S147_L001_R1_001	0.166	0.026	0
52	52508_052_S148_L001_R1_001	0.434	0.062	0.097
53	52508_056_S149_L001_R1_001	0.162	0.03	0.2
54	52508_062_S150_L001_R1_001	0.19	0.028	0
55	52508_064_S151_L001_R1_001	0.13	0.012	0.333
56	52508_065_S152_L001_R1_001	0.272	0.044	0
57	52508_069_S153_L001_R1_001	0.334	0.056	0.071
58	52508_070_S154_L001_R1_001	0.196	0.034	0.235
59	52508_078_S155_L001_R1_001	0.268	0.036	0.056
60	52508_079_S156_L001_R1_001	0.394	0.042	0.048
61	52508_086_S157_L001_R1_001	0.072	0.006	0
62	52508_087_S158_L001_R1_001	0.248	0.042	0.095
63	52508_088_S159_L001_R1_001	0.39	0.074	0.081
64	52508_090_S160_L001_R1_001	0.316	0.05	0.12
65	52508_091_S161_L001_R1_001	0.034	0.004	0.5
66	52508_101_S162_L001_R1_001	0.066	0.006	0
67	52508_105_S163_L001_R1_001	0.368	0.062	0.161
68	52508_106_S164_L001_R1_001	0.314	0.054	0.111
69	52508_111_S165_L001_R1_001	0.104	0.016	0
70	52508_114_S166_L001_R1_001	0.05	0.01	0.2
71	52508_115_S167_L001_R1_001	0.186	0.024	0.083
72	52508_117_S168_L001_R1_001	0.028	0.002	1
73	52508_119_S169_L001_R1_001	0.286	0.054	0.037
74	52508_127_S170_L001_R1_001	0.44	0.076	0.053
75	52508_129_S171_L001_R1_001	0.164	0.024	0.083
76	52508_131_S172_L001_R1_001	0.294	0.05	0.12
