Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	52507_212_S28_L001_R1_001	828887	44745	103606	680536	0.05	0.12	0.82	0.956	0.152	0.303
2	52507_271_S30_L001_R1_001	410685	38480	91267	280938	0.09	0.22	0.68	0.862	0.126	0.286
3	52507_351_S31_L001_R1_001	154495	29363	61950	63182	0.19	0.4	0.41	0.862	0.114	0.105
4	52507_356_S32_L001_R1_001	289620	24457	57891	207272	0.08	0.2	0.72	0.908	0.132	0.348
5	52507_415_S10_L001_R1_001	119193	35744	60437	23012	0.3	0.51	0.19	0.812	0.122	0.082
6	52507_485_S26_L001_R1_001	113003	30194	55250	27559	0.27	0.49	0.24	0.854	0.106	0.113
7	52508_011_S36_L001_R1_001	830873	42847	71839	716187	0.05	0.09	0.86	0.952	0.148	0.297
8	52508_017_S38_L001_R1_001	384102	35060	127537	221505	0.09	0.33	0.58	0.828	0.12	0.183
9	52508_079_S60_L001_R1_001	242328	31668	107403	103257	0.13	0.44	0.43	0.842	0.1	0.16
10	52508_088_S63_L001_R1_001	196990	27327	50029	119634	0.14	0.25	0.61	0.808	0.136	0.235
11	52508_127_S74_L001_R1_001	448067	38790	66336	342941	0.09	0.15	0.77	0.852	0.122	0.295
12	52508_149_S82_L001_R1_001	182383	30569	52199	99615	0.17	0.29	0.55	0.83	0.132	0.242
13	52508_174_S89_L001_R1_001	241968	37668	86594	117706	0.16	0.36	0.49	0.884	0.122	0.311
