Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
52507_240_S29_L001_R1_001	82932	26875	51300	4757	0.32	0.62	0.06	0.55	0.076	0.026
52507_362_S33_L001_R1_001	88979	21066	60748	7165	0.24	0.68	0.08	0.556	0.094	0.064
52507_385_S1_L001_R1_001	90816	22761	60644	7411	0.25	0.67	0.08	0.578	0.092	0.065
52507_392_S2_L001_R1_001	85445	20763	60920	3762	0.24	0.71	0.04	0.442	0.064	0
52507_397_S3_L001_R1_001	119516	22228	86120	11168	0.19	0.72	0.09	0.564	0.088	0.068
52507_401_S4_L001_R1_001	91195	24862	65965	368	0.27	0.72	0	0.076	0.018	0
52507_406_S5_L001_R1_001	96874	27355	62805	6714	0.28	0.65	0.07	0.66	0.086	0
52507_407_S6_L001_R1_001	35473	10581	24607	285	0.3	0.69	0.01	0.064	0.01	0
52507_411_S7_L001_R1_001	63925	18465	40896	4564	0.29	0.64	0.07	0.516	0.086	0.047
52507_413_S8_L001_R1_001	76887	20225	46144	10518	0.26	0.6	0.14	0.67	0.092	0.065
52507_414_S9_L001_R1_001	69126	19318	49297	511	0.28	0.71	0.01	0.124	0.022	0
52507_418_S11_L001_R1_001	80866	20636	49268	10962	0.26	0.61	0.14	0.708	0.098	0.02
52507_422_S12_L001_R1_001	107873	33216	73018	1639	0.31	0.68	0.02	0.324	0.048	0
52507_425_S13_L001_R1_001	59289	21901	35472	1916	0.37	0.6	0.03	0.366	0.066	0
52507_429_S14_L001_R1_001	68151	19719	45555	2877	0.29	0.67	0.04	0.436	0.082	0.024
52507_440_S16_L001_R1_001	116425	24435	82765	9225	0.21	0.71	0.08	0.654	0.09	0.022
52507_442_S17_L001_R1_001	153185	30554	95857	26774	0.2	0.63	0.17	0.746	0.096	0.062
52507_472_S21_L001_R1_001	95351	30964	61636	2751	0.32	0.65	0.03	0.4	0.072	0.028
52508_004_S35_L001_R1_001	114796	29689	83869	1238	0.26	0.73	0.01	0.128	0.024	0
52508_014_S37_L001_R1_001	75729	24449	50049	1231	0.32	0.66	0.02	0.226	0.032	0
52508_019_S39_L001_R1_001	76263	22842	51363	2058	0.3	0.67	0.03	0.31	0.05	0.04
52508_022_S40_L001_R1_001	92623	26278	65666	679	0.28	0.71	0.01	0.144	0.024	0
52508_024_S41_L001_R1_001	75741	20599	54070	1072	0.27	0.71	0.01	0.184	0.032	0
52508_025_S42_L001_R1_001	77302	19990	56327	985	0.26	0.73	0.01	0.15	0.042	0
52508_031_S44_L001_R1_001	100604	26565	71470	2569	0.26	0.71	0.03	0.384	0.05	0.04
52508_039_S47_L001_R1_001	79177	24487	52168	2522	0.31	0.66	0.03	0.258	0.04	0
52508_040_S48_L001_R1_001	80396	23179	54491	2726	0.29	0.68	0.03	0.46	0.068	0
52508_046_S50_L001_R1_001	80517	25767	51924	2826	0.32	0.64	0.04	0.47	0.076	0.026
52508_047_S51_L001_R1_001	103567	33715	67518	2334	0.33	0.65	0.02	0.406	0.064	0
52508_056_S53_L001_R1_001	94188	22476	69134	2578	0.24	0.73	0.03	0.374	0.046	0.043
52508_062_S54_L001_R1_001	79166	26230	50582	2354	0.33	0.64	0.03	0.412	0.064	0
52508_064_S55_L001_R1_001	80198	25844	52994	1360	0.32	0.66	0.02	0.248	0.042	0
52508_070_S58_L001_R1_001	71862	26659	41740	3463	0.37	0.58	0.05	0.52	0.098	0
52508_078_S59_L001_R1_001	100132	30387	64856	4889	0.3	0.65	0.05	0.568	0.08	0
52508_086_S61_L001_R1_001	88575	28411	59475	689	0.32	0.67	0.01	0.116	0.018	0
52508_091_S65_L001_R1_001	138956	34876	102042	2038	0.25	0.73	0.01	0.302	0.056	0.107
52508_101_S66_L001_R1_001	74400	23890	49554	956	0.32	0.67	0.01	0.206	0.032	0
52508_111_S69_L001_R1_001	59541	21288	37557	696	0.36	0.63	0.01	0.15	0.022	0
52508_114_S70_L001_R1_001	98700	31027	67228	445	0.31	0.68	0	0.092	0.022	0
52508_115_S71_L001_R1_001	79713	25583	51793	2337	0.32	0.65	0.03	0.404	0.068	0
52508_117_S72_L001_R1_001	121005	30028	90310	667	0.25	0.75	0.01	0.122	0.018	0.111
52508_129_S75_L001_R1_001	129484	35762	88410	5312	0.28	0.68	0.04	0.486	0.08	0.025
52508_131_S76_L001_R1_001	115789	26219	84522	5048	0.23	0.73	0.04	0.54	0.084	0
52508_134_S77_L001_R1_001	70613	21149	47705	1759	0.3	0.68	0.02	0.292	0.046	0
52508_135_S78_L001_R1_001	62236	20918	41057	261	0.34	0.66	0	0.056	0.018	0
52508_139_S79_L001_R1_001	97800	26833	64835	6132	0.27	0.66	0.06	0.644	0.098	0
52508_143_S80_L001_R1_001	82750	17947	59697	5106	0.22	0.72	0.06	0.48	0.088	0.045
52508_145_S81_L001_R1_001	10081	2337	6359	1385	0.23	0.63	0.14	0.28	0.06	0
52508_158_S85_L001_R1_001	92174	28707	60133	3334	0.31	0.65	0.04	0.44	0.052	0.038
52508_167_S86_L001_R1_001	96080	27875	68165	40	0.29	0.71	0	0.002	0	NA
