sample	GenotypeRate	Heterozygosity	conScore
1	52507_184_S27_L001_R1_001	0.784	0.104	0.154
2	52507_212_S28_L001_R1_001	0.956	0.152	0.303
3	52507_240_S29_L001_R1_001	0.55	0.076	0.026
4	52507_271_S30_L001_R1_001	0.862	0.126	0.286
5	52507_351_S31_L001_R1_001	0.862	0.114	0.105
6	52507_356_S32_L001_R1_001	0.908	0.132	0.348
7	52507_362_S33_L001_R1_001	0.556	0.094	0.064
8	52507_385_S1_L001_R1_001	0.578	0.092	0.065
9	52507_392_S2_L001_R1_001	0.442	0.064	0
10	52507_397_S3_L001_R1_001	0.564	0.088	0.068
11	52507_401_S4_L001_R1_001	0.076	0.018	0
12	52507_406_S5_L001_R1_001	0.66	0.086	0
13	52507_407_S6_L001_R1_001	0.064	0.01	0
14	52507_411_S7_L001_R1_001	0.516	0.086	0.047
15	52507_413_S8_L001_R1_001	0.67	0.092	0.065
16	52507_414_S9_L001_R1_001	0.124	0.022	0
17	52507_415_S10_L001_R1_001	0.812	0.122	0.082
18	52507_418_S11_L001_R1_001	0.708	0.098	0.02
19	52507_422_S12_L001_R1_001	0.324	0.048	0
20	52507_425_S13_L001_R1_001	0.366	0.066	0
21	52507_429_S14_L001_R1_001	0.436	0.082	0.024
22	52507_431_S15_L001_R1_001	0.722	0.102	0.039
23	52507_440_S16_L001_R1_001	0.654	0.09	0.022
24	52507_442_S17_L001_R1_001	0.746	0.096	0.062
25	52507_445_S18_L001_R1_001	0.784	0.106	0.151
26	52507_465_S19_L001_R1_001	0.734	0.128	0.125
27	52507_467_S20_L001_R1_001	0.702	0.104	0.096
28	52507_472_S21_L001_R1_001	0.4	0.072	0.028
29	52507_473_S22_L001_R1_001	0.732	0.104	0.154
30	52507_477_S23_L001_R1_001	0.548	0.104	0.019
31	52507_479_S24_L001_R1_001	0.662	0.1	0.08
32	52507_484_S25_L001_R1_001	0.796	0.13	0.123
33	52507_485_S26_L001_R1_001	0.854	0.106	0.113
34	52508_002_S34_L001_R1_001	0.596	0.114	0.053
35	52508_004_S35_L001_R1_001	0.128	0.024	0
36	52508_011_S36_L001_R1_001	0.952	0.148	0.297
37	52508_014_S37_L001_R1_001	0.226	0.032	0
38	52508_017_S38_L001_R1_001	0.828	0.12	0.183
39	52508_019_S39_L001_R1_001	0.31	0.05	0.04
40	52508_022_S40_L001_R1_001	0.144	0.024	0
41	52508_024_S41_L001_R1_001	0.184	0.032	0
42	52508_025_S42_L001_R1_001	0.15	0.042	0
43	52508_027_S43_L001_R1_001	0.656	0.108	0.093
44	52508_031_S44_L001_R1_001	0.384	0.05	0.04
45	52508_033_S45_L001_R1_001	0.594	0.106	0.057
46	52508_036_S46_L001_R1_001	0.738	0.15	0.147
47	52508_039_S47_L001_R1_001	0.258	0.04	0
48	52508_040_S48_L001_R1_001	0.46	0.068	0
49	52508_043_S49_L001_R1_001	0.64	0.114	0.053
50	52508_046_S50_L001_R1_001	0.47	0.076	0.026
51	52508_047_S51_L001_R1_001	0.406	0.064	0
