Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	90763-231_S1_L001_R1_001	588898	50841	105653	432404	0.09	0.18	0.73	0.939	0.153	0.452
2	90763-232_S2_L001_R1_001	217583	34429	57882	125272	0.16	0.27	0.58	0.901	0.13	0.21
3	90763-236_S3_L001_R1_001	4756319	109986	294944	4351389	0.02	0.06	0.91	0.968	0.153	0.699
4	90763-237_S4_L001_R1_001	66181	24946	38868	2367	0.38	0.59	0.04	0.532	0.103	0
5	90763-238_S5_L001_R1_001	149061	41291	72378	35392	0.28	0.49	0.24	0.905	0.126	0.117
6	90768-005_S6_L001_R1_001	377372	47019	93835	236518	0.12	0.25	0.63	0.901	0.132	0.317
7	90768-009_S7_L001_R1_001	99195	39192	58420	1583	0.4	0.59	0.02	0.378	0.061	0
8	90768-014_S8_L001_R1_001	97030	39438	55933	1659	0.41	0.58	0.02	0.399	0.078	0.054
9	90768-015_S9_L001_R1_001	109187	35112	66109	7966	0.32	0.61	0.07	0.763	0.116	0.018
10	90768-018_S10_L001_R1_001	97178	36431	58037	2710	0.37	0.6	0.03	0.42	0.078	0.054
11	90768-027_S11_L001_R1_001	124137	41534	68505	14098	0.33	0.55	0.11	0.788	0.145	0.13
12	90768-029_S12_L001_R1_001	118420	32704	51497	34219	0.28	0.43	0.29	0.792	0.122	0.207
13	90768-034_S13_L001_R1_001	72839	28769	42532	1538	0.39	0.58	0.02	0.332	0.065	0
14	90768-040_S14_L001_R1_001	111228	33713	57705	19810	0.3	0.52	0.18	0.784	0.124	0.085
15	90768-042_S15_L001_R1_001	87526	30450	46018	11058	0.35	0.53	0.13	0.794	0.122	0.052
16	90768-044_S16_L001_R1_001	132868	28150	47510	57208	0.21	0.36	0.43	0.868	0.134	0.141
17	90768-054_S17_L001_R1_001	83460	31863	50737	860	0.38	0.61	0.01	0.231	0.029	0
18	90768-055_S18_L001_R1_001	120800	34429	51060	35311	0.29	0.42	0.29	0.897	0.155	0.054
19	90768-056_S19_L001_R1_001	87832	34411	50737	2684	0.39	0.58	0.03	0.458	0.074	0
20	90768-057_S20_L001_R1_001	100304	35831	55132	9341	0.36	0.55	0.09	0.748	0.128	0.082
21	90768-061_S21_L001_R1_001	105319	41064	62122	2133	0.39	0.59	0.02	0.439	0.076	0
22	90768-064_S22_L001_R1_001	103990	37903	60656	5431	0.36	0.58	0.05	0.674	0.107	0.059
23	90768-067_S23_L001_R1_001	89980	32551	50517	6912	0.36	0.56	0.08	0.733	0.109	0.058
24	90768-075_S24_L001_R1_001	121436	37316	63835	20285	0.31	0.53	0.17	0.876	0.141	0.075
25	90768-076_S25_L001_R1_001	123631	43820	76622	3189	0.35	0.62	0.03	0.569	0.092	0
26	90768-077_S26_L001_R1_001	85266	33677	49393	2196	0.39	0.58	0.03	0.378	0.063	0.033
27	90768-078_S27_L001_R1_001	174904	50582	97638	26684	0.29	0.56	0.15	0.866	0.145	0.043
28	90768-083_S28_L001_R1_001	90044	30043	58314	1687	0.33	0.65	0.02	0.382	0.076	0.028
29	90768-084_S29_L001_R1_001	91927	36639	52207	3081	0.4	0.57	0.03	0.569	0.109	0
30	90768-088_S30_L001_R1_001	83009	31656	49666	1687	0.38	0.6	0.02	0.395	0.069	0.03
31	90768-090_S31_L001_R1_001	78008	30567	47214	227	0.39	0.61	0	0.057	0.023	0
32	90768-104_S32_L001_R1_001	83482	31901	51063	518	0.38	0.61	0.01	0.111	0.013	0
33	90768-107_S33_L001_R1_001	95426	34220	54956	6250	0.36	0.58	0.07	0.689	0.095	0.044
34	90768-109_S34_L001_R1_001	269274	52214	106529	110531	0.19	0.4	0.41	0.905	0.126	0.167
35	90768-114_S35_L001_R1_001	78147	30862	45973	1312	0.39	0.59	0.02	0.305	0.059	0
36	90768-115_S36_L001_R1_001	172516	43897	87298	41321	0.25	0.51	0.24	0.874	0.122	0.172
37	90768-120_S37_L001_R1_001	82611	26796	40128	15687	0.32	0.49	0.19	0.836	0.153	0.068
38	90768-121_S38_L001_R1_001	74406	28095	43197	3114	0.38	0.58	0.04	0.536	0.08	0
39	90768-127_S39_L001_R1_001	126173	36831	57850	31492	0.29	0.46	0.25	0.863	0.128	0.082
40	90768-130_S40_L001_R1_001	129052	38254	67496	23302	0.3	0.52	0.18	0.853	0.132	0.079
41	90768-133_S41_L001_R1_001	209101	41357	72245	95499	0.2	0.35	0.46	0.908	0.122	0.155
42	90768-137_S42_L001_R1_001	89089	30983	50021	8085	0.35	0.56	0.09	0.679	0.124	0.051
43	90768-138_S43_L001_R1_001	133739	43545	76792	13402	0.33	0.57	0.1	0.723	0.134	0.062
44	90768-143_S44_L001_R1_001	131351	45394	85817	140	0.35	0.65	0	0.025	0.004	0
