Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	8876	8295	0.93
Tpa_0012	45306	41756	0.92
Tpa_0024	8402	26	0.00
Tpa_0035	6566	6147	0.94
Tpa_0037	13400	2255	0.17
Tpa_0095	175765	170591	0.97
Tpa_0151	282079	244273	0.87
Tpa_0183	229183	168703	0.74
Tpa_0186	8074	7500	0.93
Tpa_0215	511	10	0.02
Tpa_0226	954	798	0.84
Tpa_0228	3587	1404	0.39
Tpa_0263	44121	14576	0.33
Tpa_0269	5541	5156	0.93
Tpa_0272	147	124	0.84
Tpa_0301	212202	206491	0.97
Tpa_0342	66806	62349	0.93
Tpa_0346	22144	21169	0.96
Tpa_0358	7540	7283	0.97
Tpa_0366	85006	24080	0.28
Tpa_0367	7131	6705	0.94
Tpa_0371	52616	50459	0.96
Tpa_0395	38885	37879	0.97
Tpa_0409	4604	3918	0.85
Tpa_0427	17187	16690	0.97
Tpa_0429	7730	6261	0.81
Tpa_0438	10689	3649	0.34
Tpa_0439	97190	93614	0.96
Tpa_0474	7178	129	0.02
Tpa_0492	9800	5501	0.56
Tpa_0500	62680	1591	0.03
Tpa_0540	81231	1705	0.02
Tpa_0547	66304	40669	0.61
Tpa_0556	8447	2768	0.33
Tpa_0569	39698	25128	0.63
Tpa_0592	122883	114422	0.93
Tpa_0650	49303	5770	0.12
Tpa_0671	29902	29136	0.97
Tpa_0678	400	188	0.47
Tpa_0730	14581	10750	0.74
Tpa_0743	9679	9380	0.97
Tpa_0763	23917	23004	0.96
Tpa_0768	31576	588	0.02
Tpa_0826	2208	2038	0.92
Tpa_0866	241256	234137	0.97
Tpa_0868	142	88	0.62
Tpa_0882	399	371	0.93
Tpa_0888	50093	22206	0.44
Tpa_0895	14004	10732	0.77
Tpa_0905	28278	26716	0.94
Tpa_0912	5617	421	0.07
Tpa_0929	7207	2810	0.39
Tpa_0936	26709	7013	0.26
Tpa_0953	121143	113354	0.94
Tpa_0970	79	60	0.76
Tpa_0973	349	121	0.35
Tpa_0979	111613	27112	0.24
