Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_232A_S2_L001_R1_001	167230	4734	139026	23470	0.03	0.83	0.14	0.542	0.067	0.25
90763_236A_S3_L001_R1_001	105943	2215	62937	40791	0.02	0.59	0.39	0.67	0.097	0.217
90763_237A_S4_L001_R1_001	137016	4014	128824	4178	0.03	0.94	0.03	0.218	0.046	0.091
90763_238A_S5_L001_R1_001	126829	3678	111248	11903	0.03	0.88	0.09	0.393	0.05	0.042
90768_005A_S6_L001_R1_001	137464	3361	111392	22711	0.02	0.81	0.17	0.466	0.067	0.281
90768_009A_S7_L001_R1_001	113657	3400	109060	1197	0.03	0.96	0.01	0.095	0.011	0.2
90768_014A_S8_L001_R1_001	70912	3762	66576	574	0.05	0.94	0.01	0.078	0.017	0
90768_015A_S9_L001_R1_001	279329	7989	260126	11214	0.03	0.93	0.04	0.229	0.055	0.077
90768_018A_S10_L001_R1_001	140979	3932	134657	2390	0.03	0.96	0.02	0.113	0.017	0.25
90768_027A_S11_L001_R1_001	112933	3337	101107	8489	0.03	0.9	0.08	0.275	0.053	0.08
90768_029A_S12_L001_R1_001	186897	5092	167254	14551	0.03	0.89	0.08	0.33	0.067	0.188
90768_034A_S13_L001_R1_001	94746	2804	90418	1524	0.03	0.95	0.02	0.101	0.019	0.111
90768_040A_S14_L001_R1_001	142323	4203	129128	8992	0.03	0.91	0.06	0.273	0.04	0.105
90768_042A_S15_L001_R1_001	93458	2901	85282	5275	0.03	0.91	0.06	0.223	0.032	0.133
90768_044A_S16_L001_R1_001	90893	2547	76907	11439	0.03	0.85	0.13	0.38	0.069	0.091
90768_054A_S17_L001_R1_001	192787	5545	186535	707	0.03	0.97	0	0.053	0.011	0
90768_055A_S18_L001_R1_001	103621	3058	88019	12544	0.03	0.85	0.12	0.424	0.065	0.129
90768_056A_S19_L001_R1_001	173481	4976	166485	2020	0.03	0.96	0.01	0.105	0.015	0
90768_057A_S20_L001_R1_001	223473	6483	205330	11660	0.03	0.92	0.05	0.269	0.048	0.13
90768_061A_S21_L001_R1_001	127178	3658	121920	1600	0.03	0.96	0.01	0.074	0.019	0
90768_064A_S22_L001_R1_001	127670	3721	119684	4265	0.03	0.94	0.03	0.179	0.021	0
90768_067A_S23_L001_R1_001	159037	4489	147463	7085	0.03	0.93	0.04	0.237	0.042	0.15
90768_075A_S24_L001_R1_001	119442	3391	105763	10288	0.03	0.89	0.09	0.37	0.044	0
90768_076A_S25_L001_R1_001	436043	13008	419496	3539	0.03	0.96	0.01	0.195	0.038	0.111
90768_077A_S26_L001_R1_001	355990	10253	338897	6840	0.03	0.95	0.02	0.225	0.046	0.091
90768_078A_S27_L001_R1_001	461457	13622	405080	42755	0.03	0.88	0.09	0.59	0.092	0.205
90768_083A_S28_L001_R1_001	616056	17994	592921	5141	0.03	0.96	0.01	0.216	0.034	0.188
90768_084A_S29_L001_R1_001	389977	10896	371225	7856	0.03	0.95	0.02	0.248	0.042	0.1
90768_088A_S30_L001_R1_001	204128	5859	196321	1948	0.03	0.96	0.01	0.084	0.015	0.143
90768_090A_S31_L001_R1_001	185012	5248	179561	203	0.03	0.97	0	0.023	0.006	0
90768_104A_S32_L001_R1_001	29626	991	28449	186	0.03	0.96	0.01	0.013	0.002	0
