sample	GenotypeRate	Heterozygosity	conScore
1	90763_231A_S1_L001_R1_001	0.632	0.101	0.229
2	90763_232A_S2_L001_R1_001	0.542	0.067	0.25
3	90763_236A_S3_L001_R1_001	0.67	0.097	0.217
4	90763_237A_S4_L001_R1_001	0.218	0.046	0.091
5	90763_238A_S5_L001_R1_001	0.393	0.05	0.042
6	90768_005A_S6_L001_R1_001	0.466	0.067	0.281
7	90768_009A_S7_L001_R1_001	0.095	0.011	0.2
8	90768_014A_S8_L001_R1_001	0.078	0.017	0
9	90768_015A_S9_L001_R1_001	0.229	0.055	0.077
10	90768_018A_S10_L001_R1_001	0.113	0.017	0.25
11	90768_027A_S11_L001_R1_001	0.275	0.053	0.08
12	90768_029A_S12_L001_R1_001	0.33	0.067	0.188
13	90768_034A_S13_L001_R1_001	0.101	0.019	0.111
14	90768_040A_S14_L001_R1_001	0.273	0.04	0.105
15	90768_042A_S15_L001_R1_001	0.223	0.032	0.133
16	90768_044A_S16_L001_R1_001	0.38	0.069	0.091
17	90768_054A_S17_L001_R1_001	0.053	0.011	0
18	90768_055A_S18_L001_R1_001	0.424	0.065	0.129
19	90768_056A_S19_L001_R1_001	0.105	0.015	0
20	90768_057A_S20_L001_R1_001	0.269	0.048	0.13
21	90768_061A_S21_L001_R1_001	0.074	0.019	0
22	90768_064A_S22_L001_R1_001	0.179	0.021	0
23	90768_067A_S23_L001_R1_001	0.237	0.042	0.15
24	90768_075A_S24_L001_R1_001	0.37	0.044	0
25	90768_076A_S25_L001_R1_001	0.195	0.038	0.111
26	90768_077A_S26_L001_R1_001	0.225	0.046	0.091
27	90768_078A_S27_L001_R1_001	0.59	0.092	0.205
28	90768_083A_S28_L001_R1_001	0.216	0.034	0.188
29	90768_084A_S29_L001_R1_001	0.248	0.042	0.1
30	90768_088A_S30_L001_R1_001	0.084	0.015	0.143
31	90768_090A_S31_L001_R1_001	0.023	0.006	0
32	90768_104A_S32_L001_R1_001	0.013	0.002	0
