"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231B_S33_L001_R1_001" "90763_232B_S34_L001_R1_001" 145 197 0.736040609137056 0.413865546218487 476
"2" "90763_231B_S33_L001_R1_001" "90763_236B_S35_L001_R1_001" 204 279 0.731182795698925 0.586134453781513 476
"3" "90763_231B_S33_L001_R1_001" "90763_237B_S36_L001_R1_001" 2 2 1 0.00420168067226891 476
"4" "90763_231B_S33_L001_R1_001" "90763_238B_S37_L001_R1_001" 53 68 0.779411764705882 0.142857142857143 476
"5" "90763_231B_S33_L001_R1_001" "90768_005B_S38_L001_R1_001" 130 169 0.769230769230769 0.355042016806723 476
"6" "90763_231B_S33_L001_R1_001" "90768_009B_S39_L001_R1_001" 0 0 NA 0 476
"7" "90763_231B_S33_L001_R1_001" "90768_014B_S40_L001_R1_001" 2 2 1 0.00420168067226891 476
"8" "90763_231B_S33_L001_R1_001" "90768_015B_S41_L001_R1_001" 8 12 0.666666666666667 0.0252100840336134 476
"9" "90763_231B_S33_L001_R1_001" "90768_018B_S42_L001_R1_001" 0 0 NA 0 476
"10" "90763_231B_S33_L001_R1_001" "90768_027B_S43_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"11" "90763_231B_S33_L001_R1_001" "90768_029B_S44_L001_R1_001" 4 8 0.5 0.0168067226890756 476
"12" "90763_231B_S33_L001_R1_001" "90768_034B_S45_L001_R1_001" 0 1 0 0.00210084033613445 476
"13" "90763_231B_S33_L001_R1_001" "90768_040B_S46_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"14" "90763_231B_S33_L001_R1_001" "90768_042B_S47_L001_R1_001" 2 4 0.5 0.00840336134453781 476
"15" "90763_231B_S33_L001_R1_001" "90768_044B_S48_L001_R1_001" 82 109 0.752293577981651 0.228991596638655 476
"16" "90763_231B_S33_L001_R1_001" "90768_054B_S49_L001_R1_001" 1 1 1 0.00210084033613445 476
"17" "90763_231B_S33_L001_R1_001" "90768_055B_S50_L001_R1_001" 11 18 0.611111111111111 0.0378151260504202 476
"18" "90763_231B_S33_L001_R1_001" "90768_056B_S51_L001_R1_001" 1 1 1 0.00210084033613445 476
"19" "90763_231B_S33_L001_R1_001" "90768_057B_S52_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"20" "90763_231B_S33_L001_R1_001" "90768_061B_S53_L001_R1_001" 0 0 NA 0 476
"21" "90763_231B_S33_L001_R1_001" "90768_064B_S54_L001_R1_001" 1 1 1 0.00210084033613445 476
"22" "90763_231B_S33_L001_R1_001" "90768_067B_S55_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"23" "90763_231B_S33_L001_R1_001" "90768_075B_S56_L001_R1_001" 11 15 0.733333333333333 0.0315126050420168 476
"24" "90763_231B_S33_L001_R1_001" "90768_076B_S57_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"25" "90763_231B_S33_L001_R1_001" "90768_077B_S58_L001_R1_001" 0 1 0 0.00210084033613445 476
"26" "90763_231B_S33_L001_R1_001" "90768_078B_S59_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"27" "90763_231B_S33_L001_R1_001" "90768_083B_S60_L001_R1_001" 0 0 NA 0 476
"28" "90763_231B_S33_L001_R1_001" "90768_084B_S61_L001_R1_001" 0 0 NA 0 476
"29" "90763_231B_S33_L001_R1_001" "90768_088B_S62_L001_R1_001" 0 0 NA 0 476
"30" "90763_231B_S33_L001_R1_001" "90768_090B_S63_L001_R1_001" 0 0 NA 0 476
"31" "90763_231B_S33_L001_R1_001" "90768_104B_S64_L001_R1_001" 0 0 NA 0 476
"32" "90763_232B_S34_L001_R1_001" "90763_236B_S35_L001_R1_001" 169 224 0.754464285714286 0.470588235294118 476
"33" "90763_232B_S34_L001_R1_001" "90763_237B_S36_L001_R1_001" 1 1 1 0.00210084033613445 476
"34" "90763_232B_S34_L001_R1_001" "90763_238B_S37_L001_R1_001" 43 62 0.693548387096774 0.130252100840336 476
"35" "90763_232B_S34_L001_R1_001" "90768_005B_S38_L001_R1_001" 103 144 0.715277777777778 0.302521008403361 476
"36" "90763_232B_S34_L001_R1_001" "90768_009B_S39_L001_R1_001" 0 0 NA 0 476
"37" "90763_232B_S34_L001_R1_001" "90768_014B_S40_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"38" "90763_232B_S34_L001_R1_001" "90768_015B_S41_L001_R1_001" 6 9 0.666666666666667 0.0189075630252101 476
"39" "90763_232B_S34_L001_R1_001" "90768_018B_S42_L001_R1_001" 0 0 NA 0 476
"40" "90763_232B_S34_L001_R1_001" "90768_027B_S43_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"41" "90763_232B_S34_L001_R1_001" "90768_029B_S44_L001_R1_001" 3 8 0.375 0.0168067226890756 476
"42" "90763_232B_S34_L001_R1_001" "90768_034B_S45_L001_R1_001" 0 1 0 0.00210084033613445 476
"43" "90763_232B_S34_L001_R1_001" "90768_040B_S46_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"44" "90763_232B_S34_L001_R1_001" "90768_042B_S47_L001_R1_001" 1 4 0.25 0.00840336134453781 476
"45" "90763_232B_S34_L001_R1_001" "90768_044B_S48_L001_R1_001" 74 101 0.732673267326733 0.21218487394958 476
"46" "90763_232B_S34_L001_R1_001" "90768_054B_S49_L001_R1_001" 0 1 0 0.00210084033613445 476
"47" "90763_232B_S34_L001_R1_001" "90768_055B_S50_L001_R1_001" 9 14 0.642857142857143 0.0294117647058824 476
"48" "90763_232B_S34_L001_R1_001" "90768_056B_S51_L001_R1_001" 0 0 NA 0 476
"49" "90763_232B_S34_L001_R1_001" "90768_057B_S52_L001_R1_001" 1 3 0.333333333333333 0.00630252100840336 476
"50" "90763_232B_S34_L001_R1_001" "90768_061B_S53_L001_R1_001" 0 0 NA 0 476
"51" "90763_232B_S34_L001_R1_001" "90768_064B_S54_L001_R1_001" 1 1 1 0.00210084033613445 476
"52" "90763_232B_S34_L001_R1_001" "90768_067B_S55_L001_R1_001" 0 1 0 0.00210084033613445 476
"53" "90763_232B_S34_L001_R1_001" "90768_075B_S56_L001_R1_001" 11 15 0.733333333333333 0.0315126050420168 476
"54" "90763_232B_S34_L001_R1_001" "90768_076B_S57_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"55" "90763_232B_S34_L001_R1_001" "90768_077B_S58_L001_R1_001" 1 1 1 0.00210084033613445 476
"56" "90763_232B_S34_L001_R1_001" "90768_078B_S59_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"57" "90763_232B_S34_L001_R1_001" "90768_083B_S60_L001_R1_001" 0 0 NA 0 476
"58" "90763_232B_S34_L001_R1_001" "90768_084B_S61_L001_R1_001" 0 0 NA 0 476
"59" "90763_232B_S34_L001_R1_001" "90768_088B_S62_L001_R1_001" 0 0 NA 0 476
"60" "90763_232B_S34_L001_R1_001" "90768_090B_S63_L001_R1_001" 0 0 NA 0 476
"61" "90763_232B_S34_L001_R1_001" "90768_104B_S64_L001_R1_001" 0 0 NA 0 476
"62" "90763_236B_S35_L001_R1_001" "90763_237B_S36_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"63" "90763_236B_S35_L001_R1_001" "90763_238B_S37_L001_R1_001" 53 73 0.726027397260274 0.153361344537815 476
"64" "90763_236B_S35_L001_R1_001" "90768_005B_S38_L001_R1_001" 119 180 0.661111111111111 0.378151260504202 476
"65" "90763_236B_S35_L001_R1_001" "90768_009B_S39_L001_R1_001" 0 0 NA 0 476
"66" "90763_236B_S35_L001_R1_001" "90768_014B_S40_L001_R1_001" 2 2 1 0.00420168067226891 476
"67" "90763_236B_S35_L001_R1_001" "90768_015B_S41_L001_R1_001" 11 13 0.846153846153846 0.0273109243697479 476
"68" "90763_236B_S35_L001_R1_001" "90768_018B_S42_L001_R1_001" 0 0 NA 0 476
"69" "90763_236B_S35_L001_R1_001" "90768_027B_S43_L001_R1_001" 1 4 0.25 0.00840336134453781 476
"70" "90763_236B_S35_L001_R1_001" "90768_029B_S44_L001_R1_001" 2 8 0.25 0.0168067226890756 476
"71" "90763_236B_S35_L001_R1_001" "90768_034B_S45_L001_R1_001" 1 1 1 0.00210084033613445 476
"72" "90763_236B_S35_L001_R1_001" "90768_040B_S46_L001_R1_001" 1 3 0.333333333333333 0.00630252100840336 476
"73" "90763_236B_S35_L001_R1_001" "90768_042B_S47_L001_R1_001" 0 4 0 0.00840336134453781 476
"74" "90763_236B_S35_L001_R1_001" "90768_044B_S48_L001_R1_001" 73 112 0.651785714285714 0.235294117647059 476
"75" "90763_236B_S35_L001_R1_001" "90768_054B_S49_L001_R1_001" 1 1 1 0.00210084033613445 476
"76" "90763_236B_S35_L001_R1_001" "90768_055B_S50_L001_R1_001" 12 22 0.545454545454545 0.046218487394958 476
"77" "90763_236B_S35_L001_R1_001" "90768_056B_S51_L001_R1_001" 1 1 1 0.00210084033613445 476
"78" "90763_236B_S35_L001_R1_001" "90768_057B_S52_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"79" "90763_236B_S35_L001_R1_001" "90768_061B_S53_L001_R1_001" 0 0 NA 0 476
"80" "90763_236B_S35_L001_R1_001" "90768_064B_S54_L001_R1_001" 1 1 1 0.00210084033613445 476
"81" "90763_236B_S35_L001_R1_001" "90768_067B_S55_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"82" "90763_236B_S35_L001_R1_001" "90768_075B_S56_L001_R1_001" 11 15 0.733333333333333 0.0315126050420168 476
"83" "90763_236B_S35_L001_R1_001" "90768_076B_S57_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"84" "90763_236B_S35_L001_R1_001" "90768_077B_S58_L001_R1_001" 1 1 1 0.00210084033613445 476
"85" "90763_236B_S35_L001_R1_001" "90768_078B_S59_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"86" "90763_236B_S35_L001_R1_001" "90768_083B_S60_L001_R1_001" 0 0 NA 0 476
"87" "90763_236B_S35_L001_R1_001" "90768_084B_S61_L001_R1_001" 0 0 NA 0 476
"88" "90763_236B_S35_L001_R1_001" "90768_088B_S62_L001_R1_001" 0 0 NA 0 476
"89" "90763_236B_S35_L001_R1_001" "90768_090B_S63_L001_R1_001" 0 0 NA 0 476
"90" "90763_236B_S35_L001_R1_001" "90768_104B_S64_L001_R1_001" 0 0 NA 0 476
"91" "90763_237B_S36_L001_R1_001" "90763_238B_S37_L001_R1_001" 1 1 1 0.00210084033613445 476
"92" "90763_237B_S36_L001_R1_001" "90768_005B_S38_L001_R1_001" 1 1 1 0.00210084033613445 476
"93" "90763_237B_S36_L001_R1_001" "90768_009B_S39_L001_R1_001" 0 0 NA 0 476
"94" "90763_237B_S36_L001_R1_001" "90768_014B_S40_L001_R1_001" 0 0 NA 0 476
"95" "90763_237B_S36_L001_R1_001" "90768_015B_S41_L001_R1_001" 0 0 NA 0 476
"96" "90763_237B_S36_L001_R1_001" "90768_018B_S42_L001_R1_001" 0 0 NA 0 476
"97" "90763_237B_S36_L001_R1_001" "90768_027B_S43_L001_R1_001" 2 2 1 0.00420168067226891 476
"98" "90763_237B_S36_L001_R1_001" "90768_029B_S44_L001_R1_001" 1 1 1 0.00210084033613445 476
"99" "90763_237B_S36_L001_R1_001" "90768_034B_S45_L001_R1_001" 0 0 NA 0 476
"100" "90763_237B_S36_L001_R1_001" "90768_040B_S46_L001_R1_001" 2 2 1 0.00420168067226891 476
"101" "90763_237B_S36_L001_R1_001" "90768_042B_S47_L001_R1_001" 1 1 1 0.00210084033613445 476
"102" "90763_237B_S36_L001_R1_001" "90768_044B_S48_L001_R1_001" 1 1 1 0.00210084033613445 476
"103" "90763_237B_S36_L001_R1_001" "90768_054B_S49_L001_R1_001" 0 0 NA 0 476
"104" "90763_237B_S36_L001_R1_001" "90768_055B_S50_L001_R1_001" 1 1 1 0.00210084033613445 476
"105" "90763_237B_S36_L001_R1_001" "90768_056B_S51_L001_R1_001" 1 1 1 0.00210084033613445 476
"106" "90763_237B_S36_L001_R1_001" "90768_057B_S52_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"107" "90763_237B_S36_L001_R1_001" "90768_061B_S53_L001_R1_001" 0 0 NA 0 476
"108" "90763_237B_S36_L001_R1_001" "90768_064B_S54_L001_R1_001" 0 0 NA 0 476
"109" "90763_237B_S36_L001_R1_001" "90768_067B_S55_L001_R1_001" 1 1 1 0.00210084033613445 476
"110" "90763_237B_S36_L001_R1_001" "90768_075B_S56_L001_R1_001" 0 0 NA 0 476
"111" "90763_237B_S36_L001_R1_001" "90768_076B_S57_L001_R1_001" 0 0 NA 0 476
"112" "90763_237B_S36_L001_R1_001" "90768_077B_S58_L001_R1_001" 0 0 NA 0 476
