"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231C_S65_L001_R1_001" "90763_232C_S66_L001_R1_001" 56 69 0.811594202898551 0.144957983193277 476
"2" "90763_231C_S65_L001_R1_001" "90763_236C_S67_L001_R1_001" 210 293 0.716723549488055 0.615546218487395 476
"3" "90763_231C_S65_L001_R1_001" "90763_237C_S68_L001_R1_001" 20 28 0.714285714285714 0.0588235294117647 476
"4" "90763_231C_S65_L001_R1_001" "90763_238C_S69_L001_R1_001" 102 133 0.766917293233083 0.279411764705882 476
"5" "90763_231C_S65_L001_R1_001" "90768_005C_S70_L001_R1_001" 188 243 0.773662551440329 0.510504201680672 476
"6" "90763_231C_S65_L001_R1_001" "90768_009C_S71_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"7" "90763_231C_S65_L001_R1_001" "90768_014C_S72_L001_R1_001" 2 2 1 0.00420168067226891 476
"8" "90763_231C_S65_L001_R1_001" "90768_015C_S73_L001_R1_001" 8 11 0.727272727272727 0.023109243697479 476
"9" "90763_231C_S65_L001_R1_001" "90768_018C_S74_L001_R1_001" 0 1 0 0.00210084033613445 476
"10" "90763_231C_S65_L001_R1_001" "90768_027C_S75_L001_R1_001" 12 15 0.8 0.0315126050420168 476
"11" "90763_231C_S65_L001_R1_001" "90768_029C_S76_L001_R1_001" 64 90 0.711111111111111 0.189075630252101 476
"12" "90763_231C_S65_L001_R1_001" "90768_034C_S77_L001_R1_001" 3 3 1 0.00630252100840336 476
"13" "90763_231C_S65_L001_R1_001" "90768_040C_S78_L001_R1_001" 28 36 0.777777777777778 0.0756302521008403 476
"14" "90763_231C_S65_L001_R1_001" "90768_042C_S79_L001_R1_001" 10 14 0.714285714285714 0.0294117647058824 476
"15" "90763_231C_S65_L001_R1_001" "90768_044C_S80_L001_R1_001" 76 107 0.710280373831776 0.224789915966387 476
"16" "90763_231C_S65_L001_R1_001" "90768_054C_S81_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"17" "90763_231C_S65_L001_R1_001" "90768_055C_S82_L001_R1_001" 78 107 0.728971962616822 0.224789915966387 476
"18" "90763_231C_S65_L001_R1_001" "90768_056C_S83_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"19" "90763_231C_S65_L001_R1_001" "90768_057C_S84_L001_R1_001" 8 10 0.8 0.0210084033613445 476
"20" "90763_231C_S65_L001_R1_001" "90768_061C_S85_L001_R1_001" 2 2 1 0.00420168067226891 476
"21" "90763_231C_S65_L001_R1_001" "90768_064C_S86_L001_R1_001" 3 5 0.6 0.0105042016806723 476
"22" "90763_231C_S65_L001_R1_001" "90768_067C_S87_L001_R1_001" 4 5 0.8 0.0105042016806723 476
"23" "90763_231C_S65_L001_R1_001" "90768_075C_S88_L001_R1_001" 19 29 0.655172413793103 0.0609243697478992 476
"24" "90763_231C_S65_L001_R1_001" "90768_076C_S89_L001_R1_001" 13 15 0.866666666666667 0.0315126050420168 476
"25" "90763_231C_S65_L001_R1_001" "90768_077C_S90_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"26" "90763_231C_S65_L001_R1_001" "90768_078C_S91_L001_R1_001" 69 106 0.650943396226415 0.222689075630252 476
"27" "90763_231C_S65_L001_R1_001" "90768_083C_S92_L001_R1_001" 0 1 0 0.00210084033613445 476
"28" "90763_231C_S65_L001_R1_001" "90768_084C_S93_L001_R1_001" 8 9 0.888888888888889 0.0189075630252101 476
"29" "90763_231C_S65_L001_R1_001" "90768_088C_S94_L001_R1_001" 1 1 1 0.00210084033613445 476
"30" "90763_231C_S65_L001_R1_001" "90768_090C_S95_L001_R1_001" 1 1 1 0.00210084033613445 476
"31" "90763_231C_S65_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 1 1 0.00210084033613445 476
"32" "90763_232C_S66_L001_R1_001" "90763_236C_S67_L001_R1_001" 59 74 0.797297297297297 0.15546218487395 476
"33" "90763_232C_S66_L001_R1_001" "90763_237C_S68_L001_R1_001" 8 12 0.666666666666667 0.0252100840336134 476
"34" "90763_232C_S66_L001_R1_001" "90763_238C_S69_L001_R1_001" 25 41 0.609756097560976 0.0861344537815126 476
"35" "90763_232C_S66_L001_R1_001" "90768_005C_S70_L001_R1_001" 48 64 0.75 0.134453781512605 476
"36" "90763_232C_S66_L001_R1_001" "90768_009C_S71_L001_R1_001" 0 1 0 0.00210084033613445 476
"37" "90763_232C_S66_L001_R1_001" "90768_014C_S72_L001_R1_001" 1 1 1 0.00210084033613445 476
"38" "90763_232C_S66_L001_R1_001" "90768_015C_S73_L001_R1_001" 3 5 0.6 0.0105042016806723 476
"39" "90763_232C_S66_L001_R1_001" "90768_018C_S74_L001_R1_001" 0 1 0 0.00210084033613445 476
"40" "90763_232C_S66_L001_R1_001" "90768_027C_S75_L001_R1_001" 6 6 1 0.0126050420168067 476
"41" "90763_232C_S66_L001_R1_001" "90768_029C_S76_L001_R1_001" 29 37 0.783783783783784 0.0777310924369748 476
"42" "90763_232C_S66_L001_R1_001" "90768_034C_S77_L001_R1_001" 2 2 1 0.00420168067226891 476
"43" "90763_232C_S66_L001_R1_001" "90768_040C_S78_L001_R1_001" 15 16 0.9375 0.0336134453781513 476
"44" "90763_232C_S66_L001_R1_001" "90768_042C_S79_L001_R1_001" 7 9 0.777777777777778 0.0189075630252101 476
"45" "90763_232C_S66_L001_R1_001" "90768_044C_S80_L001_R1_001" 30 40 0.75 0.0840336134453782 476
"46" "90763_232C_S66_L001_R1_001" "90768_054C_S81_L001_R1_001" 0 0 NA 0 476
"47" "90763_232C_S66_L001_R1_001" "90768_055C_S82_L001_R1_001" 26 34 0.764705882352941 0.0714285714285714 476
"48" "90763_232C_S66_L001_R1_001" "90768_056C_S83_L001_R1_001" 2 2 1 0.00420168067226891 476
"49" "90763_232C_S66_L001_R1_001" "90768_057C_S84_L001_R1_001" 2 4 0.5 0.00840336134453781 476
"50" "90763_232C_S66_L001_R1_001" "90768_061C_S85_L001_R1_001" 1 1 1 0.00210084033613445 476
"51" "90763_232C_S66_L001_R1_001" "90768_064C_S86_L001_R1_001" 2 2 1 0.00420168067226891 476
"52" "90763_232C_S66_L001_R1_001" "90768_067C_S87_L001_R1_001" 2 3 0.666666666666667 0.00630252100840336 476
"53" "90763_232C_S66_L001_R1_001" "90768_075C_S88_L001_R1_001" 4 6 0.666666666666667 0.0126050420168067 476
"54" "90763_232C_S66_L001_R1_001" "90768_076C_S89_L001_R1_001" 8 9 0.888888888888889 0.0189075630252101 476
"55" "90763_232C_S66_L001_R1_001" "90768_077C_S90_L001_R1_001" 4 6 0.666666666666667 0.0126050420168067 476
"56" "90763_232C_S66_L001_R1_001" "90768_078C_S91_L001_R1_001" 29 41 0.707317073170732 0.0861344537815126 476
"57" "90763_232C_S66_L001_R1_001" "90768_083C_S92_L001_R1_001" 0 1 0 0.00210084033613445 476
"58" "90763_232C_S66_L001_R1_001" "90768_084C_S93_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"59" "90763_232C_S66_L001_R1_001" "90768_088C_S94_L001_R1_001" 1 1 1 0.00210084033613445 476
"60" "90763_232C_S66_L001_R1_001" "90768_090C_S95_L001_R1_001" 0 0 NA 0 476
"61" "90763_232C_S66_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 1 1 0.00210084033613445 476
"62" "90763_236C_S67_L001_R1_001" "90763_237C_S68_L001_R1_001" 26 33 0.787878787878788 0.069327731092437 476
"63" "90763_236C_S67_L001_R1_001" "90763_238C_S69_L001_R1_001" 115 166 0.692771084337349 0.348739495798319 476
"64" "90763_236C_S67_L001_R1_001" "90768_005C_S70_L001_R1_001" 209 311 0.672025723472669 0.653361344537815 476
"65" "90763_236C_S67_L001_R1_001" "90768_009C_S71_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"66" "90763_236C_S67_L001_R1_001" "90768_014C_S72_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"67" "90763_236C_S67_L001_R1_001" "90768_015C_S73_L001_R1_001" 6 11 0.545454545454545 0.023109243697479 476
