Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	695	269	0.39
Tpa_0012	1839	830	0.45
Tpa_0024	13269	1	0.00
Tpa_0035	1957	596	0.30
Tpa_0037	4154	47	0.01
Tpa_0095	3802	1947	0.51
Tpa_0151	8993	5427	0.60
Tpa_0183	3150	2588	0.82
Tpa_0186	1333	511	0.38
Tpa_0215	11770	0	0.00
Tpa_0226	859	237	0.28
Tpa_0228	24235	64	0.00
Tpa_0263	40158	979	0.02
Tpa_0269	9883	197	0.02
Tpa_0272	1483	9	0.01
Tpa_0301	5209	5089	0.98
Tpa_0342	1176	905	0.77
Tpa_0346	3716	849	0.23
Tpa_0358	2041	1034	0.51
Tpa_0366	35899	431	0.01
Tpa_0367	1986	1070	0.54
Tpa_0371	769	546	0.71
Tpa_0395	661	566	0.86
Tpa_0409	34348	136	0.00
Tpa_0427	2043	1632	0.80
Tpa_0429	3287	337	0.10
Tpa_0438	19962	107	0.01
Tpa_0439	1841	1801	0.98
Tpa_0474	4333	29	0.01
Tpa_0492	6452	361	0.06
Tpa_0500	6261	376	0.06
Tpa_0540	113902	712	0.01
Tpa_0547	2450	539	0.22
Tpa_0556	69789	1119	0.02
Tpa_0569	742	410	0.55
Tpa_0592	4963	2541	0.51
Tpa_0650	30733	222	0.01
Tpa_0671	437	425	0.97
Tpa_0678	4609	51	0.01
Tpa_0730	5237	887	0.17
Tpa_0743	3206	1138	0.35
Tpa_0763	287	128	0.45
Tpa_0768	47922	1679	0.04
Tpa_0826	8553	173	0.02
Tpa_0866	5813	5115	0.88
Tpa_0868	3064	29	0.01
Tpa_0882	332	44	0.13
Tpa_0888	18926	269	0.01
Tpa_0895	25382	524	0.02
Tpa_0905	1191	520	0.44
Tpa_0912	52637	76	0.00
Tpa_0929	849	174	0.20
Tpa_0936	58119	546	0.01
Tpa_0953	16476	3412	0.21
Tpa_0970	1363	1	0.00
Tpa_0973	54409	6	0.00
Tpa_0979	18948	332	0.02
Tpa_1007	1891	538	0.28
Tpa_1022	41342	270	0.01
Tpa_1042	444	174	0.39
Tpa_1071	14218	399	0.03
Tpa_1077	7447	304	0.04
Tpa_1082	4757	3837	0.81
Tpa_1098	323	35	0.11
Tpa_1112	3201	452	0.14
Tpa_1136	198	1	0.01
Tpa_1144	174	109	0.63
Tpa_1154	328	251	0.77
Tpa_1156	452	2	0.00
Tpa_1187	544	341	0.63
