Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_231A_S1_L001_R1_001	158994	 4821	126590	27583	0.03	0.80	0.17	0.632	0.101	0.229
90763_231B_S33_L001_R1_001	 93573	20224	 58097	15252	0.22	0.62	0.16	0.586	0.092	0.068
90763_231C_S65_L001_R1_001	 54107	10185	 31410	12512	0.19	0.58	0.23	0.616	0.103	0.041
90763_232A_S2_L001_R1_001	167230	 4734	139026	23470	0.03	0.83	0.14	0.542	0.067	0.250
90763_232B_S34_L001_R1_001	 48389	12700	 32434	 3255	0.26	0.67	0.07	0.471	0.069	0.030
90763_232C_S66_L001_R1_001	 14609	 6201	  7792	  616	0.42	0.53	0.04	0.155	0.017	0.000
90763_236A_S3_L001_R1_001	105943	 2215	 62937	40791	0.02	0.59	0.39	0.670	0.097	0.217
90763_237A_S4_L001_R1_001	137016	 4014	128824	 4178	0.03	0.94	0.03	0.218	0.046	0.091
90763_237B_S36_L001_R1_001	 42262	13335	 28813	  114	0.32	0.68	0.00	0.004	0.000	  NaN
90763_237C_S68_L001_R1_001	 38804	12302	 26196	  306	0.32	0.68	0.01	0.069	0.013	0.000
90763_238A_S5_L001_R1_001	126829	 3678	111248	11903	0.03	0.88	0.09	0.393	0.050	0.042
90763_238B_S37_L001_R1_001	 46630	14579	 31499	  552	0.31	0.68	0.01	0.155	0.025	0.000
90763_238C_S69_L001_R1_001	 33340	12104	 20100	 1136	0.36	0.60	0.03	0.349	0.048	0.000
90768_005A_S6_L001_R1_001	137464	 3361	111392	22711	0.02	0.81	0.17	0.466	0.067	0.281
90768_005B_S38_L001_R1_001	 48223	13028	 32382	 2813	0.27	0.67	0.06	0.380	0.063	0.000
90768_005C_S70_L001_R1_001	 35068	10542	 18879	 5647	0.30	0.54	0.16	0.655	0.101	0.062
90768_009A_S7_L001_R1_001	113657	 3400	109060	 1197	0.03	0.96	0.01	0.095	0.011	0.200
90768_009B_S39_L001_R1_001	 54116	13143	 40926	   47	0.24	0.76	0.00	0.000	0.000	  NaN
90768_009C_S71_L001_R1_001	 29641	11387	 18188	   66	0.38	0.61	0.00	0.004	0.002	0.000
90768_014A_S8_L001_R1_001	 70912	 3762	 66576	  574	0.05	0.94	0.01	0.078	0.017	0.000
90768_014B_S40_L001_R1_001	 75755	19858	 55880	   17	0.26	0.74	0.00	0.004	0.000	  NaN
90768_014C_S72_L001_R1_001	 25078	 8788	 16232	   58	0.35	0.65	0.00	0.004	0.000	  NaN
90768_015A_S9_L001_R1_001	279329	 7989	260126	11214	0.03	0.93	0.04	0.229	0.055	0.077
90768_015B_S41_L001_R1_001	 58480	15108	 43195	  177	0.26	0.74	0.00	0.027	0.008	0.000
90768_015C_S73_L001_R1_001	 23519	 9040	 14269	  210	0.38	0.61	0.01	0.025	0.006	0.000
90768_018A_S10_L001_R1_001	140979	 3932	134657	 2390	0.03	0.96	0.02	0.113	0.017	0.250
90768_018B_S42_L001_R1_001	 25165	 9829	 15316	   20	0.39	0.61	0.00	0.000	0.000	  NaN
90768_018C_S74_L001_R1_001	 24537	 9846	 14643	   48	0.40	0.60	0.00	0.002	0.002	0.000
90768_027A_S11_L001_R1_001	112933	 3337	101107	 8489	0.03	0.90	0.08	0.275	0.053	0.080
90768_027B_S43_L001_R1_001	 29577	11623	 17890	   64	0.39	0.60	0.00	0.008	0.004	0.000
90768_027C_S75_L001_R1_001	 24984	 9818	 14933	  233	0.39	0.60	0.01	0.036	0.011	0.000
90768_029A_S12_L001_R1_001	186897	 5092	167254	14551	0.03	0.89	0.08	0.330	0.067	0.188
90768_029B_S44_L001_R1_001	 28109	11192	 16813	  104	0.40	0.60	0.00	0.019	0.008	0.000
90768_029C_S76_L001_R1_001	 24041	 8777	 14393	  871	0.37	0.60	0.04	0.208	0.036	0.000
90768_034A_S13_L001_R1_001	 94746	 2804	 90418	 1524	0.03	0.95	0.02	0.101	0.019	0.111
90768_034B_S45_L001_R1_001	 27399	10459	 16925	   15	0.38	0.62	0.00	0.002	0.000	  NaN
90768_034C_S77_L001_R1_001	 26792	10262	 16458	   72	0.38	0.61	0.00	0.008	0.004	0.000
90768_040A_S14_L001_R1_001	142323	 4203	129128	 8992	0.03	0.91	0.06	0.273	0.040	0.105
90768_040B_S46_L001_R1_001	 30280	11512	 18693	   75	0.38	0.62	0.00	0.006	0.002	0.000
90768_040C_S78_L001_R1_001	 23863	 9293	 14197	  373	0.39	0.59	0.02	0.084	0.021	0.000
90768_042A_S15_L001_R1_001	 93458	 2901	 85282	 5275	0.03	0.91	0.06	0.223	0.032	0.133
90768_042B_S47_L001_R1_001	 26726	10372	 16277	   77	0.39	0.61	0.00	0.011	0.006	0.000
90768_042C_S79_L001_R1_001	 22364	 9074	 13030	  260	0.41	0.58	0.01	0.034	0.006	0.000
90768_044A_S16_L001_R1_001	 90893	 2547	 76907	11439	0.03	0.85	0.13	0.380	0.069	0.091
90768_044B_S48_L001_R1_001	 43335	11909	 30288	 1138	0.27	0.70	0.03	0.237	0.040	0.000
90768_044C_S80_L001_R1_001	 23525	 8909	 13478	 1138	0.38	0.57	0.05	0.279	0.040	0.000
90768_054A_S17_L001_R1_001	192787	 5545	186535	  707	0.03	0.97	0.00	0.053	0.011	0.000
90768_054B_S49_L001_R1_001	 40886	12077	 28783	   26	0.30	0.70	0.00	0.002	0.000	  NaN
90768_054C_S81_L001_R1_001	 24018	 9260	 14725	   33	0.39	0.61	0.00	0.006	0.002	0.000
90768_055A_S18_L001_R1_001	103621	 3058	 88019	12544	0.03	0.85	0.12	0.424	0.065	0.129
90768_055B_S50_L001_R1_001	 26451	10275	 15941	  235	0.39	0.60	0.01	0.046	0.017	0.000
90768_055C_S82_L001_R1_001	 25663	 9788	 14870	 1005	0.38	0.58	0.04	0.303	0.065	0.000
90768_056A_S19_L001_R1_001	173481	 4976	166485	 2020	0.03	0.96	0.01	0.105	0.015	0.000
90768_056B_S51_L001_R1_001	 24929	 9724	 15187	   18	0.39	0.61	0.00	0.002	0.000	  NaN
90768_056C_S83_L001_R1_001	 28190	11253	 16859	   78	0.40	0.60	0.00	0.008	0.002	0.000
90768_057A_S20_L001_R1_001	223473	 6483	205330	11660	0.03	0.92	0.05	0.269	0.048	0.130
90768_057B_S52_L001_R1_001	 29579	11356	 18162	   61	0.38	0.61	0.00	0.008	0.004	0.000
90768_057C_S84_L001_R1_001	 26234	10278	 15703	  253	0.39	0.60	0.01	0.036	0.011	0.000
90768_061A_S21_L001_R1_001	127178	 3658	121920	 1600	0.03	0.96	0.01	0.074	0.019	0.000
90768_061B_S53_L001_R1_001	 29020	10940	 18061	   19	0.38	0.62	0.00	0.000	0.000	  NaN
90768_061C_S85_L001_R1_001	 27103	10683	 16309	  111	0.39	0.60	0.00	0.004	0.000	  NaN
90768_064A_S22_L001_R1_001	127670	 3721	119684	 4265	0.03	0.94	0.03	0.179	0.021	0.000
90768_064B_S54_L001_R1_001	 32882	12731	 20123	   28	0.39	0.61	0.00	0.002	0.000	  NaN
90768_064C_S86_L001_R1_001	 24393	 9998	 14256	  139	0.41	0.58	0.01	0.015	0.004	0.000
90768_067A_S23_L001_R1_001	159037	 4489	147463	 7085	0.03	0.93	0.04	0.237	0.042	0.150
90768_067B_S55_L001_R1_001	 29073	11373	 17668	   32	0.39	0.61	0.00	0.004	0.002	0.000
90768_067C_S87_L001_R1_001	 23030	 9237	 13639	  154	0.40	0.59	0.01	0.013	0.002	0.000
90768_075A_S24_L001_R1_001	119442	 3391	105763	10288	0.03	0.89	0.09	0.370	0.044	0.000
90768_075B_S56_L001_R1_001	 29341	 7638	 21562	  141	0.26	0.73	0.00	0.032	0.006	0.000
90768_075C_S88_L001_R1_001	 24737	 9641	 14711	  385	0.39	0.59	0.02	0.084	0.019	0.000
90768_076A_S25_L001_R1_001	436043	13008	419496	 3539	0.03	0.96	0.01	0.195	0.038	0.111
90768_076B_S57_L001_R1_001	 42405	12405	 29946	   54	0.29	0.71	0.00	0.004	0.004	0.000
90768_076C_S89_L001_R1_001	 37484	11458	 25549	  477	0.31	0.68	0.01	0.036	0.008	0.000
90768_077A_S26_L001_R1_001	355990	10253	338897	 6840	0.03	0.95	0.02	0.225	0.046	0.091
90768_077B_S58_L001_R1_001	 24436	 9400	 15017	   19	0.38	0.61	0.00	0.002	0.000	  NaN
90768_077C_S90_L001_R1_001	 28467	11205	 17146	  116	0.39	0.60	0.00	0.017	0.002	0.000
90768_078A_S27_L001_R1_001	461457	13622	405080	42755	0.03	0.88	0.09	0.590	0.092	0.205
90768_078B_S59_L001_R1_001	 29303	11395	 17821	   87	0.39	0.61	0.00	0.008	0.002	0.000
90768_078C_S91_L001_R1_001	 31482	12122	 18459	  901	0.39	0.59	0.03	0.273	0.086	0.024
90768_083A_S28_L001_R1_001	616056	17994	592921	 5141	0.03	0.96	0.01	0.216	0.034	0.188
90768_083B_S60_L001_R1_001	 29496	11568	 17920	    8	0.39	0.61	0.00	0.000	0.000	  NaN
90768_083C_S92_L001_R1_001	 26388	10832	 15511	   45	0.41	0.59	0.00	0.002	0.002	0.000
90768_084A_S29_L001_R1_001	389977	10896	371225	 7856	0.03	0.95	0.02	0.248	0.042	0.100
90768_084B_S61_L001_R1_001	 27326	10526	 16780	   20	0.39	0.61	0.00	0.000	0.000	  NaN
90768_084C_S93_L001_R1_001	 23716	 9322	 14238	  156	0.39	0.60	0.01	0.021	0.008	0.000
90768_088A_S30_L001_R1_001	204128	 5859	196321	 1948	0.03	0.96	0.01	0.084	0.015	0.143
90768_088B_S62_L001_R1_001	 23375	 9015	 14338	   22	0.39	0.61	0.00	0.000	0.000	  NaN
90768_088C_S94_L001_R1_001	 19987	 8552	 11399	   36	0.43	0.57	0.00	0.002	0.000	  NaN
90768_090A_S31_L001_R1_001	185012	 5248	179561	  203	0.03	0.97	0.00	0.023	0.006	0.000
90768_090B_S63_L001_R1_001	 23698	 9672	 14022	    4	0.41	0.59	0.00	0.000	0.000	  NaN
90768_090C_S95_L001_R1_001	 25126	 9962	 15098	   66	0.40	0.60	0.00	0.002	0.000	  NaN
90768_104A_S32_L001_R1_001	 29626	  991	 28449	  186	0.03	0.96	0.01	0.013	0.002	0.000
