sample	GenotypeRate	Heterozygosity	conScore
1	90763_231A_S1_L001_R1_001	0.632	0.101	0.229
2	90763_231B_S33_L001_R1_001	0.586	0.092	0.068
3	90763_231C_S65_L001_R1_001	0.616	0.103	0.041
4	90763_232A_S2_L001_R1_001	0.542	0.067	0.25
5	90763_232B_S34_L001_R1_001	0.471	0.069	0.03
6	90763_232C_S66_L001_R1_001	0.155	0.017	0
7	90763_236A_S3_L001_R1_001	0.67	0.097	0.217
8	90763_236B_S35_L001_R1_001	0.924	0.151	0.236
9	90763_236C_S67_L001_R1_001	0.933	0.149	0.324
10	90763_237A_S4_L001_R1_001	0.218	0.046	0.091
11	90763_237B_S36_L001_R1_001	0.004	0	NA
12	90763_237C_S68_L001_R1_001	0.069	0.013	0
13	90763_238A_S5_L001_R1_001	0.393	0.05	0.042
14	90763_238B_S37_L001_R1_001	0.155	0.025	0
15	90763_238C_S69_L001_R1_001	0.349	0.048	0
16	90768_005A_S6_L001_R1_001	0.466	0.067	0.281
17	90768_005B_S38_L001_R1_001	0.38	0.063	0
18	90768_005C_S70_L001_R1_001	0.655	0.101	0.062
19	90768_009A_S7_L001_R1_001	0.095	0.011	0.2
20	90768_009B_S39_L001_R1_001	0	0	NA
21	90768_009C_S71_L001_R1_001	0.004	0.002	0
22	90768_014A_S8_L001_R1_001	0.078	0.017	0
23	90768_014B_S40_L001_R1_001	0.004	0	NA
24	90768_014C_S72_L001_R1_001	0.004	0	NA
25	90768_015A_S9_L001_R1_001	0.229	0.055	0.077
26	90768_015B_S41_L001_R1_001	0.027	0.008	0
27	90768_015C_S73_L001_R1_001	0.025	0.006	0
28	90768_018A_S10_L001_R1_001	0.113	0.017	0.25
29	90768_018B_S42_L001_R1_001	0	0	NA
30	90768_018C_S74_L001_R1_001	0.002	0.002	0
31	90768_027A_S11_L001_R1_001	0.275	0.053	0.08
32	90768_027B_S43_L001_R1_001	0.008	0.004	0
33	90768_027C_S75_L001_R1_001	0.036	0.011	0
34	90768_029A_S12_L001_R1_001	0.33	0.067	0.188
35	90768_029B_S44_L001_R1_001	0.019	0.008	0
36	90768_029C_S76_L001_R1_001	0.208	0.036	0
37	90768_034A_S13_L001_R1_001	0.101	0.019	0.111
38	90768_034B_S45_L001_R1_001	0.002	0	NA
39	90768_034C_S77_L001_R1_001	0.008	0.004	0
40	90768_040A_S14_L001_R1_001	0.273	0.04	0.105
41	90768_040B_S46_L001_R1_001	0.006	0.002	0
42	90768_040C_S78_L001_R1_001	0.084	0.021	0
43	90768_042A_S15_L001_R1_001	0.223	0.032	0.133
44	90768_042B_S47_L001_R1_001	0.011	0.006	0
45	90768_042C_S79_L001_R1_001	0.034	0.006	0
46	90768_044A_S16_L001_R1_001	0.38	0.069	0.091
47	90768_044B_S48_L001_R1_001	0.237	0.04	0
48	90768_044C_S80_L001_R1_001	0.279	0.04	0
49	90768_054A_S17_L001_R1_001	0.053	0.011	0
50	90768_054B_S49_L001_R1_001	0.002	0	NA
51	90768_054C_S81_L001_R1_001	0.006	0.002	0
52	90768_055A_S18_L001_R1_001	0.424	0.065	0.129
53	90768_055B_S50_L001_R1_001	0.046	0.017	0
54	90768_055C_S82_L001_R1_001	0.303	0.065	0
55	90768_056A_S19_L001_R1_001	0.105	0.015	0
56	90768_056B_S51_L001_R1_001	0.002	0	NA
57	90768_056C_S83_L001_R1_001	0.008	0.002	0
58	90768_057A_S20_L001_R1_001	0.269	0.048	0.13
59	90768_057B_S52_L001_R1_001	0.008	0.004	0
60	90768_057C_S84_L001_R1_001	0.036	0.011	0
61	90768_061A_S21_L001_R1_001	0.074	0.019	0
62	90768_061B_S53_L001_R1_001	0	0	NA
63	90768_061C_S85_L001_R1_001	0.004	0	NA
64	90768_064A_S22_L001_R1_001	0.179	0.021	0
65	90768_064B_S54_L001_R1_001	0.002	0	NA
66	90768_064C_S86_L001_R1_001	0.015	0.004	0
67	90768_067A_S23_L001_R1_001	0.237	0.042	0.15
68	90768_067B_S55_L001_R1_001	0.004	0.002	0
69	90768_067C_S87_L001_R1_001	0.013	0.002	0
70	90768_075A_S24_L001_R1_001	0.37	0.044	0
71	90768_075B_S56_L001_R1_001	0.032	0.006	0
72	90768_075C_S88_L001_R1_001	0.084	0.019	0
73	90768_076A_S25_L001_R1_001	0.195	0.038	0.111
74	90768_076B_S57_L001_R1_001	0.004	0.004	0
75	90768_076C_S89_L001_R1_001	0.036	0.008	0
76	90768_077A_S26_L001_R1_001	0.225	0.046	0.091
77	90768_077B_S58_L001_R1_001	0.002	0	NA
78	90768_077C_S90_L001_R1_001	0.017	0.002	0
79	90768_078A_S27_L001_R1_001	0.59	0.092	0.205
80	90768_078B_S59_L001_R1_001	0.008	0.002	0
81	90768_078C_S91_L001_R1_001	0.273	0.086	0.024
82	90768_083A_S28_L001_R1_001	0.216	0.034	0.188
83	90768_083B_S60_L001_R1_001	0	0	NA
84	90768_083C_S92_L001_R1_001	0.002	0.002	0
85	90768_084A_S29_L001_R1_001	0.248	0.042	0.1
86	90768_084B_S61_L001_R1_001	0	0	NA
87	90768_084C_S93_L001_R1_001	0.021	0.008	0
88	90768_088A_S30_L001_R1_001	0.084	0.015	0.143
89	90768_088B_S62_L001_R1_001	0	0	NA
90	90768_088C_S94_L001_R1_001	0.002	0	NA
91	90768_090A_S31_L001_R1_001	0.023	0.006	0
92	90768_090B_S63_L001_R1_001	0	0	NA
93	90768_090C_S95_L001_R1_001	0.002	0	NA
94	90768_104A_S32_L001_R1_001	0.013	0.002	0
95	90768_104B_S64_L001_R1_001	0	0	NA
96	90768_104C_S96_L001_R1_001	0.002	0	NA
