"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231A_S1_L001_R1_001" "90763_232A_S2_L001_R1_001" 132 187 0.705882352941177 0.392857142857143 476
"2" "90763_231A_S1_L001_R1_001" "90763_236A_S3_L001_R1_001" 198 281 0.704626334519573 0.590336134453782 476
"3" "90763_231A_S1_L001_R1_001" "90763_237A_S4_L001_R1_001" 111 163 0.680981595092024 0.342436974789916 476
"4" "90763_231A_S1_L001_R1_001" "90763_238A_S5_L001_R1_001" 188 250 0.752 0.525210084033613 476
"5" "90763_231A_S1_L001_R1_001" "90768_005A_S6_L001_R1_001" 168 224 0.75 0.470588235294118 476
"6" "90763_231A_S1_L001_R1_001" "90768_009A_S7_L001_R1_001" 12 15 0.8 0.0315126050420168 476
"7" "90763_231A_S1_L001_R1_001" "90768_014A_S8_L001_R1_001" 16 20 0.8 0.0420168067226891 476
"8" "90763_231A_S1_L001_R1_001" "90768_015A_S9_L001_R1_001" 101 135 0.748148148148148 0.283613445378151 476
"9" "90763_231A_S1_L001_R1_001" "90768_018A_S10_L001_R1_001" 55 73 0.753424657534247 0.153361344537815 476
"10" "90763_231A_S1_L001_R1_001" "90768_027A_S11_L001_R1_001" 122 173 0.705202312138728 0.36344537815126 476
"11" "90763_231A_S1_L001_R1_001" "90768_029A_S12_L001_R1_001" 110 155 0.709677419354839 0.32563025210084 476
"12" "90763_231A_S1_L001_R1_001" "90768_034A_S13_L001_R1_001" 71 88 0.806818181818182 0.184873949579832 476
"13" "90763_231A_S1_L001_R1_001" "90768_040A_S14_L001_R1_001" 84 120 0.7 0.252100840336134 476
"14" "90763_231A_S1_L001_R1_001" "90768_042A_S15_L001_R1_001" 103 140 0.735714285714286 0.294117647058824 476
"15" "90763_231A_S1_L001_R1_001" "90768_044A_S16_L001_R1_001" 138 199 0.693467336683417 0.418067226890756 476
"16" "90763_231A_S1_L001_R1_001" "90768_054A_S17_L001_R1_001" 27 44 0.613636363636364 0.092436974789916 476
"17" "90763_231A_S1_L001_R1_001" "90768_055A_S18_L001_R1_001" 182 241 0.755186721991701 0.506302521008403 476
"18" "90763_231A_S1_L001_R1_001" "90768_056A_S19_L001_R1_001" 59 75 0.786666666666667 0.157563025210084 476
"19" "90763_231A_S1_L001_R1_001" "90768_057A_S20_L001_R1_001" 121 176 0.6875 0.369747899159664 476
"20" "90763_231A_S1_L001_R1_001" "90768_061A_S21_L001_R1_001" 39 50 0.78 0.105042016806723 476
"21" "90763_231A_S1_L001_R1_001" "90768_064A_S22_L001_R1_001" 72 93 0.774193548387097 0.195378151260504 476
"22" "90763_231A_S1_L001_R1_001" "90768_067A_S23_L001_R1_001" 112 157 0.713375796178344 0.329831932773109 476
"23" "90763_231A_S1_L001_R1_001" "90768_075A_S24_L001_R1_001" 161 209 0.770334928229665 0.439075630252101 476
"24" "90763_231A_S1_L001_R1_001" "90768_076A_S25_L001_R1_001" 70 91 0.769230769230769 0.191176470588235 476
"25" "90763_231A_S1_L001_R1_001" "90768_077A_S26_L001_R1_001" 30 44 0.681818181818182 0.092436974789916 476
"26" "90763_231A_S1_L001_R1_001" "90768_078A_S27_L001_R1_001" 111 149 0.74496644295302 0.313025210084034 476
"27" "90763_231A_S1_L001_R1_001" "90768_083A_S28_L001_R1_001" 24 32 0.75 0.0672268907563025 476
"28" "90763_231A_S1_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"29" "90763_231A_S1_L001_R1_001" "90768_088A_S30_L001_R1_001" 12 15 0.8 0.0315126050420168 476
"30" "90763_231A_S1_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
