Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	254	193	0.76
Tpa_0012	650	296	0.46
Tpa_0024	3239	0	0.00
Tpa_0035	661	371	0.56
Tpa_0037	1194	39	0.03
Tpa_0095	641	101	0.16
Tpa_0151	1243	731	0.59
Tpa_0183	415	266	0.64
Tpa_0186	5921	215	0.04
Tpa_0215	4008	0	0.00
Tpa_0226	203	193	0.95
Tpa_0228	9871	87	0.01
Tpa_0263	1661	757	0.46
Tpa_0269	2294	106	0.05
Tpa_0272	703	2	0.00
Tpa_0301	486	473	0.97
Tpa_0342	464	349	0.75
Tpa_0346	2233	591	0.26
Tpa_0358	1226	527	0.43
Tpa_0366	9604	40	0.00
Tpa_0367	755	586	0.78
Tpa_0371	124	27	0.22
Tpa_0395	12	11	0.92
Tpa_0409	13513	13	0.00
Tpa_0427	1017	853	0.84
Tpa_0429	786	43	0.05
Tpa_0438	4040	89	0.02
Tpa_0439	28	23	0.82
Tpa_0474	42	15	0.36
Tpa_0492	1330	18	0.01
Tpa_0500	645	62	0.10
Tpa_0540	26483	896	0.03
Tpa_0547	651	10	0.02
Tpa_0556	23058	1306	0.06
Tpa_0569	28	20	0.71
Tpa_0592	1219	171	0.14
Tpa_0650	9258	50	0.01
Tpa_0671	49	48	0.98
Tpa_0678	2839	20	0.01
Tpa_0730	2607	785	0.30
Tpa_0743	851	829	0.97
Tpa_0763	45	1	0.02
Tpa_0768	2068	863	0.42
Tpa_0826	2628	275	0.10
Tpa_0866	1490	483	0.32
Tpa_0868	978	16	0.02
Tpa_0882	24	17	0.71
Tpa_0888	4943	28	0.01
Tpa_0895	7900	172	0.02
Tpa_0905	243	28	0.12
Tpa_0912	7689	43	0.01
Tpa_0929	540	17	0.03
Tpa_0936	13738	545	0.04
Tpa_0953	7557	747	0.10
Tpa_0970	10731	0	0.00
Tpa_0973	21546	0	0.00
Tpa_0979	5645	1	0.00
Tpa_1007	289	109	0.38
Tpa_1022	70	1	0.01
Tpa_1042	18	2	0.11
Tpa_1071	4222	293	0.07
Tpa_1077	2466	29	0.01
Tpa_1082	585	172	0.29
Tpa_1098	41	4	0.10
Tpa_1112	222	1	0.00
Tpa_1136	3	1	0.33
Tpa_1144	14	3	0.21
Tpa_1154	17	2	0.12
Tpa_1156	2	1	0.50
Tpa_1187	161	129	0.80
Tpa_1268	32	14	0.44
Tpa_1290	761	143	0.19
Tpa_1304	10	3	0.30
Tpa_1305	7946	0	0.00
Tpa_1310	351	125	0.36
Tpa_1312	5870	1634	0.28
Tpa_1320	10030	333	0.03
Tpa_1341	12671	7	0.00
Tpa_1357	551	37	0.07
Tpa_1359	5016	1447	0.29
Tpa_1394	1521	763	0.50
Tpa_1443	585	157	0.27
Tpa_1486	5673	19	0.00
Tpa_1515	2605	36	0.01
Tpa_1528	5655	30	0.01
Tpa_1542	9495	14	0.00
Tpa_1548	10352	945	0.09
Tpa_1550	330	186	0.56
Tpa_1585	1120	562	0.50
Tpa_1593	589	322	0.55
Tpa_1606	5299	2768	0.52
Tpa_1638	6179	181	0.03
Tpa_1646	13416	1224	0.09
Tpa_1662	2118	45	0.02
Tpa_1678	511	64	0.13
Tpa_1689	1441	9	0.01
Tpa_1703	23	0	0.00
Tpa_1731	5531	1326	0.24
Tpa_1774	18	5	0.28
Tpa_1775	31429	1116	0.04
Tpa_1818	1881	99	0.05
Tpa_1831	589	582	0.99
Tpa_1832	194	189	0.97
Tpa_1843	10698	413	0.04
Tpa_1891	766	712	0.93
Tpa_1896	17114	386	0.02
Tpa_1917	333	33	0.10
Tpa_1930	448	430	0.96
Tpa_1966	14	8	0.57
Tpa_2006	20	19	0.95
Tpa_2010	3178	115	0.04
Tpa_2021	4999	2	0.00
Tpa_2034	21	21	1.00
