"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231B_S33_L001_R1_001" "90763_232B_S34_L001_R1_001" 108 144 0.75 0.302521008403361 476
"2" "90763_231B_S33_L001_R1_001" "90763_236B_S35_L001_R1_001" 162 232 0.698275862068966 0.487394957983193 476
"3" "90763_231B_S33_L001_R1_001" "90763_237B_S36_L001_R1_001" 53 70 0.757142857142857 0.147058823529412 476
"4" "90763_231B_S33_L001_R1_001" "90763_238B_S37_L001_R1_001" 119 159 0.748427672955975 0.334033613445378 476
"5" "90763_231B_S33_L001_R1_001" "90768_005B_S38_L001_R1_001" 122 160 0.7625 0.336134453781513 476
"6" "90763_231B_S33_L001_R1_001" "90768_009B_S39_L001_R1_001" 17 24 0.708333333333333 0.0504201680672269 476
"7" "90763_231B_S33_L001_R1_001" "90768_014B_S40_L001_R1_001" 24 34 0.705882352941177 0.0714285714285714 476
"8" "90763_231B_S33_L001_R1_001" "90768_015B_S41_L001_R1_001" 75 96 0.78125 0.201680672268908 476
"9" "90763_231B_S33_L001_R1_001" "90768_018B_S42_L001_R1_001" 33 48 0.6875 0.100840336134454 476
"10" "90763_231B_S33_L001_R1_001" "90768_027B_S43_L001_R1_001" 58 81 0.716049382716049 0.170168067226891 476
"11" "90763_231B_S33_L001_R1_001" "90768_029B_S44_L001_R1_001" 67 92 0.728260869565217 0.19327731092437 476
"12" "90763_231B_S33_L001_R1_001" "90768_034B_S45_L001_R1_001" 22 26 0.846153846153846 0.0546218487394958 476
"13" "90763_231B_S33_L001_R1_001" "90768_040B_S46_L001_R1_001" 105 144 0.729166666666667 0.302521008403361 476
"14" "90763_231B_S33_L001_R1_001" "90768_042B_S47_L001_R1_001" 84 110 0.763636363636364 0.23109243697479 476
"15" "90763_231B_S33_L001_R1_001" "90768_044B_S48_L001_R1_001" 117 171 0.684210526315789 0.359243697478992 476
"16" "90763_231B_S33_L001_R1_001" "90768_054B_S49_L001_R1_001" 8 11 0.727272727272727 0.023109243697479 476
"17" "90763_231B_S33_L001_R1_001" "90768_055B_S50_L001_R1_001" 77 97 0.793814432989691 0.203781512605042 476
"18" "90763_231B_S33_L001_R1_001" "90768_056B_S51_L001_R1_001" 17 22 0.772727272727273 0.046218487394958 476
"19" "90763_231B_S33_L001_R1_001" "90768_057B_S52_L001_R1_001" 40 57 0.701754385964912 0.119747899159664 476
"20" "90763_231B_S33_L001_R1_001" "90768_061B_S53_L001_R1_001" 14 20 0.7 0.0420168067226891 476
"21" "90763_231B_S33_L001_R1_001" "90768_064B_S54_L001_R1_001" 35 43 0.813953488372093 0.0903361344537815 476
"22" "90763_231B_S33_L001_R1_001" "90768_067B_S55_L001_R1_001" 45 60 0.75 0.126050420168067 476
"23" "90763_231B_S33_L001_R1_001" "90768_075B_S56_L001_R1_001" 0 0 NA 0 476
