"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231C_S65_L001_R1_001" "90763_232C_S66_L001_R1_001" 118 162 0.728395061728395 0.340336134453782 476
"2" "90763_231C_S65_L001_R1_001" "90763_236C_S67_L001_R1_001" 180 252 0.714285714285714 0.529411764705882 476
"3" "90763_231C_S65_L001_R1_001" "90763_237C_S68_L001_R1_001" 62 89 0.696629213483146 0.186974789915966 476
"4" "90763_231C_S65_L001_R1_001" "90763_238C_S69_L001_R1_001" 117 155 0.754838709677419 0.32563025210084 476
"5" "90763_231C_S65_L001_R1_001" "90768_005C_S70_L001_R1_001" 139 186 0.747311827956989 0.390756302521008 476
"6" "90763_231C_S65_L001_R1_001" "90768_009C_S71_L001_R1_001" 29 40 0.725 0.0840336134453782 476
"7" "90763_231C_S65_L001_R1_001" "90768_014C_S72_L001_R1_001" 13 18 0.722222222222222 0.0378151260504202 476
"8" "90763_231C_S65_L001_R1_001" "90768_015C_S73_L001_R1_001" 79 110 0.718181818181818 0.23109243697479 476
"9" "90763_231C_S65_L001_R1_001" "90768_018C_S74_L001_R1_001" 25 39 0.641025641025641 0.0819327731092437 476
"10" "90763_231C_S65_L001_R1_001" "90768_027C_S75_L001_R1_001" 92 134 0.686567164179104 0.281512605042017 476
"11" "90763_231C_S65_L001_R1_001" "90768_029C_S76_L001_R1_001" 103 139 0.741007194244604 0.292016806722689 476
"12" "90763_231C_S65_L001_R1_001" "90768_034C_S77_L001_R1_001" 29 36 0.805555555555556 0.0756302521008403 476
"13" "90763_231C_S65_L001_R1_001" "90768_040C_S78_L001_R1_001" 76 108 0.703703703703704 0.226890756302521 476
"14" "90763_231C_S65_L001_R1_001" "90768_042C_S79_L001_R1_001" 84 113 0.743362831858407 0.237394957983193 476
"15" "90763_231C_S65_L001_R1_001" "90768_044C_S80_L001_R1_001" 84 125 0.672 0.262605042016807 476
"16" "90763_231C_S65_L001_R1_001" "90768_054C_S81_L001_R1_001" 17 23 0.739130434782609 0.0483193277310924 476
"17" "90763_231C_S65_L001_R1_001" "90768_055C_S82_L001_R1_001" 130 174 0.747126436781609 0.365546218487395 476
"18" "90763_231C_S65_L001_R1_001" "90768_056C_S83_L001_R1_001" 42 51 0.823529411764706 0.107142857142857 476
"19" "90763_231C_S65_L001_R1_001" "90768_057C_S84_L001_R1_001" 95 133 0.714285714285714 0.279411764705882 476
"20" "90763_231C_S65_L001_R1_001" "90768_061C_S85_L001_R1_001" 20 27 0.740740740740741 0.0567226890756303 476
"21" "90763_231C_S65_L001_R1_001" "90768_064C_S86_L001_R1_001" 86 113 0.761061946902655 0.237394957983193 476
"22" "90763_231C_S65_L001_R1_001" "90768_067C_S87_L001_R1_001" 52 69 0.753623188405797 0.144957983193277 476
"23" "90763_231C_S65_L001_R1_001" "90768_075C_S88_L001_R1_001" 22 27 0.814814814814815 0.0567226890756303 476
"24" "90763_231C_S65_L001_R1_001" "90768_076C_S89_L001_R1_001" 37 48 0.770833333333333 0.100840336134454 476
"25" "90763_231C_S65_L001_R1_001" "90768_077C_S90_L001_R1_001" 44 59 0.745762711864407 0.123949579831933 476
"26" "90763_231C_S65_L001_R1_001" "90768_078C_S91_L001_R1_001" 147 201 0.73134328358209 0.422268907563025 476
"27" "90763_231C_S65_L001_R1_001" "90768_083C_S92_L001_R1_001" 44 57 0.771929824561403 0.119747899159664 476
"28" "90763_231C_S65_L001_R1_001" "90768_084C_S93_L001_R1_001" 76 95 0.8 0.199579831932773 476
"29" "90763_231C_S65_L001_R1_001" "90768_088C_S94_L001_R1_001" 51 68 0.75 0.142857142857143 476
"30" "90763_231C_S65_L001_R1_001" "90768_090C_S95_L001_R1_001" 16 18 0.888888888888889 0.0378151260504202 476
"31" "90763_231C_S65_L001_R1_001" "90768_104C_S96_L001_R1_001" 0 2 0 0.00420168067226891 476
"32" "90763_232C_S66_L001_R1_001" "90763_236C_S67_L001_R1_001" 123 166 0.740963855421687 0.348739495798319 476
"33" "90763_232C_S66_L001_R1_001" "90763_237C_S68_L001_R1_001" 67 90 0.744444444444444 0.189075630252101 476
"34" "90763_232C_S66_L001_R1_001" "90763_238C_S69_L001_R1_001" 100 138 0.72463768115942 0.289915966386555 476
"35" "90763_232C_S66_L001_R1_001" "90768_005C_S70_L001_R1_001" 109 146 0.746575342465753 0.30672268907563 476
"36" "90763_232C_S66_L001_R1_001" "90768_009C_S71_L001_R1_001" 31 40 0.775 0.0840336134453782 476
"37" "90763_232C_S66_L001_R1_001" "90768_014C_S72_L001_R1_001" 12 17 0.705882352941177 0.0357142857142857 476
"38" "90763_232C_S66_L001_R1_001" "90768_015C_S73_L001_R1_001" 78 101 0.772277227722772 0.21218487394958 476
"39" "90763_232C_S66_L001_R1_001" "90768_018C_S74_L001_R1_001" 26 39 0.666666666666667 0.0819327731092437 476
"40" "90763_232C_S66_L001_R1_001" "90768_027C_S75_L001_R1_001" 97 120 0.808333333333333 0.252100840336134 476
"41" "90763_232C_S66_L001_R1_001" "90768_029C_S76_L001_R1_001" 98 122 0.80327868852459 0.256302521008403 476
"42" "90763_232C_S66_L001_R1_001" "90768_034C_S77_L001_R1_001" 27 35 0.771428571428571 0.0735294117647059 476
