Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	778	527	0.68
Tpa_0012	1767	403	0.23
Tpa_0024	12998	0	0.00
Tpa_0035	1891	559	0.30
Tpa_0037	6184	121	0.02
Tpa_0095	1953	161	0.08
Tpa_0151	4139	1482	0.36
Tpa_0183	1150	436	0.38
Tpa_0186	21226	323	0.02
Tpa_0215	15757	0	0.00
Tpa_0226	902	854	0.95
Tpa_0228	46381	399	0.01
Tpa_0263	5108	1475	0.29
Tpa_0269	11069	169	0.02
Tpa_0272	2932	18	0.01
Tpa_0301	758	730	0.96
Tpa_0342	917	537	0.59
Tpa_0346	9660	1430	0.15
Tpa_0358	3278	730	0.22
Tpa_0366	54542	51	0.00
Tpa_0367	1642	874	0.53
Tpa_0371	281	34	0.12
Tpa_0395	16	15	0.94
Tpa_0409	62385	18	0.00
Tpa_0427	2535	1930	0.76
Tpa_0429	3827	84	0.02
Tpa_0438	18299	171	0.01
Tpa_0439	49	30	0.61
Tpa_0474	212	55	0.26
Tpa_0492	6746	25	0.00
Tpa_0500	1357	88	0.06
Tpa_0540	142973	2051	0.01
Tpa_0547	2723	18	0.01
Tpa_0556	112069	2463	0.02
Tpa_0569	40	24	0.60
Tpa_0592	4078	284	0.07
Tpa_0650	42175	315	0.01
Tpa_0671	68	63	0.93
Tpa_0678	10844	105	0.01
Tpa_0730	9296	1350	0.15
Tpa_0743	1825	1760	0.96
Tpa_0763	109	1	0.01
Tpa_0768	8661	2235	0.26
Tpa_0826	11207	450	0.04
Tpa_0866	4353	861	0.20
Tpa_0868	4504	42	0.01
Tpa_0882	136	84	0.62
Tpa_0888	22823	31	0.00
Tpa_0895	42094	293	0.01
Tpa_0905	1025	37	0.04
Tpa_0912	37160	200	0.01
Tpa_0929	1294	27	0.02
Tpa_0936	61334	908	0.01
Tpa_0953	38488	1958	0.05
Tpa_0970	39720	3	0.00
Tpa_0973	109198	1	0.00
Tpa_0979	26247	5	0.00
Tpa_1007	597	169	0.28
Tpa_1022	261	1	0.00
Tpa_1042	51	3	0.06
Tpa_1071	19044	388	0.02
Tpa_1077	10292	41	0.00
Tpa_1082	2212	431	0.19
Tpa_1098	200	6	0.03
Tpa_1112	1007	1	0.00
Tpa_1136	12	1	0.08
Tpa_1144	51	3	0.06
Tpa_1154	47	2	0.04
Tpa_1156	2	1	0.50
Tpa_1187	324	235	0.73
Tpa_1268	110	21	0.19
Tpa_1290	2885	230	0.08
Tpa_1304	28	3	0.11
Tpa_1305	32254	0	0.00
Tpa_1310	1195	155	0.13
Tpa_1312	19986	3496	0.17
Tpa_1320	38847	2162	0.06
Tpa_1341	61174	15	0.00
Tpa_1357	1795	52	0.03
Tpa_1359	21736	6786	0.31
Tpa_1394	3314	1329	0.40
Tpa_1443	3156	337	0.11
Tpa_1486	25966	28	0.00
Tpa_1515	11712	126	0.01
Tpa_1528	29884	105	0.00
Tpa_1542	46563	19	0.00
Tpa_1548	46204	1658	0.04
Tpa_1550	725	242	0.33
Tpa_1585	2667	857	0.32
Tpa_1593	1456	498	0.34
Tpa_1606	22353	8601	0.38
Tpa_1638	27121	267	0.01
Tpa_1646	60932	2380	0.04
Tpa_1662	7079	62	0.01
Tpa_1678	2344	90	0.04
Tpa_1689	7569	11	0.00
Tpa_1703	53	1	0.02
Tpa_1731	22826	3003	0.13
Tpa_1774	83	5	0.06
Tpa_1775	152884	6631	0.04
Tpa_1818	8104	166	0.02
Tpa_1831	768	754	0.98
Tpa_1832	725	714	0.98
Tpa_1843	55059	752	0.01
Tpa_1891	1446	1224	0.85
Tpa_1896	88508	638	0.01
Tpa_1917	1183	39	0.03
Tpa_1930	721	632	0.88
Tpa_1966	25	8	0.32
Tpa_2006	39	31	0.79
Tpa_2010	13540	182	0.01
Tpa_2021	24434	2	0.00
Tpa_2034	39	33	0.85
Tpa_2040	251	185	0.74
Tpa_2041	13412	69	0.01
Tpa_2073	78547	337	0.00
Tpa_2076	4530	731	0.16
Tpa_2096	1729	402	0.23
Tpa_2128	12	8	0.67
Tpa_2157	8622	2091	0.24
Tpa_2180	41466	147	0.00
Tpa_2194	174	109	0.63
Tpa_2207	1616	1399	0.87
Tpa_2254	40509	90	0.00
Tpa_2278	426	352	0.83
Tpa_2334	97117	0	0.00
Tpa_2344	12522	2519	0.20
Tpa_2353	4484	1434	0.32
Tpa_2368	34731	55	0.00
Tpa_2412	75842	6016	0.08
Tpa_2417	2229	525	0.24
Tpa_2453	2839	0	0.00
Tpa_2458	2302	24	0.01
Tpa_2460	109159	302	0.00
Tpa_2470	19053	456	0.02
Tpa_2483	26011	1250	0.05
Tpa_2498	21591	61	0.00
Tpa_2509	105	90	0.86
Tpa_2518	11527	851	0.07
Tpa_2519	1467	46	0.03
Tpa_2523	28301	39	0.00
Tpa_2581	6206	1181	0.19
Tpa_2601	6432	6064	0.94
Tpa_2608	55137	2174	0.04
Tpa_2636	2549	1294	0.51
Tpa_2639	49809	22	0.00
Tpa_2664	62911	163	0.00
Tpa_2702	68	15	0.22
Tpa_2712	191	24	0.13
Tpa_2734	3943	148	0.04
Tpa_2741	18	0	0.00
Tpa_2745	10692	411	0.04
Tpa_2763	400	351	0.88
Tpa_2845	564	87	0.15
Tpa_2854	137820	428	0.00
Tpa_2856	48679	885	0.02
Tpa_2861	63443	1181	0.02
Tpa_2868	35627	403	0.01
Tpa_2900	227	34	0.15
Tpa_2907	38523	444	0.01
Tpa_2961	828	593	0.72
Tpa_2970	9448	39	0.00
Tpa_3004	13003	110	0.01
Tpa_3011	72357	305	0.00
Tpa_3018	0	0	NA
Tpa_3047	14004	693	0.05
Tpa_3055	1173	34	0.03
Tpa_3063	25541	76	0.00
Tpa_3129	742	10	0.01
Tpa_3149	292	277	0.95
Tpa_3193	532	0	0.00
Tpa_3197	9731	193	0.02
Tpa_3200	1176	71	0.06
Tpa_3248	629	614	0.98
Tpa_3254	14922	76	0.01
Tpa_3262	26322	2105	0.08
Tpa_3263	122310	605	0.00
Tpa_3310	41273	271	0.01
Tpa_3347	14499	205	0.01
Tpa_3354	1448	1378	0.95
Tpa_3364	15710	458	0.03
Tpa_3385	20	4	0.20
Tpa_3439	979	15	0.02
Tpa_3502	934	3	0.00
Tpa_3561	2064	29	0.01
Tpa_3569	37	32	0.86
Tpa_3583	6466	258	0.04
