Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_231A_S1_L001_R1_001	243807	 7155	194791	41861	0.03	0.80	0.17	0.708	0.130	0.161
90763_231B_S33_L001_R1_001	 61064	 1772	 46093	13199	0.03	0.75	0.22	0.487	0.078	0.135
90763_231C_S65_L001_R1_001	 62855	 1782	 46923	14150	0.03	0.75	0.23	0.557	0.103	0.082
90763_232A_S2_L001_R1_001	 45043	 1593	 36492	 6958	0.04	0.81	0.15	0.408	0.057	0.148
90763_232B_S34_L001_R1_001	 17313	  532	 13863	 2918	0.03	0.80	0.17	0.319	0.042	0.050
90763_232C_S66_L001_R1_001	 22605	  730	 17828	 4047	0.03	0.79	0.18	0.355	0.053	0.080
90763_236A_S3_L001_R1_001	 43721	  959	 24271	18491	0.02	0.56	0.42	0.609	0.090	0.186
90763_236C_S67_L001_R1_001	 42242	  990	 22937	18315	0.02	0.54	0.43	0.645	0.099	0.191
90763_237A_S4_L001_R1_001	227520	 7296	210564	 9660	0.03	0.93	0.04	0.370	0.078	0.027
90763_237B_S36_L001_R1_001	 58548	 1793	 53997	 2758	0.03	0.92	0.05	0.153	0.029	0.000
90763_237C_S68_L001_R1_001	103228	 3326	 96374	 3528	0.03	0.93	0.03	0.189	0.040	0.211
90763_238A_S5_L001_R1_001	236986	 7668	208564	20754	0.03	0.88	0.09	0.565	0.063	0.067
90763_238B_S37_L001_R1_001	198437	 6171	176394	15872	0.03	0.89	0.08	0.393	0.057	0.185
90763_238C_S69_L001_R1_001	 69073	 2519	 60425	 6129	0.04	0.87	0.09	0.349	0.053	0.040
90768_005A_S6_L001_R1_001	147055	 4260	124092	18703	0.03	0.84	0.13	0.477	0.076	0.194
90768_005B_S38_L001_R1_001	 40024	 1116	 32991	 5917	0.03	0.82	0.15	0.353	0.057	0.185
90768_005C_S70_L001_R1_001	 51248	 1777	 43254	 6217	0.03	0.84	0.12	0.412	0.063	0.133
90768_009A_S7_L001_R1_001	 14085	  512	 13408	  165	0.04	0.95	0.01	0.032	0.006	0.000
90768_009B_S39_L001_R1_001	 34551	 1136	 32953	  462	0.03	0.95	0.01	0.050	0.008	0.000
90768_009C_S71_L001_R1_001	157350	 5018	151125	 1207	0.03	0.96	0.01	0.084	0.013	0.333
90768_014A_S8_L001_R1_001	 19002	 2029	 16776	  197	0.11	0.88	0.01	0.042	0.006	0.333
90768_014B_S40_L001_R1_001	 84825	 2655	 81487	  683	0.03	0.96	0.01	0.074	0.013	0.000
90768_014C_S72_L001_R1_001	 25762	  992	 24580	  190	0.04	0.95	0.01	0.038	0.008	0.000
90768_015A_S9_L001_R1_001	141317	 4514	130446	 6357	0.03	0.92	0.04	0.290	0.055	0.000
