Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y
1	CAT_52507_184_S123_L001_R1_001	90843	4532	63907	22404	0.05	0.7	0.25	0.43	0.048	0.167	0.43	0.048	0.167
2	CAT_52507_184_S27_L001_R1_001	224890	35034	102577	87279	0.16	0.46	0.39	0.786	0.104	0.173	0.786	0.104	0.173
3	CAT_52507_212_S124_L001_R1_001	107226	3891	57300	46035	0.04	0.53	0.43	0.604	0.086	0.116	0.604	0.086	0.116
4	CAT_52507_212_S28_L001_R1_001	872654	46378	127194	699082	0.05	0.15	0.8	0.956	0.152	0.289	0.956	0.152	0.289
5	CAT_52507_240_S125_L001_R1_001	75059	3688	62536	8835	0.05	0.83	0.12	0.298	0.04	0.1	0.298	0.04	0.1
6	CAT_52507_240_S29_L001_R1_001	113173	28388	76542	8243	0.25	0.68	0.07	0.58	0.08	0.05	0.58	0.08	0.05
7	CAT_52507_271_S126_L001_R1_001	44275	1705	26790	15780	0.04	0.61	0.36	0.434	0.054	0.111	0.434	0.054	0.111
8	CAT_52507_271_S30_L001_R1_001	428340	39207	102048	287085	0.09	0.24	0.67	0.862	0.126	0.27	0.862	0.126	0.27
9	CAT_52507_351_S127_L001_R1_001	50308	2258	34206	13844	0.04	0.68	0.28	0.402	0.052	0.077	0.402	0.052	0.077
10	CAT_52507_351_S31_L001_R1_001	174648	30314	75751	68583	0.17	0.43	0.39	0.862	0.114	0.123	0.862	0.114	0.123
11	CAT_52507_356_S128_L001_R1_001	94441	3709	56589	34143	0.04	0.6	0.36	0.554	0.072	0.167	0.554	0.072	0.167
12	CAT_52507_356_S32_L001_R1_001	327918	26036	81083	220799	0.08	0.25	0.67	0.91	0.132	0.348	0.91	0.132	0.348
13	CAT_52507_362_S129_L001_R1_001	56606	2825	47745	6036	0.05	0.84	0.11	0.206	0.038	0.158	0.206	0.038	0.158
14	CAT_52507_362_S33_L001_R1_001	111786	22247	80022	9517	0.2	0.72	0.09	0.564	0.094	0.128	0.564	0.094	0.128
