Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	1270	1106	0.87
Tpa_0012	9271	3629	0.39
Tpa_0024	1768	9	0.01
Tpa_0035	1431	819	0.57
Tpa_0037	3741	309	0.08
Tpa_0095	55169	33582	0.61
Tpa_0151	93205	80009	0.86
Tpa_0183	37955	31604	0.83
Tpa_0186	3847	1505	0.39
Tpa_0215	197	2	0.01
Tpa_0226	165	119	0.72
Tpa_0228	3182	162	0.05
Tpa_0263	12054	1163	0.10
Tpa_0269	4440	552	0.12
Tpa_0272	92	30	0.33
Tpa_0301	46910	45577	0.97
Tpa_0342	6095	5504	0.90
Tpa_0346	3421	1020	0.30
Tpa_0358	2394	2127	0.89
Tpa_0366	114183	2772	0.02
Tpa_0367	1648	1211	0.73
Tpa_0371	5691	4497	0.79
Tpa_0395	4188	3708	0.89
Tpa_0409	2751	235	0.09
Tpa_0427	2120	2018	0.95
Tpa_0429	2864	796	0.28
Tpa_0438	6633	662	0.10
Tpa_0439	25669	24747	0.96
Tpa_0474	1228	47	0.04
Tpa_0492	3604	637	0.18
Tpa_0500	34175	316	0.01
Tpa_0540	27265	324	0.01
Tpa_0547	15898	6193	0.39
Tpa_0556	13337	303	0.02
Tpa_0569	5650	3917	0.69
Tpa_0584	10271	3076	0.30
Tpa_0592	42542	30808	0.72
Tpa_0650	66080	391	0.01
Tpa_0671	3574	3442	0.96
Tpa_0678	128	29	0.23
Tpa_0687	3522	2943	0.84
Tpa_0730	2405	1015	0.42
Tpa_0743	1704	1638	0.96
Tpa_0763	4013	3145	0.78
Tpa_0768	11437	146	0.01
Tpa_0791	32185	4860	0.15
Tpa_0826	1462	183	0.13
Tpa_0866	85856	76714	0.89
Tpa_0868	23	8	0.35
Tpa_0882	112	105	0.94
Tpa_0888	109261	3261	0.03
Tpa_0895	3880	945	0.24
Tpa_0905	7419	3636	0.49
Tpa_0912	2525	82	0.03
Tpa_0929	4324	249	0.06
Tpa_0936	37434	1023	0.03
Tpa_0953	161545	21532	0.13
Tpa_0970	70	14	0.20
Tpa_0973	145817	29	0.00
Tpa_0979	105718	3073	0.03
Tpa_1007	4287	1621	0.38
Tpa_1022	89346	2939	0.03
Tpa_1042	942	455	0.48
Tpa_1071	4632	735	0.16
Tpa_1077	43792	2174	0.05
Tpa_1082	92276	83540	0.91
Tpa_1098	45	29	0.64
Tpa_1112	6709	2943	0.44
Tpa_1136	39	5	0.13
Tpa_1144	2806	2017	0.72
Tpa_1154	20928	3768	0.18
Tpa_1156	61	10	0.16
Tpa_1187	1623	1514	0.93
Tpa_1268	3116	2143	0.69
Tpa_1290	0	0	NA
Tpa_1304	9414	2884	0.31
Tpa_1305	917	5	0.01
Tpa_1310	6896	1073	0.16
Tpa_1312	25610	4541	0.18
Tpa_1320	6916	212	0.03
Tpa_1341	13885	298	0.02
Tpa_1357	7808	4228	0.54
Tpa_1359	1419	760	0.54
Tpa_1394	236	225	0.95
Tpa_1404	417201	95	0.00
Tpa_1443	371	72	0.19
Tpa_1486	104397	2009	0.02
Tpa_1515	3240	1028	0.32
Tpa_1528	7947	568	0.07
Tpa_1542	96984	4847	0.05
Tpa_1548	1804	324	0.18
Tpa_1550	18228	3753	0.21
Tpa_1585	70902	64754	0.91
Tpa_1593	3641	1045	0.29
Tpa_1606	22419	670	0.03
Tpa_1638	6221	412	0.07
Tpa_1646	43275	1806	0.04
Tpa_1662	30972	4634	0.15
