Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52507_184_S123_L001_R1_001	90843	4532	63907	22404	0.05	0.7	0.25	0.43	0.048	0.167
CAT_52507_212_S124_L001_R1_001	107226	3891	57300	46035	0.04	0.53	0.43	0.604	0.086	0.116
CAT_52507_240_S125_L001_R1_001	75059	3688	62536	8835	0.05	0.83	0.12	0.298	0.04	0.1
CAT_52507_240_S29_L001_R1_001	113173	28388	76542	8243	0.25	0.68	0.07	0.58	0.08	0.05
CAT_52507_271_S126_L001_R1_001	44275	1705	26790	15780	0.04	0.61	0.36	0.434	0.054	0.111
CAT_52507_351_S127_L001_R1_001	50308	2258	34206	13844	0.04	0.68	0.28	0.402	0.052	0.077
CAT_52507_356_S128_L001_R1_001	94441	3709	56589	34143	0.04	0.6	0.36	0.554	0.072	0.167
CAT_52507_362_S129_L001_R1_001	56606	2825	47745	6036	0.05	0.84	0.11	0.206	0.038	0.158
CAT_52507_362_S33_L001_R1_001	111786	22247	80022	9517	0.2	0.72	0.09	0.564	0.094	0.128
CAT_52507_385_S97_L001_R1_001	115384	18974	85408	11002	0.16	0.74	0.1	0.528	0.074	0.081
CAT_52507_392_S2_L001_R1_001	149225	36396	106463	6366	0.24	0.71	0.04	0.572	0.084	0
CAT_52507_392_S98_L001_R1_001	125041	18721	94900	11420	0.15	0.76	0.09	0.466	0.06	0.033
CAT_52507_397_S99_L001_R1_001	133631	18086	99758	15787	0.14	0.75	0.12	0.548	0.086	0.14
CAT_52507_401_S100_L001_R1_001	230434	11764	215139	3531	0.05	0.93	0.02	0.062	0.008	0.25
CAT_52507_401_S4_L001_R1_001	184046	29685	152579	1782	0.16	0.83	0.01	0.094	0.02	0.1
CAT_52507_406_S101_L001_R1_001	175924	8890	145844	21190	0.05	0.83	0.12	0.376	0.05	0.2
CAT_52507_406_S5_L001_R1_001	167900	31033	121789	15078	0.18	0.73	0.09	0.672	0.09	0.067
CAT_52507_407_S102_L001_R1_001	148176	7511	131005	9660	0.05	0.88	0.07	0.178	0.02	0.1
CAT_52507_407_S6_L001_R1_001	95517	13748	77612	4157	0.14	0.81	0.04	0.156	0.018	0.111
CAT_52507_411_S103_L001_R1_001	74601	3825	60110	10666	0.05	0.81	0.14	0.284	0.046	0.217
CAT_52507_411_S7_L001_R1_001	93444	20062	64750	8632	0.21	0.69	0.09	0.53	0.088	0.091
CAT_52507_413_S104_L001_R1_001	148605	8096	115739	24770	0.05	0.78	0.17	0.378	0.062	0.129
CAT_52507_413_S8_L001_R1_001	136431	23552	92691	20188	0.17	0.68	0.15	0.68	0.094	0.085
CAT_52507_414_S105_L001_R1_001	53026	2746	47014	3266	0.05	0.89	0.06	0.122	0.02	0.2
CAT_52507_414_S9_L001_R1_001	90625	20471	68300	1854	0.23	0.75	0.02	0.162	0.028	0.071
CAT_52507_415_S106_L001_R1_001	61867	3269	46776	11822	0.05	0.76	0.19	0.392	0.074	0.108
CAT_52507_418_S107_L001_R1_001	129097	7300	93662	28135	0.06	0.73	0.22	0.496	0.082	0.098
CAT_52507_422_S108_L001_R1_001	144746	7603	127211	9932	0.05	0.88	0.07	0.208	0.034	0.059
CAT_52507_422_S12_L001_R1_001	167174	36415	125125	5634	0.22	0.75	0.03	0.348	0.052	0.038
CAT_52507_425_S109_L001_R1_001	74319	4107	62758	7454	0.06	0.84	0.1	0.228	0.036	0.111
CAT_52507_425_S13_L001_R1_001	88963	23637	60476	4850	0.27	0.68	0.05	0.404	0.068	0.088
CAT_52507_429_S110_L001_R1_001	30341	1621	25500	3220	0.05	0.84	0.11	0.182	0.03	0.067
CAT_52507_429_S14_L001_R1_001	80301	20393	55764	4144	0.25	0.69	0.05	0.454	0.082	0.049
CAT_52507_431_S111_L001_R1_001	101995	5579	79754	16662	0.05	0.78	0.16	0.412	0.054	0.148
CAT_52507_440_S112_L001_R1_001	34787	1828	27386	5573	0.05	0.79	0.16	0.238	0.042	0.048
CAT_52507_440_S16_L001_R1_001	130286	25198	93685	11403	0.19	0.72	0.09	0.654	0.088	0.023
CAT_52507_442_S113_L001_R1_001	78737	3890	62551	12296	0.05	0.79	0.16	0.328	0.044	0.091
CAT_52507_442_S17_L001_R1_001	186399	32199	122244	31956	0.17	0.66	0.17	0.754	0.096	0.083
CAT_52507_445_S114_L001_R1_001	63271	3124	47094	13053	0.05	0.74	0.21	0.396	0.064	0.188
CAT_52507_465_S115_L001_R1_001	109558	5181	77214	27163	0.05	0.7	0.25	0.426	0.076	0.158
CAT_52507_467_S116_L001_R1_001	96696	4558	76294	15844	0.05	0.79	0.16	0.376	0.056	0.143
CAT_52507_472_S117_L001_R1_001	81425	4437	70117	6871	0.05	0.86	0.08	0.19	0.04	0.1
CAT_52507_472_S21_L001_R1_001	128384	32855	90102	5427	0.26	0.7	0.04	0.416	0.074	0.054
CAT_52507_473_S118_L001_R1_001	82581	3904	60701	17976	0.05	0.74	0.22	0.4	0.056	0.107
CAT_52507_477_S119_L001_R1_001	99635	5313	85972	8350	0.05	0.86	0.08	0.252	0.052	0.115
CAT_52507_479_S120_L001_R1_001	40851	1995	28669	10187	0.05	0.7	0.25	0.356	0.054	0.074
CAT_52507_484_S121_L001_R1_001	110914	5457	84187	21270	0.05	0.76	0.19	0.386	0.062	0.097
CAT_52507_485_S122_L001_R1_001	116295	6317	84836	25142	0.05	0.73	0.22	0.508	0.072	0.139
CAT_52508_002_S130_L001_R1_001	66529	3476	54395	8658	0.05	0.82	0.13	0.3	0.042	0
CAT_52508_004_S131_L001_R1_001	136444	7095	122259	7090	0.05	0.9	0.05	0.148	0.028	0.143
