sample	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_184_S123_L001_R1_001	0.43	0.048	0.167
2	CAT_52507_212_S124_L001_R1_001	0.604	0.086	0.116
3	CAT_52507_240_S125_L001_R1_001	0.298	0.04	0.1
4	CAT_52507_271_S126_L001_R1_001	0.434	0.054	0.111
5	CAT_52507_351_S127_L001_R1_001	0.402	0.052	0.077
6	CAT_52507_356_S128_L001_R1_001	0.554	0.072	0.167
7	CAT_52507_362_S129_L001_R1_001	0.206	0.038	0.158
8	CAT_52507_385_S97_L001_R1_001	0.528	0.074	0.081
9	CAT_52507_392_S98_L001_R1_001	0.466	0.06	0.033
10	CAT_52507_397_S99_L001_R1_001	0.548	0.086	0.14
11	CAT_52507_401_S100_L001_R1_001	0.062	0.008	0.25
12	CAT_52507_406_S101_L001_R1_001	0.376	0.05	0.2
13	CAT_52507_407_S102_L001_R1_001	0.178	0.02	0.1
14	CAT_52507_411_S103_L001_R1_001	0.284	0.046	0.217
15	CAT_52507_413_S104_L001_R1_001	0.378	0.062	0.129
16	CAT_52507_414_S105_L001_R1_001	0.122	0.02	0.2
17	CAT_52507_415_S106_L001_R1_001	0.392	0.074	0.108
18	CAT_52507_418_S107_L001_R1_001	0.496	0.082	0.098
19	CAT_52507_422_S108_L001_R1_001	0.208	0.034	0.059
20	CAT_52507_425_S109_L001_R1_001	0.228	0.036	0.111
21	CAT_52507_429_S110_L001_R1_001	0.182	0.03	0.067
22	CAT_52507_431_S111_L001_R1_001	0.412	0.054	0.148
23	CAT_52507_440_S112_L001_R1_001	0.238	0.042	0.048
24	CAT_52507_442_S113_L001_R1_001	0.328	0.044	0.091
25	CAT_52507_445_S114_L001_R1_001	0.396	0.064	0.188
26	CAT_52507_465_S115_L001_R1_001	0.426	0.076	0.158
27	CAT_52507_467_S116_L001_R1_001	0.376	0.056	0.143
28	CAT_52507_472_S117_L001_R1_001	0.19	0.04	0.1
29	CAT_52507_473_S118_L001_R1_001	0.4	0.056	0.107
30	CAT_52507_477_S119_L001_R1_001	0.252	0.052	0.115
31	CAT_52507_479_S120_L001_R1_001	0.356	0.054	0.074
32	CAT_52507_484_S121_L001_R1_001	0.386	0.062	0.097
33	CAT_52507_485_S122_L001_R1_001	0.508	0.072	0.139
34	CAT_52508_002_S130_L001_R1_001	0.3	0.042	0
35	CAT_52508_004_S131_L001_R1_001	0.148	0.028	0.143
36	CAT_52508_011_S132_L001_R1_001	0.512	0.062	0.129
37	CAT_52508_014_S133_L001_R1_001	0.156	0.016	0
38	CAT_52508_017_S134_L001_R1_001	0.45	0.06	0.167
39	CAT_52508_019_S135_L001_R1_001	0.186	0.032	0.188
40	CAT_52508_022_S136_L001_R1_001	0.064	0.016	0
41	CAT_52508_024_S137_L001_R1_001	0.168	0.026	0.077
42	CAT_52508_025_S138_L001_R1_001	0.278	0.052	0.154
43	CAT_52508_027_S139_L001_R1_001	0.34	0.06	0.033
44	CAT_52508_031_S140_L001_R1_001	0.272	0.032	0.062
45	CAT_52508_033_S141_L001_R1_001	0.332	0.058	0.172
46	CAT_52508_036_S142_L001_R1_001	0.376	0.074	0.243
47	CAT_52508_039_S143_L001_R1_001	0.17	0.024	0.083
48	CAT_52508_040_S144_L001_R1_001	0.262	0.046	0.043
49	CAT_52508_043_S145_L001_R1_001	0.252	0.05	0.04
50	CAT_52508_046_S146_L001_R1_001	0.278	0.044	0.045
51	CAT_52508_047_S147_L001_R1_001	0.21	0.034	0.059
52	CAT_52508_052_S148_L001_R1_001	0.488	0.068	0.176
53	CAT_52508_056_S149_L001_R1_001	0.206	0.036	0.111
54	CAT_52508_062_S150_L001_R1_001	0.226	0.03	0
55	CAT_52508_064_S151_L001_R1_001	0.152	0.016	0.25
56	CAT_52508_065_S152_L001_R1_001	0.34	0.056	0.036
57	CAT_52508_069_S153_L001_R1_001	0.402	0.064	0.094
58	CAT_52508_070_S154_L001_R1_001	0.238	0.036	0.222
59	CAT_52508_078_S155_L001_R1_001	0.316	0.038	0.105
60	CAT_52508_079_S156_L001_R1_001	0.44	0.05	0.08
61	CAT_52508_086_S157_L001_R1_001	0.096	0.008	0
62	CAT_52508_087_S158_L001_R1_001	0.274	0.048	0.125
63	CAT_52508_088_S159_L001_R1_001	0.436	0.078	0.128
64	CAT_52508_090_S160_L001_R1_001	0.36	0.062	0.129
65	CAT_52508_091_S161_L001_R1_001	0.04	0.01	0.2
66	CAT_52508_101_S162_L001_R1_001	0.084	0.01	0
67	CAT_52508_105_S163_L001_R1_001	0.42	0.062	0.161
68	CAT_52508_106_S164_L001_R1_001	0.38	0.06	0.167
69	CAT_52508_111_S165_L001_R1_001	0.144	0.022	0
70	CAT_52508_114_S166_L001_R1_001	0.062	0.008	0.25
71	CAT_52508_115_S167_L001_R1_001	0.228	0.04	0.1
72	CAT_52508_117_S168_L001_R1_001	0.042	0.006	0.333
73	CAT_52508_119_S169_L001_R1_001	0.358	0.06	0.033
74	CAT_52508_127_S170_L001_R1_001	0.48	0.082	0.073
75	CAT_52508_129_S171_L001_R1_001	0.206	0.032	0.062
76	CAT_52508_131_S172_L001_R1_001	0.356	0.06	0.133
77	CAT_52508_134_S173_L001_R1_001	0.234	0.03	0
78	CAT_52508_135_S174_L001_R1_001	0.048	0.006	0.333
79	CAT_52508_139_S175_L001_R1_001	0.304	0.042	0.095
80	CAT_52508_143_S176_L001_R1_001	0.356	0.056	0.179
81	CAT_52508_145_S177_L001_R1_001	0.704	0.116	0.224
82	CAT_52508_149_S178_L001_R1_001	0.376	0.06	0.067
83	CAT_52508_156_S179_L001_R1_001	0.46	0.082	0.171
84	CAT_52508_157_S180_L001_R1_001	0.476	0.06	0.3
85	CAT_52508_158_S181_L001_R1_001	0.25	0.04	0.15
86	CAT_52508_167_S182_L001_R1_001	0.026	0.002	0
87	CAT_52508_168_S183_L001_R1_001	0.056	0.01	0.2
88	CAT_52508_173_S184_L001_R1_001	0.002	0.002	0
89	CAT_52508_174_S185_L001_R1_001	0.436	0.058	0.31
90	CAT_52508_176_S186_L001_R1_001	0.39	0.05	0.24
91	CAT_52508_179_S187_L001_R1_001	0.242	0.038	0.053
92	CAT_52508_182_S188_L001_R1_001	0.232	0.046	0.13
93	CAT_52508_183_S189_L001_R1_001	0.38	0.062	0.097
94	CAT_52508_189_S190_L001_R1_001	0.464	0.066	0.091
95	CAT_52508_201_S191_L001_R1_001	0.106	0.018	0.444
