Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_212_S28_L001_R1_001	872654	46378	127194	699082	0.05	0.15	0.8	0.956	0.152	0.289
2	CAT_52507_271_S30_L001_R1_001	428340	39207	102048	287085	0.09	0.24	0.67	0.862	0.126	0.27
3	CAT_52507_351_S31_L001_R1_001	174648	30314	75751	68583	0.17	0.43	0.39	0.862	0.114	0.123
4	CAT_52507_356_S32_L001_R1_001	327918	26036	81083	220799	0.08	0.25	0.67	0.91	0.132	0.348
5	CAT_52507_415_S10_L001_R1_001	144904	37149	79959	27796	0.26	0.55	0.19	0.814	0.122	0.082
6	CAT_52507_485_S26_L001_R1_001	161437	32828	90679	37930	0.2	0.56	0.23	0.854	0.106	0.151
7	CAT_52508_011_S36_L001_R1_001	848483	43503	80681	724299	0.05	0.1	0.85	0.952	0.148	0.311
8	CAT_52508_017_S38_L001_R1_001	406870	35873	140729	230268	0.09	0.35	0.57	0.83	0.122	0.197
9	CAT_52508_079_S60_L001_R1_001	269784	32859	126681	110244	0.12	0.47	0.41	0.842	0.1	0.18
10	CAT_52508_088_S63_L001_R1_001	239057	29121	78925	131011	0.12	0.33	0.55	0.808	0.136	0.25
11	CAT_52508_127_S74_L001_R1_001	477017	39979	85153	351885	0.08	0.18	0.74	0.852	0.122	0.328
12	CAT_52508_149_S82_L001_R1_001	194372	31110	60217	103045	0.16	0.31	0.53	0.83	0.132	0.227
13	CAT_52508_174_S89_L001_R1_001	275212	39338	110559	125315	0.14	0.4	0.46	0.886	0.122	0.328
