Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	1185	1056	0.89
Tpa_0012	5241	3359	0.64
Tpa_0024	1575	9	0.01
Tpa_0035	1010	774	0.77
Tpa_0037	2575	296	0.11
Tpa_0095	34697	27092	0.78
Tpa_0151	80621	69674	0.86
Tpa_0183	36501	30634	0.84
Tpa_0186	2214	1453	0.66
Tpa_0215	91	2	0.02
Tpa_0226	158	115	0.73
Tpa_0228	1621	154	0.10
Tpa_0263	11572	1119	0.10
Tpa_0269	1700	536	0.32
Tpa_0272	50	30	0.60
Tpa_0301	38698	37569	0.97
Tpa_0342	5124	4690	0.92
Tpa_0346	1756	1000	0.57
Tpa_0358	2108	1989	0.94
Tpa_0366	39577	2231	0.06
Tpa_0367	1381	1150	0.83
Tpa_0371	4744	4242	0.89
Tpa_0395	3872	3451	0.89
Tpa_0409	980	234	0.24
Tpa_0427	1946	1881	0.97
Tpa_0429	1588	772	0.49
Tpa_0438	2621	635	0.24
Tpa_0439	25008	24204	0.97
Tpa_0474	1184	45	0.04
Tpa_0492	1860	633	0.34
Tpa_0500	33332	314	0.01
Tpa_0540	16200	316	0.02
Tpa_0547	11630	5957	0.51
Tpa_0556	9071	300	0.03
Tpa_0569	4859	3420	0.70
Tpa_0584	6649	3047	0.46
Tpa_0592	30950	26081	0.84
Tpa_0650	21468	374	0.02
Tpa_0671	3330	3226	0.97
Tpa_0678	94	26	0.28
Tpa_0687	3120	2884	0.92
Tpa_0730	1525	982	0.64
Tpa_0743	1560	1498	0.96
Tpa_0763	3333	3000	0.90
Tpa_0768	11081	121	0.01
Tpa_0791	13675	4658	0.34
Tpa_0826	544	157	0.29
Tpa_0866	69199	64155	0.93
Tpa_0868	20	8	0.40
Tpa_0882	111	104	0.94
Tpa_0888	37436	3043	0.08
Tpa_0895	2982	934	0.31
Tpa_0905	4672	3385	0.72
Tpa_0912	2059	82	0.04
Tpa_0929	2604	244	0.09
Tpa_0936	13760	975	0.07
Tpa_0953	58382	16128	0.28
Tpa_0970	32	14	0.44
Tpa_0973	78923	29	0.00
Tpa_0979	40529	3049	0.08
Tpa_1007	4085	1613	0.39
Tpa_1022	87536	2895	0.03
Tpa_1042	928	454	0.49
Tpa_1071	1975	702	0.36
Tpa_1077	14262	1829	0.13
Tpa_1082	68719	64131	0.93
Tpa_1098	34	29	0.85
Tpa_1112	4912	2901	0.59
Tpa_1136	38	4	0.11
Tpa_1144	2261	1943	0.86
Tpa_1154	20206	3679	0.18
Tpa_1156	59	10	0.17
Tpa_1187	1542	1460	0.95
Tpa_1268	2348	2032	0.87
Tpa_1290	0	0	NA
Tpa_1304	9239	2869	0.31
Tpa_1305	708	5	0.01
Tpa_1310	6257	1064	0.17
Tpa_1312	10303	4150	0.40
Tpa_1320	6392	207	0.03
Tpa_1341	4930	296	0.06
Tpa_1357	5221	4073	0.78
Tpa_1359	923	715	0.77
Tpa_1394	230	221	0.96
Tpa_1404	272736	94	0.00
Tpa_1443	186	70	0.38
Tpa_1486	44495	1871	0.04
Tpa_1515	1629	953	0.59
Tpa_1528	2668	546	0.20
Tpa_1542	36536	4574	0.13
Tpa_1548	1195	311	0.26
Tpa_1550	7789	3080	0.40
Tpa_1585	53032	49902	0.94
Tpa_1593	2619	985	0.38
Tpa_1606	21494	625	0.03
Tpa_1638	2221	395	0.18
Tpa_1646	18002	1467	0.08
Tpa_1662	18342	4419	0.24
Tpa_1678	11121	9338	0.84
Tpa_1689	3365	1608	0.48
Tpa_1703	111	2	0.02
Tpa_1731	14519	5888	0.41
Tpa_1774	6043	4938	0.82
Tpa_1775	10584	496	0.05
Tpa_1804	333704	9088	0.03
Tpa_1818	24174	412	0.02
Tpa_1831	4001	3888	0.97
Tpa_1832	899	882	0.98
Tpa_1843	14199	1250	0.09
Tpa_1847	183517	4	0.00
Tpa_1891	2695	2272	0.84
Tpa_1896	2166	855	0.39
Tpa_1917	678	288	0.42
Tpa_1930	1432	1337	0.93
Tpa_1966	5903	2204	0.37
Tpa_2006	12026	11594	0.96
