sample	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_184_S27_L001_R1_001	0.786	0.104	0.173
2	CAT_52507_212_S28_L001_R1_001	0.956	0.152	0.289
3	CAT_52507_240_S29_L001_R1_001	0.58	0.08	0.05
4	CAT_52507_271_S30_L001_R1_001	0.862	0.126	0.27
5	CAT_52507_351_S31_L001_R1_001	0.862	0.114	0.123
6	CAT_52507_356_S32_L001_R1_001	0.91	0.132	0.348
7	CAT_52507_362_S33_L001_R1_001	0.564	0.094	0.128
8	CAT_52507_385_S1_L001_R1_001	0.668	0.1	0.08
9	CAT_52507_392_S2_L001_R1_001	0.572	0.084	0
10	CAT_52507_397_S3_L001_R1_001	0.656	0.102	0.059
11	CAT_52507_401_S4_L001_R1_001	0.094	0.02	0.1
12	CAT_52507_406_S5_L001_R1_001	0.672	0.09	0.067
13	CAT_52507_407_S6_L001_R1_001	0.156	0.018	0.111
14	CAT_52507_411_S7_L001_R1_001	0.53	0.088	0.091
15	CAT_52507_413_S8_L001_R1_001	0.68	0.094	0.085
16	CAT_52507_414_S9_L001_R1_001	0.162	0.028	0.071
17	CAT_52507_415_S10_L001_R1_001	0.814	0.122	0.082
18	CAT_52507_418_S11_L001_R1_001	0.72	0.1	0.08
19	CAT_52507_422_S12_L001_R1_001	0.348	0.052	0.038
20	CAT_52507_425_S13_L001_R1_001	0.404	0.068	0.088
21	CAT_52507_429_S14_L001_R1_001	0.454	0.082	0.049
22	CAT_52507_431_S15_L001_R1_001	0.726	0.1	0.14
23	CAT_52507_440_S16_L001_R1_001	0.654	0.088	0.023
24	CAT_52507_442_S17_L001_R1_001	0.754	0.096	0.083
25	CAT_52507_445_S18_L001_R1_001	0.788	0.108	0.13
26	CAT_52507_465_S19_L001_R1_001	0.736	0.128	0.172
27	CAT_52507_467_S20_L001_R1_001	0.704	0.104	0.135
28	CAT_52507_472_S21_L001_R1_001	0.416	0.074	0.054
29	CAT_52507_473_S22_L001_R1_001	0.734	0.104	0.173
30	CAT_52507_477_S23_L001_R1_001	0.562	0.102	0.02
31	CAT_52507_479_S24_L001_R1_001	0.666	0.1	0.08
32	CAT_52507_484_S25_L001_R1_001	0.798	0.13	0.123
33	CAT_52507_485_S26_L001_R1_001	0.854	0.106	0.151
34	CAT_52508_002_S34_L001_R1_001	0.602	0.11	0
35	CAT_52508_004_S35_L001_R1_001	0.172	0.036	0.056
36	CAT_52508_011_S36_L001_R1_001	0.952	0.148	0.311
37	CAT_52508_014_S37_L001_R1_001	0.27	0.038	0.053
38	CAT_52508_017_S38_L001_R1_001	0.83	0.122	0.197
39	CAT_52508_019_S39_L001_R1_001	0.338	0.058	0.103
40	CAT_52508_022_S40_L001_R1_001	0.158	0.028	0
41	CAT_52508_024_S41_L001_R1_001	0.254	0.038	0.053
42	CAT_52508_025_S42_L001_R1_001	0.282	0.05	0.04
43	CAT_52508_027_S43_L001_R1_001	0.66	0.108	0.056
44	CAT_52508_031_S44_L001_R1_001	0.418	0.054	0.037
45	CAT_52508_033_S45_L001_R1_001	0.612	0.108	0.074
46	CAT_52508_036_S46_L001_R1_001	0.74	0.152	0.184
47	CAT_52508_039_S47_L001_R1_001	0.282	0.042	0.048
48	CAT_52508_040_S48_L001_R1_001	0.484	0.074	0.027
49	CAT_52508_043_S49_L001_R1_001	0.64	0.118	0.051
50	CAT_52508_046_S50_L001_R1_001	0.498	0.084	0.048
51	CAT_52508_047_S51_L001_R1_001	0.424	0.072	0
52	CAT_52508_052_S52_L001_R1_001	0.796	0.13	0.092
53	CAT_52508_056_S53_L001_R1_001	0.404	0.05	0.04
54	CAT_52508_062_S54_L001_R1_001	0.444	0.072	0.028
55	CAT_52508_064_S55_L001_R1_001	0.286	0.046	0.043
56	CAT_52508_065_S56_L001_R1_001	0.75	0.108	0.093
57	CAT_52508_069_S57_L001_R1_001	0.79	0.122	0.066
58	CAT_52508_070_S58_L001_R1_001	0.532	0.096	0.042
59	CAT_52508_078_S59_L001_R1_001	0.576	0.078	0
60	CAT_52508_079_S60_L001_R1_001	0.842	0.1	0.18
61	CAT_52508_086_S61_L001_R1_001	0.15	0.018	0
62	CAT_52508_087_S62_L001_R1_001	0.606	0.108	0.074
63	CAT_52508_088_S63_L001_R1_001	0.808	0.136	0.25
64	CAT_52508_090_S64_L001_R1_001	0.792	0.132	0.152
65	CAT_52508_091_S65_L001_R1_001	0.306	0.06	0.167
66	CAT_52508_101_S66_L001_R1_001	0.22	0.032	0
