Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	1176	1050	0.89
Tpa_0012	5979	3419	0.57
Tpa_0024	1564	9	0.01
Tpa_0035	1089	775	0.71
Tpa_0037	2691	295	0.11
Tpa_0095	38453	28236	0.73
Tpa_0151	82719	71479	0.86
Tpa_0183	36505	30716	0.84
Tpa_0186	2463	1449	0.59
Tpa_0215	119	2	0.02
Tpa_0226	159	119	0.75
Tpa_0228	1940	154	0.08
Tpa_0263	11404	1129	0.10
Tpa_0269	2230	538	0.24
Tpa_0272	56	30	0.54
Tpa_0301	40272	39105	0.97
Tpa_0342	5335	4896	0.92
Tpa_0346	2097	1000	0.48
Tpa_0358	2120	1985	0.94
Tpa_0366	53811	2342	0.04
Tpa_0367	1418	1157	0.82
Tpa_0371	4929	4295	0.87
Tpa_0395	3910	3480	0.89
Tpa_0409	1413	233	0.16
Tpa_0427	1968	1904	0.97
Tpa_0429	1876	770	0.41
Tpa_0438	3385	634	0.19
Tpa_0439	25049	24231	0.97
Tpa_0474	1164	45	0.04
Tpa_0492	2154	631	0.29
Tpa_0500	33425	314	0.01
Tpa_0540	17831	312	0.02
Tpa_0547	12474	5989	0.48
Tpa_0556	9761	301	0.03
Tpa_0569	5012	3503	0.70
Tpa_0584	7275	3032	0.42
Tpa_0592	33204	26974	0.81
Tpa_0650	30384	375	0.01
Tpa_0671	3386	3276	0.97
Tpa_0678	104	27	0.26
Tpa_0687	3186	2879	0.90
Tpa_0730	1689	987	0.58
Tpa_0743	1568	1508	0.96
Tpa_0763	3491	3057	0.88
Tpa_0768	10901	118	0.01
Tpa_0791	17231	4690	0.27
Tpa_0826	716	157	0.22
Tpa_0866	72386	66528	0.92
Tpa_0868	21	8	0.38
Tpa_0882	112	105	0.94
Tpa_0888	51387	3097	0.06
Tpa_0895	3146	933	0.30
Tpa_0905	5197	3426	0.66
Tpa_0912	2099	82	0.04
Tpa_0929	2910	243	0.08
Tpa_0936	18670	981	0.05
Tpa_0953	78569	17106	0.22
Tpa_0970	42	14	0.33
Tpa_0973	89735	29	0.00
Tpa_0979	53860	3037	0.06
Tpa_1007	4089	1609	0.39
Tpa_1022	86590	2889	0.03
Tpa_1042	922	453	0.49
Tpa_1071	2504	703	0.28
Tpa_1077	20274	1894	0.09
Tpa_1082	73410	68008	0.93
Tpa_1098	41	29	0.71
Tpa_1112	5249	2901	0.55
Tpa_1136	39	5	0.13
Tpa_1144	2358	1947	0.83
Tpa_1154	19866	3688	0.19
Tpa_1156	57	10	0.18
Tpa_1187	1555	1462	0.94
Tpa_1268	2530	2047	0.81
Tpa_1290	0	0	NA
Tpa_1304	9152	2860	0.31
Tpa_1305	725	5	0.01
Tpa_1310	6262	1061	0.17
Tpa_1312	13198	4193	0.32
Tpa_1320	6400	206	0.03
Tpa_1341	6341	294	0.05
Tpa_1357	5716	4092	0.72
Tpa_1359	1025	734	0.72
Tpa_1394	232	223	0.96
Tpa_1404	293227	93	0.00
Tpa_1443	207	68	0.33
Tpa_1486	56177	1895	0.03
Tpa_1515	1924	960	0.50
Tpa_1528	3711	550	0.15
Tpa_1542	49606	4597	0.09
Tpa_1548	1270	308	0.24
Tpa_1550	10044	3221	0.32
Tpa_1585	57118	53360	0.93
Tpa_1593	2773	983	0.35
Tpa_1606	21281	626	0.03
Tpa_1638	2991	400	0.13
Tpa_1646	22699	1516	0.07
Tpa_1662	20582	4450	0.22
Tpa_1678	12220	9656	0.79
Tpa_1689	4330	1647	0.38
Tpa_1703	109	2	0.02
Tpa_1731	18125	6128	0.34
Tpa_1774	6258	4984	0.80
Tpa_1775	12144	510	0.04
Tpa_1804	340436	9284	0.03
Tpa_1818	24062	406	0.02
Tpa_1831	4022	3913	0.97
Tpa_1832	898	881	0.98
Tpa_1843	20225	1249	0.06
Tpa_1847	188217	4	0.00
Tpa_1891	3017	2300	0.76
Tpa_1896	2898	863	0.30
Tpa_1917	824	284	0.34
Tpa_1930	1462	1355	0.93
Tpa_1966	5984	2231	0.37
Tpa_2006	12869	12420	0.97
Tpa_2010	21570	2917	0.14
Tpa_2021	60439	7745	0.13
Tpa_2034	2143	1976	0.92
Tpa_2040	13578	11036	0.81
Tpa_2041	82784	5398	0.07
Tpa_2073	1132	114	0.10
Tpa_2076	11215	1180	0.11
Tpa_2096	1583	1524	0.96
Tpa_2128	5863	5339	0.91
Tpa_2157	3444	3010	0.87
Tpa_2180	6164	1385	0.22
Tpa_2194	1308	1263	0.97
Tpa_2207	2014	1950	0.97
Tpa_2254	4510	1756	0.39
Tpa_2278	2725	2587	0.95
Tpa_2334	16489	9	0.00
Tpa_2344	15024	5176	0.34
Tpa_2353	2021	1851	0.92
Tpa_2368	33623	7499	0.22
Tpa_2412	14081	686	0.05
Tpa_2417	1783	1105	0.62
Tpa_2453	460	0	0.00
Tpa_2458	9154	5891	0.64
Tpa_2460	36995	171	0.00
Tpa_2470	15873	1694	0.11
Tpa_2483	31489	940	0.03
Tpa_2498	3111	407	0.13
Tpa_2509	8144	7841	0.96
Tpa_2518	1033	468	0.45
Tpa_2519	951	521	0.55
Tpa_2523	14037	98	0.01
Tpa_2581	9406	8384	0.89
Tpa_2601	16114	15694	0.97
Tpa_2608	43901	3744	0.09
Tpa_2636	43006	319	0.01
Tpa_2639	38600	291	0.01
Tpa_2664	21083	297	0.01
Tpa_2702	10493	5483	0.52
Tpa_2712	25983	11110	0.43
Tpa_2734	12507	7813	0.62
Tpa_2741	159	31	0.19
Tpa_2745	28356	14231	0.50
Tpa_2763	5155	5020	0.97
Tpa_2845	84	71	0.85
Tpa_2854	3943	182	0.05
Tpa_2856	4197	917	0.22
Tpa_2861	1796	364	0.20
Tpa_2868	5522	214	0.04
Tpa_2900	7847	6150	0.78
Tpa_2907	3801	382	0.10
Tpa_2961	768	620	0.81
Tpa_2970	2136	369	0.17
Tpa_3004	14072	6710	0.48
Tpa_3011	19937	303	0.02
Tpa_3018	4632	1705	0.37
Tpa_3047	4693	522	0.11
Tpa_3055	15713	488	0.03
Tpa_3063	896	125	0.14
Tpa_3129	4896	4120	0.84
Tpa_3149	21449	20884	0.97
Tpa_3193	4	3	0.75
Tpa_3197	88377	15452	0.17
Tpa_3200	5137	4200	0.82
Tpa_3235	1370	908	0.66
Tpa_3248	2258	2012	0.89
Tpa_3254	4575	1416	0.31
Tpa_3262	6265	5008	0.80
Tpa_3263	41095	223	0.01
Tpa_3310	46236	3258	0.07
Tpa_3347	431	191	0.44
Tpa_3354	613	599	0.98
Tpa_3364	3893	2879	0.74
Tpa_3385	466	346	0.74
Tpa_3414	105493	19	0.00
Tpa_3439	9610	5610	0.58
Tpa_3502	31	8	0.26
Tpa_3561	189	137	0.72
Tpa_3569	1323	1284	0.97
Tpa_3578	17381	3181	0.18
Tpa_3583	1519	932	0.61
Tpa_3616	1488	1062	0.71
Tpa_3674	10847	6956	0.64
Tpa_3676	9718	2049	0.21
Tpa_3679	1889	531	0.28
Tpa_3684	2364	25	0.01
Tpa_3705	15566	1406	0.09
Tpa_3723	117	108	0.92
Tpa_3737	3316	198	0.06
Tpa_3745	16153	13501	0.84
Tpa_3795	2205	742	0.34
Tpa_3846	12730	6373	0.50
Tpa_3862	440	154	0.35
Tpa_3871	10551	2491	0.24
Tpa_3879	5870	5298	0.90
Tpa_3905	3491	252	0.07
Tpa_3926	38583	684	0.02
Tpa_3937	8228	7348	0.89
Tpa_3962	18758	17133	0.91
Tpa_3974	3292	2144	0.65
Tpa_4020	1385	1245	0.90
Tpa_4021	2534	2170	0.86
Tpa_4022	4420	3578	0.81
Tpa_4055	9433	452	0.05
Tpa_4077	58990	724	0.01
Tpa_4120	8233	4432	0.54
Tpa_4126	3088	1733	0.56
Tpa_4137	8287	6605	0.80
Tpa_4148	44729	358	0.01
Tpa_4168	3882	523	0.13
Tpa_4176	3445	992	0.29
Tpa_4178	2232	443	0.20
Tpa_4209	2487	1271	0.51
Tpa_4221	1477	60	0.04
Tpa_4230	43140	2172	0.05
Tpa_4245	5628	21	0.00
Tpa_4246	8720	5369	0.62
Tpa_4247	3736	945	0.25
Tpa_4268	289586	279852	0.97
Tpa_4291	4513	4026	0.89
Tpa_4295	1733	1511	0.87
Tpa_4310	40761	2204	0.05
Tpa_4316	5730	4164	0.73
Tpa_4353	13292	3021	0.23
Tpa_4356	12799	9912	0.77
Tpa_4380	11092	9620	0.87
Tpa_4384	52302	48957	0.94
Tpa_4394	23631	20597	0.87
Tpa_4416	10286	5133	0.50
Tpa_4425	20797	223	0.01
Tpa_4443	5165	4839	0.94
Tpa_4454	10803	2643	0.24
Tpa_4467	55764	855	0.02
Tpa_4495	11456	11000	0.96
Tpa_4506	1521	262	0.17
Tpa_4511	14285	4908	0.34
Tpa_4549	73697	169	0.00
Tpa_4556	1780	1673	0.94
Tpa_4569	19361	2539	0.13
Tpa_4582	18932	3774	0.20
Tpa_4590	98640	68756	0.70
Tpa_4591	23504	6169	0.26
Tpa_4592	22958	1153	0.05
Tpa_4593	9287	2427	0.26
Tpa_4595	2173	1579	0.73
Tpa_4599	255278	243630	0.95
Tpa_4633	23972	3542	0.15
Tpa_4637	6803	282	0.04
Tpa_4668	7856	434	0.06
Tpa_4678	27030	10400	0.38
Tpa_4697	8342	8045	0.96
Tpa_4713	49137	22572	0.46
Tpa_4731	16417	655	0.04
Tpa_4747	2908	509	0.18
Tpa_4749	1364	772	0.57
Tpa_4804	6176	1124	0.18
Tpa_4849	4050	1816	0.45
Tpa_4862	13395	6899	0.52
Tpa_4885	5310	132	0.02
Tpa_4886	42578	465	0.01
Tpa_4900	11665	4292	0.37
Tpa_4920	43359	28	0.00
Tpa_4928	76367	21113	0.28
Tpa_4936	14751	12966	0.88
Tpa_4985	3404	556	0.16
Tpa_5002	19556	10122	0.52
Tpa_5015	921	129	0.14
Tpa_5022	2828	2751	0.97
Tpa_5057	8106	7086	0.87
Tpa_5069	682431	2423	0.00
Tpa_5075	4071	3864	0.95
Tpa_5104	370	336	0.91
Tpa_5106	14281	8248	0.58
Tpa_5118	12895	140	0.01
Tpa_5138	59772	18045	0.30
Tpa_5144	3569	1787	0.50
Tpa_5167	4079	2094	0.51
Tpa_5196	1227	546	0.44
Tpa_5205	6523	3873	0.59
Tpa_5206	59848	1654	0.03
Tpa_5218	12491	7064	0.57
Tpa_5222	10308	9234	0.90
Tpa_5228	1087	923	0.85
Tpa_5241	4386	4150	0.95
Tpa_5242	6644	5396	0.81
Tpa_5244	11669	10099	0.87
Tpa_5249	19763	12268	0.62
Tpa_5270	242	234	0.97
Tpa_5278	9340	8962	0.96
Tpa_5279	9495	1791	0.19
Tpa_5292	12325	9393	0.76
Tpa_5298	22943	4287	0.19
Tpa_5327	9462	7308	0.77
Tpa_5360	37807	5131	0.14
Tpa_5361	7877	4429	0.56
Tpa_5373	6033	1692	0.28
Tpa_5379	414053	265534	0.64
Tpa_5382	51922	44858	0.86
Tpa_5418	8740	5787	0.66
Tpa_5441	13598	5023	0.37
Tpa_5445	3677	3522	0.96
Tpa_5446	2127	1449	0.68
Tpa_5454	41243	38332	0.93
Tpa_5471	10987	4813	0.44
Tpa_5485	2058	440	0.21
Tpa_5501	56911	10539	0.19
Tpa_5525	79884	4311	0.05
Tpa_5538	265	259	0.98
Tpa_5540	23013	12390	0.54
Tpa_5542	9069	7922	0.87
Tpa_5563	1752	1528	0.87
Tpa_5565	93015	58624	0.63
Tpa_5570	7698	144	0.02
Tpa_5574	50391	302	0.01
Tpa_5588	1584	1123	0.71
Tpa_5594	9190	4798	0.52
Tpa_5601	78433	10983	0.14
Tpa_5609	1319	373	0.28
Tpa_5623	3563	2699	0.76
Tpa_5636	7062	2591	0.37
Tpa_5651	6981	5327	0.76
Tpa_5679	2002	1340	0.67
Tpa_5741	20383	656	0.03
Tpa_5747	283851	91437	0.32
Tpa_5761	14842	12151	0.82
Tpa_5774	47943	11679	0.24
Tpa_5786	4904	4636	0.95
Tpa_5795	70467	26	0.00
Tpa_5796	4196	3331	0.79
Tpa_5823	88573	51795	0.58
Tpa_5827	16034	8620	0.54
Tpa_5829	10368	9835	0.95
Tpa_5838	6419	5621	0.88
Tpa_5854	319	3	0.01
Tpa_5856	2282	1954	0.86
Tpa_5863	6260	5313	0.85
Tpa_5868	6000	3972	0.66
Tpa_5878	116743	3040	0.03
Tpa_5913	45222	38711	0.86
Tpa_5916	16070	12351	0.77
Tpa_5917	5633	3992	0.71
Tpa_5942	6321	4446	0.70
Tpa_5951	0	0	NA
Tpa_5961	1854	217	0.12
Tpa_5978	39615	921	0.02
Tpa_5980	1327	988	0.74
Tpa_6003	866300	27083	0.03
Tpa_6016	20160	512	0.03
Tpa_6076	11967	1994	0.17
Tpa_6083	5417	4932	0.91
Tpa_6137	1269	832	0.66
Tpa_6139	30099	8990	0.30
Tpa_6150	365	326	0.89
Tpa_6158	14803	3247	0.22
Tpa_6169	103068	4007	0.04
Tpa_6172	37913	3014	0.08
Tpa_6204	2309	54	0.02
Tpa_6220	0	0	NA
Tpa_6222	2087	1937	0.93
Tpa_6224	25914	17545	0.68
Tpa_6265	456	224	0.49
Tpa_6270	4205	1134	0.27
Tpa_6285	376	136	0.36
Tpa_6321	0	0	NA
Tpa_6352	176	42	0.24
Tpa_6355	86378	7309	0.08
Tpa_6384	1914	162	0.08
Tpa_6385	35500	1117	0.03
Tpa_6388	314	299	0.95
Tpa_6391	6994	3251	0.46
Tpa_6411	442	53	0.12
Tpa_6422	52670	1591	0.03
Tpa_6442	68177	30715	0.45
Tpa_6445	204	26	0.13
Tpa_6449	3070	157	0.05
