sample	GenotypeRate	Heterozygosity	conScore
1	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_184_S123_L001_R1_001	0.384	0.046	0.087
2	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_184_S27_L001_R1_001	0.784	0.104	0.154
3	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_212_S124_L001_R1_001	0.552	0.08	0.15
4	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_212_S28_L001_R1_001	0.956	0.152	0.303
5	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_240_S125_L001_R1_001	0.232	0.024	0.167
6	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_240_S29_L001_R1_001	0.55	0.076	0.026
7	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_271_S126_L001_R1_001	0.386	0.048	0.125
8	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_271_S30_L001_R1_001	0.862	0.126	0.286
9	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_351_S127_L001_R1_001	0.362	0.046	0.043
10	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_351_S31_L001_R1_001	0.862	0.114	0.105
11	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_356_S128_L001_R1_001	0.504	0.062	0.194
12	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_356_S32_L001_R1_001	0.908	0.132	0.348
13	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_362_S129_L001_R1_001	0.176	0.03	0.2
14	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_362_S33_L001_R1_001	0.556	0.094	0.064
15	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_385_S1_L001_R1_001	0.578	0.092	0.065
16	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_385_S97_L001_R1_001	0.18	0.024	0.25
17	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_392_S2_L001_R1_001	0.442	0.064	0
18	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_392_S98_L001_R1_001	0.294	0.034	0.059
19	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_397_S3_L001_R1_001	0.564	0.088	0.068
20	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_397_S99_L001_R1_001	0.312	0.05	0.2
21	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_401_S100_L001_R1_001	0.052	0.008	0.25
22	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_401_S4_L001_R1_001	0.076	0.018	0
23	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_406_S101_L001_R1_001	0.318	0.046	0.13
24	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_406_S5_L001_R1_001	0.66	0.086	0
25	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_407_S102_L001_R1_001	0.146	0.02	0.1
26	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_407_S6_L001_R1_001	0.064	0.01	0
27	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_411_S103_L001_R1_001	0.25	0.04	0.15
28	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_411_S7_L001_R1_001	0.516	0.086	0.047
29	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_413_S104_L001_R1_001	0.322	0.046	0.174
30	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_413_S8_L001_R1_001	0.67	0.092	0.065
31	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_414_S105_L001_R1_001	0.094	0.014	0.143
32	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_414_S9_L001_R1_001	0.124	0.022	0
33	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_415_S10_L001_R1_001	0.812	0.122	0.082
34	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_415_S106_L001_R1_001	0.324	0.068	0.029
35	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_418_S107_L001_R1_001	0.442	0.072	0.028
36	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_418_S11_L001_R1_001	0.708	0.098	0.02
37	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_422_S108_L001_R1_001	0.182	0.036	0.056
38	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_422_S12_L001_R1_001	0.324	0.048	0
39	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_425_S109_L001_R1_001	0.196	0.036	0.111
40	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_425_S13_L001_R1_001	0.366	0.066	0
41	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_429_S110_L001_R1_001	0.148	0.028	0.071
