Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	52507_184_S123_L001_R1_001	53845	2656	37768	13421	0.05	0.7	0.25	0.384	0.046	0.087
2	52507_212_S124_L001_R1_001	63459	2258	33712	27489	0.04	0.53	0.43	0.552	0.08	0.15
3	52507_240_S125_L001_R1_001	44818	2175	37294	5349	0.05	0.83	0.12	0.232	0.024	0.167
4	52507_271_S126_L001_R1_001	26620	978	16009	9633	0.04	0.6	0.36	0.386	0.048	0.125
5	52507_351_S127_L001_R1_001	30155	1307	20405	8443	0.04	0.68	0.28	0.362	0.046	0.043
6	52507_356_S128_L001_R1_001	56143	2130	33397	20616	0.04	0.59	0.37	0.504	0.062	0.194
7	52507_362_S129_L001_R1_001	33799	1644	28471	3684	0.05	0.84	0.11	0.176	0.03	0.2
8	52507_385_S97_L001_R1_001	49616	2393	41437	5786	0.05	0.84	0.12	0.18	0.024	0.25
9	52507_392_S98_L001_R1_001	61261	3088	49357	8816	0.05	0.81	0.14	0.294	0.034	0.059
10	52507_397_S99_L001_R1_001	48916	2226	38535	8155	0.05	0.79	0.17	0.312	0.05	0.2
11	52507_401_S100_L001_R1_001	137583	6941	128525	2117	0.05	0.93	0.02	0.052	0.008	0.25
12	52507_406_S101_L001_R1_001	104898	5212	86860	12826	0.05	0.83	0.12	0.318	0.046	0.13
13	52507_407_S102_L001_R1_001	88132	4344	78000	5788	0.05	0.89	0.07	0.146	0.02	0.1
14	52507_411_S103_L001_R1_001	45082	2228	36256	6598	0.05	0.8	0.15	0.25	0.04	0.15
15	52507_413_S104_L001_R1_001	89061	4769	69192	15100	0.05	0.78	0.17	0.322	0.046	0.174
16	52507_414_S105_L001_R1_001	31527	1593	28011	1923	0.05	0.89	0.06	0.094	0.014	0.143
17	52507_415_S106_L001_R1_001	36156	1864	27254	7038	0.05	0.75	0.19	0.324	0.068	0.029
18	52507_418_S107_L001_R1_001	76974	4234	55745	16995	0.06	0.72	0.22	0.442	0.072	0.028
19	52507_422_S108_L001_R1_001	85445	4404	75104	5937	0.05	0.88	0.07	0.182	0.036	0.056
20	52507_425_S109_L001_R1_001	44645	2371	37754	4520	0.05	0.85	0.1	0.196	0.036	0.111
21	52507_429_S110_L001_R1_001	18191	947	15291	1953	0.05	0.84	0.11	0.148	0.028	0.071
22	52507_431_S111_L001_R1_001	60531	3218	47313	10000	0.05	0.78	0.17	0.336	0.048	0.083
23	52507_440_S112_L001_R1_001	20926	1065	16466	3395	0.05	0.79	0.16	0.198	0.03	0
24	52507_442_S113_L001_R1_001	45523	2245	36164	7114	0.05	0.79	0.16	0.278	0.038	0.158
25	52507_445_S114_L001_R1_001	37353	1821	27714	7818	0.05	0.74	0.21	0.336	0.054	0.074
26	52507_465_S115_L001_R1_001	65332	3053	45930	16349	0.05	0.7	0.25	0.384	0.07	0.086
27	52507_467_S116_L001_R1_001	57232	2674	45114	9444	0.05	0.79	0.17	0.326	0.052	0.115
28	52507_472_S117_L001_R1_001	48392	2546	41651	4195	0.05	0.86	0.09	0.158	0.034	0.059
29	52507_473_S118_L001_R1_001	49096	2233	36073	10790	0.05	0.73	0.22	0.34	0.054	0.074
30	52507_477_S119_L001_R1_001	59300	3125	51143	5032	0.05	0.86	0.08	0.194	0.038	0.158
31	52507_479_S120_L001_R1_001	24026	1190	16905	5931	0.05	0.7	0.25	0.3	0.046	0.043
32	52507_484_S121_L001_R1_001	66335	3214	50160	12961	0.05	0.76	0.2	0.334	0.054	0.111
33	52507_485_S122_L001_R1_001	67861	3683	49407	14771	0.05	0.73	0.22	0.446	0.062	0.065
34	52508_002_S130_L001_R1_001	39004	1989	31880	5135	0.05	0.82	0.13	0.256	0.04	0.05
35	52508_004_S131_L001_R1_001	79778	4088	71509	4181	0.05	0.9	0.05	0.106	0.018	0.222
36	52508_011_S132_L001_R1_001	25898	905	12930	12063	0.03	0.5	0.47	0.458	0.056	0.071
37	52508_014_S133_L001_R1_001	40980	2115	36538	2327	0.05	0.89	0.06	0.106	0.012	0
38	52508_017_S134_L001_R1_001	34121	1140	19568	13413	0.03	0.57	0.39	0.416	0.054	0.185
39	52508_019_S135_L001_R1_001	51684	2445	45125	4114	0.05	0.87	0.08	0.162	0.032	0.125
40	52508_022_S136_L001_R1_001	45287	2211	41259	1817	0.05	0.91	0.04	0.05	0.012	0
41	52508_024_S137_L001_R1_001	47907	2411	41516	3980	0.05	0.87	0.08	0.134	0.016	0.125
42	52508_025_S138_L001_R1_001	35374	1809	28915	4650	0.05	0.82	0.13	0.228	0.046	0.13
43	52508_027_S139_L001_R1_001	43711	2219	34604	6888	0.05	0.79	0.16	0.294	0.05	0
44	52508_031_S140_L001_R1_001	45540	2368	37644	5528	0.05	0.83	0.12	0.24	0.03	0
45	52508_033_S141_L001_R1_001	117689	5989	97361	14339	0.05	0.83	0.12	0.276	0.044	0.182
46	52508_036_S142_L001_R1_001	39228	1770	27980	9478	0.05	0.71	0.24	0.338	0.066	0.182
47	52508_039_S143_L001_R1_001	61073	2894	52396	5783	0.05	0.86	0.09	0.14	0.018	0.111
48	52508_040_S144_L001_R1_001	49347	2484	41829	5034	0.05	0.85	0.1	0.206	0.032	0.062
49	52508_043_S145_L001_R1_001	40160	2070	34094	3996	0.05	0.85	0.1	0.212	0.044	0.136
50	52508_046_S146_L001_R1_001	40272	2136	33404	4732	0.05	0.83	0.12	0.246	0.038	0.053
