Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	52507_184_S27_L001_R1_001	187892	33158	76438	78296	0.18	0.41	0.42	0.784	0.104	0.154
2	52507_212_S28_L001_R1_001	828887	44745	103606	680536	0.05	0.12	0.82	0.956	0.152	0.303
3	52507_240_S29_L001_R1_001	82932	26875	51300	4757	0.32	0.62	0.06	0.55	0.076	0.026
4	52507_271_S30_L001_R1_001	410685	38480	91267	280938	0.09	0.22	0.68	0.862	0.126	0.286
5	52507_351_S31_L001_R1_001	154495	29363	61950	63182	0.19	0.4	0.41	0.862	0.114	0.105
6	52507_356_S32_L001_R1_001	289620	24457	57891	207272	0.08	0.2	0.72	0.908	0.132	0.348
7	52507_362_S33_L001_R1_001	88979	21066	60748	7165	0.24	0.68	0.08	0.556	0.094	0.064
8	52507_385_S1_L001_R1_001	90816	22761	60644	7411	0.25	0.67	0.08	0.578	0.092	0.065
9	52507_392_S2_L001_R1_001	85445	20763	60920	3762	0.24	0.71	0.04	0.442	0.064	0
10	52507_397_S3_L001_R1_001	119516	22228	86120	11168	0.19	0.72	0.09	0.564	0.088	0.068
11	52507_401_S4_L001_R1_001	91195	24862	65965	368	0.27	0.72	0	0.076	0.018	0
12	52507_406_S5_L001_R1_001	96874	27355	62805	6714	0.28	0.65	0.07	0.66	0.086	0
13	52507_407_S6_L001_R1_001	35473	10581	24607	285	0.3	0.69	0.01	0.064	0.01	0
14	52507_411_S7_L001_R1_001	63925	18465	40896	4564	0.29	0.64	0.07	0.516	0.086	0.047
15	52507_413_S8_L001_R1_001	76887	20225	46144	10518	0.26	0.6	0.14	0.67	0.092	0.065
16	52507_414_S9_L001_R1_001	69126	19318	49297	511	0.28	0.71	0.01	0.124	0.022	0
17	52507_415_S10_L001_R1_001	119193	35744	60437	23012	0.3	0.51	0.19	0.812	0.122	0.082
18	52507_418_S11_L001_R1_001	80866	20636	49268	10962	0.26	0.61	0.14	0.708	0.098	0.02
19	52507_422_S12_L001_R1_001	107873	33216	73018	1639	0.31	0.68	0.02	0.324	0.048	0
20	52507_425_S13_L001_R1_001	59289	21901	35472	1916	0.37	0.6	0.03	0.366	0.066	0
21	52507_429_S14_L001_R1_001	68151	19719	45555	2877	0.29	0.67	0.04	0.436	0.082	0.024
22	52507_431_S15_L001_R1_001	89444	23051	53290	13103	0.26	0.6	0.15	0.722	0.102	0.039
23	52507_440_S16_L001_R1_001	116425	24435	82765	9225	0.21	0.71	0.08	0.654	0.09	0.022
24	52507_442_S17_L001_R1_001	153185	30554	95857	26774	0.2	0.63	0.17	0.746	0.096	0.062
25	52507_445_S18_L001_R1_001	88383	17342	38045	32996	0.2	0.43	0.37	0.784	0.106	0.151
26	52507_465_S19_L001_R1_001	135493	28479	58017	48997	0.21	0.43	0.36	0.734	0.128	0.125
27	52507_467_S20_L001_R1_001	116996	24817	63750	28429	0.21	0.54	0.24	0.702	0.104	0.096
28	52507_472_S21_L001_R1_001	95351	30964	61636	2751	0.32	0.65	0.03	0.4	0.072	0.028
29	52507_473_S22_L001_R1_001	182443	30219	87265	64959	0.17	0.48	0.36	0.732	0.104	0.154
