Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90768-009_S7_L001_R1_001	99195	39192	58420	1583	0.4	0.59	0.02	0.378	0.061	0
90768-014_S8_L001_R1_001	97030	39438	55933	1659	0.41	0.58	0.02	0.399	0.078	0.054
90768-018_S10_L001_R1_001	97178	36431	58037	2710	0.37	0.6	0.03	0.42	0.078	0.054
90768-034_S13_L001_R1_001	72839	28769	42532	1538	0.39	0.58	0.02	0.332	0.065	0
90768-054_S17_L001_R1_001	83460	31863	50737	860	0.38	0.61	0.01	0.231	0.029	0
90768-056_S19_L001_R1_001	87832	34411	50737	2684	0.39	0.58	0.03	0.458	0.074	0
90768-061_S21_L001_R1_001	105319	41064	62122	2133	0.39	0.59	0.02	0.439	0.076	0
90768-076_S25_L001_R1_001	123631	43820	76622	3189	0.35	0.62	0.03	0.569	0.092	0
90768-077_S26_L001_R1_001	85266	33677	49393	2196	0.39	0.58	0.03	0.378	0.063	0.033
90768-083_S28_L001_R1_001	90044	30043	58314	1687	0.33	0.65	0.02	0.382	0.076	0.028
90768-088_S30_L001_R1_001	83009	31656	49666	1687	0.38	0.6	0.02	0.395	0.069	0.03
90768-090_S31_L001_R1_001	78008	30567	47214	227	0.39	0.61	0	0.057	0.023	0
90768-104_S32_L001_R1_001	83482	31901	51063	518	0.38	0.61	0.01	0.111	0.013	0
90768-107_S33_L001_R1_001	95426	34220	54956	6250	0.36	0.58	0.07	0.689	0.095	0.044
90768-114_S35_L001_R1_001	78147	30862	45973	1312	0.39	0.59	0.02	0.305	0.059	0
90768-121_S38_L001_R1_001	74406	28095	43197	3114	0.38	0.58	0.04	0.536	0.08	0
90768-143_S44_L001_R1_001	131351	45394	85817	140	0.35	0.65	0	0.025	0.004	0
90768-152_S45_L001_R1_001	67101	26723	38700	1678	0.4	0.58	0.03	0.347	0.063	0.033
90768-155_S46_L001_R1_001	87047	34004	52339	704	0.39	0.6	0.01	0.17	0.036	0
90768-156_S47_L001_R1_001	100638	38223	60861	1554	0.38	0.6	0.02	0.374	0.063	0.033
90768-185_S55_L001_R1_001	94199	36746	56479	974	0.39	0.6	0.01	0.242	0.053	0
90768-191_S59_L001_R1_001	84219	32267	47790	4162	0.38	0.57	0.05	0.609	0.092	0.023
90768-199_S63_L001_R1_001	81156	32062	46819	2275	0.4	0.58	0.03	0.456	0.082	0
90768-235_S77_L001_R1_001	194623	36078	62013	96532	0.19	0.32	0.5	0.899	0.088	0.19
90768-237_S79_L001_R1_001	79539	31337	42154	6048	0.39	0.53	0.08	0.662	0.097	0.022
90768-260_S85_L001_R1_001	69286	26468	37990	4828	0.38	0.55	0.07	0.508	0.097	0.022
90768-263_S86_L001_R1_001	72668	26109	43622	2937	0.36	0.6	0.04	0.498	0.074	0.029
90768-280_S88_L001_R1_001	87009	35357	49981	1671	0.41	0.57	0.02	0.37	0.055	0
90768-284_S90_L001_R1_001	88799	34356	52753	1690	0.39	0.59	0.02	0.33	0.059	0.036
90768-292_S91_L001_R1_001	155082	51771	100496	2815	0.33	0.65	0.02	0.5	0.09	0.093
