sample	GenotypeRate	Heterozygosity	conScore
1	90763-231_S1_L001_R1_001	0.939	0.153	0.452
2	90763-232_S2_L001_R1_001	0.901	0.13	0.21
3	90763-236_S3_L001_R1_001	0.968	0.153	0.699
4	90763-237_S4_L001_R1_001	0.532	0.103	0
5	90763-238_S5_L001_R1_001	0.905	0.126	0.117
6	90768-005_S6_L001_R1_001	0.901	0.132	0.317
7	90768-009_S7_L001_R1_001	0.378	0.061	0
8	90768-014_S8_L001_R1_001	0.399	0.078	0.054
9	90768-015_S9_L001_R1_001	0.763	0.116	0.018
10	90768-018_S10_L001_R1_001	0.42	0.078	0.054
11	90768-027_S11_L001_R1_001	0.788	0.145	0.13
12	90768-029_S12_L001_R1_001	0.792	0.122	0.207
13	90768-034_S13_L001_R1_001	0.332	0.065	0
14	90768-040_S14_L001_R1_001	0.784	0.124	0.085
15	90768-042_S15_L001_R1_001	0.794	0.122	0.052
16	90768-044_S16_L001_R1_001	0.868	0.134	0.141
17	90768-054_S17_L001_R1_001	0.231	0.029	0
18	90768-055_S18_L001_R1_001	0.897	0.155	0.054
19	90768-056_S19_L001_R1_001	0.458	0.074	0
20	90768-057_S20_L001_R1_001	0.748	0.128	0.082
21	90768-061_S21_L001_R1_001	0.439	0.076	0
22	90768-064_S22_L001_R1_001	0.674	0.107	0.059
23	90768-067_S23_L001_R1_001	0.733	0.109	0.058
24	90768-075_S24_L001_R1_001	0.876	0.141	0.075
25	90768-076_S25_L001_R1_001	0.569	0.092	0
26	90768-077_S26_L001_R1_001	0.378	0.063	0.033
27	90768-078_S27_L001_R1_001	0.866	0.145	0.043
28	90768-083_S28_L001_R1_001	0.382	0.076	0.028
29	90768-084_S29_L001_R1_001	0.569	0.109	0
30	90768-088_S30_L001_R1_001	0.395	0.069	0.03
31	90768-090_S31_L001_R1_001	0.057	0.023	0
32	90768-104_S32_L001_R1_001	0.111	0.013	0
33	90768-107_S33_L001_R1_001	0.689	0.095	0.044
34	90768-109_S34_L001_R1_001	0.905	0.126	0.167
35	90768-114_S35_L001_R1_001	0.305	0.059	0
36	90768-115_S36_L001_R1_001	0.874	0.122	0.172
37	90768-120_S37_L001_R1_001	0.836	0.153	0.068
38	90768-121_S38_L001_R1_001	0.536	0.08	0
39	90768-127_S39_L001_R1_001	0.863	0.128	0.082
40	90768-130_S40_L001_R1_001	0.853	0.132	0.079
41	90768-133_S41_L001_R1_001	0.908	0.122	0.155
42	90768-137_S42_L001_R1_001	0.679	0.124	0.051
43	90768-138_S43_L001_R1_001	0.723	0.134	0.062
44	90768-143_S44_L001_R1_001	0.025	0.004	0
45	90768-152_S45_L001_R1_001	0.347	0.063	0.033
46	90768-155_S46_L001_R1_001	0.17	0.036	0
47	90768-156_S47_L001_R1_001	0.374	0.063	0.033
48	90768-160_S48_L001_R1_001	0.876	0.149	0.113
49	90768-161_S49_L001_R1_001	0.735	0.113	0
50	90768-165_S50_L001_R1_001	0.887	0.145	0.116
51	90768-178_S51_L001_R1_001	0.901	0.124	0.237
52	90768-179_S52_L001_R1_001	0.905	0.122	0.293
53	90768-183_S53_L001_R1_001	0.811	0.12	0.053
54	90768-184_S54_L001_R1_001	0.834	0.185	0.057
55	90768-185_S55_L001_R1_001	0.242	0.053	0
56	90768-186_S56_L001_R1_001	0.739	0.105	0.12
57	90768-187_S57_L001_R1_001	0.838	0.143	0.118
58	90768-189_S58_L001_R1_001	0.821	0.134	0.094
59	90768-191_S59_L001_R1_001	0.609	0.092	0.023
60	90768-194_S60_L001_R1_001	0.704	0.179	0.2
61	90768-195_S61_L001_R1_001	0.975	0.141	0.507
62	90768-196_S62_L001_R1_001	0.899	0.139	0.212
63	90768-199_S63_L001_R1_001	0.456	0.082	0
64	90768-200_S64_L001_R1_001	0.828	0.134	0.125
65	90768-204_S65_L001_R1_001	0.872	0.17	0.086
66	90768-206_S66_L001_R1_001	0.924	0.155	0.23
67	90768-207_S67_L001_R1_001	0.908	0.113	0.093
68	90768-211_S68_L001_R1_001	0.765	0.111	0.038
69	90768-216_S69_L001_R1_001	0.903	0.153	0.164
70	90768-217_S70_L001_R1_001	0.908	0.143	0.235
71	90768-218_S71_L001_R1_001	0.832	0.143	0.074
72	90768-219_S72_L001_R1_001	0.861	0.113	0.13
73	90768-220_S73_L001_R1_001	0.855	0.128	0.033
74	90768-221_S74_L001_R1_001	0.901	0.101	0.229
75	90768-223_S75_L001_R1_001	0.878	0.12	0.053
76	90768-234_S76_L001_R1_001	0.891	0.122	0.138
77	90768-235_S77_L001_R1_001	0.899	0.088	0.19
78	90768-236_S78_L001_R1_001	0.788	0.103	0.082
79	90768-237_S79_L001_R1_001	0.662	0.097	0.022
80	90768-238_S80_L001_R1_001	0.855	0.141	0.104
81	90768-240_S81_L001_R1_001	0.866	0.132	0.095
82	90768-244_S82_L001_R1_001	0.727	0.103	0.061
83	90768-245_S83_L001_R1_001	0.79	0.128	0.098
84	90768-258_S84_L001_R1_001	0.887	0.124	0.186
85	90768-260_S85_L001_R1_001	0.508	0.097	0.022
86	90768-263_S86_L001_R1_001	0.498	0.074	0.029
87	90768-265_S87_L001_R1_001	0.836	0.122	0.052
88	90768-280_S88_L001_R1_001	0.37	0.055	0
89	90768-283_S89_L001_R1_001	0.83	0.113	0.13
90	90768-284_S90_L001_R1_001	0.33	0.059	0.036
91	90768-292_S91_L001_R1_001	0.5	0.09	0.093
92	90768-296_S92_L001_R1_001	0.817	0.12	0.175
93	90768-299_S93_L001_R1_001	0.784	0.137	0.031
94	90768-301_S94_L001_R1_001	0.773	0.122	0.034
95	90768-308_S95_L001_R1_001	0.889	0.176	0.083
