Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	1049	715	0.68
Tpa_0012	2837	1883	0.66
Tpa_0024	16661	12	0.00
Tpa_0035	1338	1097	0.82
Tpa_0037	41397	300	0.01
Tpa_0095	3348	3223	0.96
Tpa_0151	20004	11029	0.55
Tpa_0183	10363	7896	0.76
Tpa_0186	1545	1034	0.67
Tpa_0215	2190	1	0.00
Tpa_0226	995	407	0.41
Tpa_0228	9707	262	0.03
Tpa_0263	63039	2169	0.03
Tpa_0269	914	682	0.75
Tpa_0272	74	43	0.58
Tpa_0301	8277	8122	0.98
Tpa_0342	3352	2211	0.66
Tpa_0346	3045	2660	0.87
Tpa_0358	1472	1401	0.95
Tpa_0366	11684	704	0.06
Tpa_0367	2000	1635	0.82
Tpa_0371	1806	1442	0.80
Tpa_0395	1711	1641	0.96
Tpa_0409	1169	754	0.64
Tpa_0427	1659	1600	0.96
Tpa_0429	1431	788	0.55
Tpa_0438	1040	408	0.39
Tpa_0439	3567	3381	0.95
Tpa_0474	13154	61	0.00
Tpa_0492	3230	940	0.29
Tpa_0500	41636	2519	0.06
Tpa_0540	57248	1487	0.03
Tpa_0547	3398	1192	0.35
Tpa_0556	9970	2328	0.23
Tpa_0569	1368	876	0.64
Tpa_0592	4537	3653	0.81
Tpa_0650	20498	678	0.03
Tpa_0671	618	603	0.98
Tpa_0678	769	84	0.11
Tpa_0730	3094	1306	0.42
Tpa_0743	2810	1653	0.59
Tpa_0763	414	394	0.95
Tpa_0768	36995	377	0.01
Tpa_0826	871	589	0.68
Tpa_0866	7907	7418	0.94
Tpa_0868	304	57	0.19
Tpa_0882	225	195	0.87
Tpa_0888	6997	908	0.13
Tpa_0895	4149	2083	0.50
Tpa_0905	999	807	0.81
Tpa_0912	33041	139	0.00
Tpa_0929	1228	279	0.23
Tpa_0936	40641	836	0.02
Tpa_0953	5744	4606	0.80
Tpa_0970	87	8	0.09
Tpa_0973	381	22	0.06
Tpa_0979	5640	1197	0.21
Tpa_1007	9680	3787	0.39
Tpa_1022	79420	699	0.01
Tpa_1042	4308	2627	0.61
Tpa_1071	2486	1493	0.60
Tpa_1077	663	574	0.87
Tpa_1082	6400	6114	0.96
Tpa_1098	244	144	0.59
Tpa_1112	3023	909	0.30
Tpa_1136	158	3	0.02
Tpa_1144	428	364	0.85
Tpa_1154	1188	465	0.39
Tpa_1156	1340	64	0.05
Tpa_1187	1337	1047	0.78
Tpa_1268	327	279	0.85
Tpa_1290	5485	1070	0.20
Tpa_1304	6443	2971	0.46
Tpa_1305	3048	1	0.00
Tpa_1310	13275	1365	0.10
Tpa_1312	6304	6015	0.95
Tpa_1320	41318	385	0.01
Tpa_1341	2800	957	0.34
Tpa_1357	2437	2249	0.92
Tpa_1359	1257	1066	0.85
Tpa_1394	949	882	0.93
Tpa_1443	574	378	0.66
Tpa_1486	4145	482	0.12
Tpa_1515	349	296	0.85
Tpa_1528	210	142	0.68
Tpa_1542	7463	1153	0.15
Tpa_1548	7690	1440	0.19
Tpa_1550	1906	1166	0.61
Tpa_1585	5695	5061	0.89
