Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	199	134	0.67
Tpa_0012	1062	148	0.14
Tpa_0024	4869	0	0.00
Tpa_0035	1491	225	0.15
Tpa_0037	1589	14	0.01
Tpa_0095	1838	259	0.14
Tpa_0151	2446	797	0.33
Tpa_0183	386	124	0.32
Tpa_0186	602	99	0.16
Tpa_0215	10701	0	0.00
Tpa_0226	255	155	0.61
Tpa_0228	15815	33	0.00
Tpa_0263	3450	437	0.13
Tpa_0269	9507	41	0.00
Tpa_0272	1451	2	0.00
Tpa_0301	490	470	0.96
Tpa_0342	345	146	0.42
Tpa_0346	2950	228	0.08
Tpa_0358	1356	375	0.28
Tpa_0366	33980	22	0.00
Tpa_0367	925	370	0.40
Tpa_0371	193	23	0.12
Tpa_0395	12	9	0.75
Tpa_0409	34027	3	0.00
Tpa_0427	1038	663	0.64
Tpa_0429	2858	66	0.02
Tpa_0438	19717	21	0.00
Tpa_0439	39	27	0.69
Tpa_0474	103	18	0.17
Tpa_0492	5798	13	0.00
Tpa_0500	363	6	0.02
Tpa_0540	97027	415	0.00
Tpa_0547	1726	8	0.00
Tpa_0556	66610	497	0.01
Tpa_0569	34	19	0.56
Tpa_0592	2743	563	0.21
Tpa_0650	27192	123	0.00
Tpa_0671	27	25	0.93
Tpa_0678	4367	36	0.01
Tpa_0730	4285	313	0.07
Tpa_0743	593	585	0.99
Tpa_0763	144	1	0.01
Tpa_0768	8666	1549	0.18
Tpa_0826	8224	61	0.01
Tpa_0866	1287	781	0.61
Tpa_0868	2845	16	0.01
Tpa_0882	293	16	0.05
Tpa_0888	15322	7	0.00
Tpa_0895	23963	22	0.00
Tpa_0905	662	23	0.03
Tpa_0912	15950	48	0.00
Tpa_0929	437	2	0.00
Tpa_0936	42656	198	0.00
Tpa_0953	12187	1314	0.11
Tpa_0970	1323	0	0.00
Tpa_0973	54271	2	0.00
Tpa_0979	17155	2	0.00
Tpa_1007	129	17	0.13
Tpa_1022	43	1	0.02
Tpa_1042	6	0	0.00
Tpa_1071	13553	39	0.00
Tpa_1077	7114	20	0.00
Tpa_1082	1581	766	0.48
Tpa_1098	230	0	0.00
Tpa_1112	648	2	0.00
Tpa_1136	24	0	0.00
Tpa_1144	50	1	0.02
Tpa_1154	29	1	0.03
Tpa_1156	0	0	NA
Tpa_1187	134	83	0.62
Tpa_1268	66	13	0.20
Tpa_1290	1072	36	0.03
Tpa_1304	5	0	0.00
Tpa_1305	13328	0	0.00
Tpa_1310	390	4	0.01
Tpa_1312	3744	1734	0.46
Tpa_1320	19984	1828	0.09
Tpa_1341	40451	0	0.00
Tpa_1357	1757	23	0.01
Tpa_1359	13522	1573	0.12
Tpa_1394	525	334	0.64
Tpa_1443	1355	12	0.01
Tpa_1486	17632	4	0.00
Tpa_1515	5198	37	0.01
Tpa_1528	5343	12	0.00
Tpa_1542	29312	8	0.00
Tpa_1548	31606	217	0.01
Tpa_1550	304	75	0.25
Tpa_1585	1693	729	0.43
Tpa_1593	552	71	0.13
Tpa_1606	13100	3259	0.25
Tpa_1638	14810	33	0.00
Tpa_1646	39034	752	0.02
Tpa_1662	5151	14	0.00
Tpa_1678	1264	50	0.04
Tpa_1689	1977	1	0.00
Tpa_1703	25	1	0.04
Tpa_1731	18568	1136	0.06
Tpa_1774	83	4	0.05
Tpa_1775	115160	5453	0.05
Tpa_1818	3396	33	0.01
Tpa_1831	789	773	0.98
Tpa_1832	194	189	0.97
Tpa_1843	45371	46	0.00
Tpa_1891	556	303	0.54
Tpa_1896	60151	114	0.00
Tpa_1917	749	1	0.00
Tpa_1930	245	179	0.73
Tpa_1966	4	2	0.50
Tpa_2006	34	19	0.56
Tpa_2010	6499	34	0.01
Tpa_2021	17852	3	0.00
Tpa_2034	21	16	0.76
Tpa_2040	244	93	0.38
Tpa_2041	8705	27	0.00
Tpa_2073	53851	37	0.00
Tpa_2076	1428	302	0.21
Tpa_2096	954	109	0.11
Tpa_2128	6	5	0.83
Tpa_2157	4296	685	0.16
Tpa_2180	23024	51	0.00
Tpa_2194	58	22	0.38
Tpa_2207	822	597	0.73
Tpa_2254	29944	13	0.00
Tpa_2278	100	84	0.84
Tpa_2334	61192	0	0.00
Tpa_2344	9742	1162	0.12
Tpa_2353	610	301	0.49
Tpa_2368	21337	39	0.00
Tpa_2412	34857	1297	0.04
Tpa_2417	1827	126	0.07
Tpa_2453	2136	0	0.00
Tpa_2458	1406	12	0.01
Tpa_2460	75088	4	0.00
Tpa_2470	11042	73	0.01
Tpa_2483	14139	128	0.01
Tpa_2498	7237	2	0.00
Tpa_2509	49	44	0.90
Tpa_2518	10351	74	0.01
Tpa_2519	2540	2	0.00
Tpa_2523	2756	3	0.00
Tpa_2581	3878	303	0.08
Tpa_2601	3652	3509	0.96
Tpa_2608	43550	558	0.01
Tpa_2636	978	269	0.28
Tpa_2639	43919	1	0.00
Tpa_2664	31183	12	0.00
Tpa_2702	254	6	0.02
Tpa_2712	115	29	0.25
Tpa_2734	3392	73	0.02
Tpa_2741	1	0	0.00
Tpa_2745	3831	141	0.04
Tpa_2763	214	156	0.73
Tpa_2845	403	10	0.02
Tpa_2854	95528	72	0.00
Tpa_2856	25130	232	0.01
Tpa_2861	42115	98	0.00
Tpa_2868	25050	20	0.00
Tpa_2900	232	26	0.11
Tpa_2907	21426	39	0.00
Tpa_2961	182	112	0.62
Tpa_2970	7485	5	0.00
Tpa_3004	9380	80	0.01
Tpa_3011	53135	10	0.00
Tpa_3018	0	0	NA
Tpa_3047	6439	142	0.02
Tpa_3055	306	2	0.01
Tpa_3063	13333	10	0.00
Tpa_3129	372	2	0.01
Tpa_3149	158	149	0.94
Tpa_3193	328	0	0.00
Tpa_3197	6456	72	0.01
Tpa_3200	440	30	0.07
Tpa_3248	658	639	0.97
Tpa_3254	7499	15	0.00
Tpa_3262	17718	1089	0.06
Tpa_3263	84985	89	0.00
Tpa_3310	27076	171	0.01
Tpa_3347	11221	20	0.00
Tpa_3354	371	324	0.87
Tpa_3364	6371	90	0.01
Tpa_3385	3	0	0.00
Tpa_3439	471	4	0.01
Tpa_3502	189	1	0.01
Tpa_3561	1282	14	0.01
Tpa_3569	15	13	0.87
Tpa_3583	2583	27	0.01
Tpa_3616	3652	1155	0.32
Tpa_3674	15110	138	0.01
Tpa_3676	3726	7	0.00
Tpa_3679	28	2	0.07
Tpa_3684	11758	5	0.00
Tpa_3705	22657	736	0.03
Tpa_3723	58	37	0.64
Tpa_3737	5783	31	0.01
Tpa_3745	757	303	0.40
Tpa_3795	12527	2860	0.23
Tpa_3846	1187	90	0.08
Tpa_3862	0	0	NA
Tpa_3871	8417	314	0.04
Tpa_3879	1874	1611	0.86
Tpa_3905	80932	25	0.00
Tpa_3926	113669	9	0.00
Tpa_3937	82	9	0.11
Tpa_3962	779	129	0.17
Tpa_3974	753	19	0.03
Tpa_4020	57	53	0.93
Tpa_4021	694	160	0.23
Tpa_4022	12007	1624	0.14
Tpa_4055	333	18	0.05
Tpa_4077	74791	39	0.00
Tpa_4120	26156	916	0.04
Tpa_4126	7214	546	0.08
Tpa_4137	2892	355	0.12
Tpa_4148	52488	2	0.00
Tpa_4168	7588	9	0.00
Tpa_4176	199	2	0.01
Tpa_4178	7326	117	0.02
Tpa_4209	4275	194	0.05
Tpa_4221	606	4	0.01
Tpa_4230	46942	160	0.00
Tpa_4245	35484	0	0.00
Tpa_4246	4602	142	0.03
Tpa_4247	18509	169	0.01
Tpa_4268	3036	2935	0.97
Tpa_4291	563	296	0.53
Tpa_4295	549	23	0.04
Tpa_4310	26194	63	0.00
Tpa_4316	400	187	0.47
Tpa_4353	13642	1582	0.12
Tpa_4356	4946	3186	0.64
Tpa_4380	1502	5	0.00
Tpa_4384	456	162	0.36
Tpa_4394	1646	38	0.02
Tpa_4416	6134	130	0.02
Tpa_4425	24266	26	0.00
Tpa_4443	546	219	0.40
Tpa_4454	55016	34	0.00
Tpa_4467	58855	0	0.00
Tpa_4495	32	7	0.22
Tpa_4506	22	1	0.05
Tpa_4511	3616	0	0.00
Tpa_4549	149156	1	0.00
Tpa_4556	142	74	0.52
Tpa_4569	40062	124	0.00
Tpa_4582	4144	2	0.00
Tpa_4590	1511	456	0.30
Tpa_4591	136	1	0.01
Tpa_4592	17222	50	0.00
Tpa_4593	64588	100	0.00
Tpa_4595	4	0	0.00
Tpa_4599	2848	2627	0.92
Tpa_4633	4278	0	0.00
Tpa_4637	33670	20	0.00
Tpa_4668	2589	247	0.10
Tpa_4678	4001	2018	0.50
Tpa_4697	26	12	0.46
Tpa_4713	6723	60	0.01
Tpa_4731	9057	0	0.00
Tpa_4747	18549	443	0.02
Tpa_4749	310	14	0.05
Tpa_4804	10230	15	0.00
Tpa_4849	479	4	0.01
Tpa_4885	54532	2	0.00
Tpa_4886	15466	7	0.00
Tpa_4900	1993	1	0.00
Tpa_4920	60608	0	0.00
Tpa_4928	28214	87	0.00
Tpa_4936	466	16	0.03
Tpa_4985	18669	46	0.00
Tpa_5002	435	47	0.11
Tpa_5015	6	0	0.00
Tpa_5022	5043	4803	0.95
Tpa_5057	442	65	0.15
Tpa_5075	596	65	0.11
Tpa_5104	6172	5045	0.82
Tpa_5106	1031	11	0.01
Tpa_5118	46534	18	0.00
Tpa_5138	8119	78	0.01
Tpa_5144	248	7	0.03
Tpa_5167	24	0	0.00
Tpa_5196	2965	1	0.00
Tpa_5205	19	0	0.00
Tpa_5206	44762	8	0.00
Tpa_5218	4451	2	0.00
Tpa_5222	160	36	0.23
Tpa_5228	508	119	0.23
Tpa_5241	878	133	0.15
Tpa_5242	1072	249	0.23
Tpa_5244	4612	1640	0.36
Tpa_5249	101	6	0.06
Tpa_5270	10	1	0.10
Tpa_5278	95	74	0.78
Tpa_5279	5560	5	0.00
Tpa_5292	2831	1491	0.53
Tpa_5298	8333	218	0.03
Tpa_5327	1907	834	0.44
Tpa_5360	16013	12	0.00
Tpa_5361	3734	97	0.03
Tpa_5373	12942	7	0.00
Tpa_5379	11245	2200	0.20
Tpa_5382	5633	1098	0.19
Tpa_5418	5877	979	0.17
Tpa_5441	43123	1199	0.03
Tpa_5445	2263	1095	0.48
Tpa_5446	224	146	0.65
Tpa_5454	477	327	0.69
Tpa_5471	23116	11567	0.50
Tpa_5485	12577	105	0.01
Tpa_5501	6985	117	0.02
Tpa_5525	55973	747	0.01
Tpa_5538	875	11	0.01
Tpa_5540	799	34	0.04
Tpa_5542	81	3	0.04
Tpa_5563	440	19	0.04
Tpa_5565	22203	4189	0.19
Tpa_5570	40865	5	0.00
Tpa_5574	71475	16	0.00
Tpa_5588	6570	5430	0.83
Tpa_5594	2043	47	0.02
Tpa_5601	26267	316	0.01
Tpa_5609	6679	2	0.00
Tpa_5623	9282	1017	0.11
Tpa_5636	23829	11	0.00
Tpa_5651	287	39	0.14
Tpa_5679	849	132	0.16
Tpa_5741	3376	63	0.02
Tpa_5761	2571	145	0.06
Tpa_5774	29474	102	0.00
Tpa_5795	85003	0	0.00
Tpa_5796	1053	329	0.31
Tpa_5823	14108	497	0.04
Tpa_5827	3830	101	0.03
Tpa_5829	77	30	0.39
Tpa_5838	1693	921	0.54
Tpa_5854	4	0	0.00
Tpa_5856	92	46	0.50
Tpa_5863	694	84	0.12
Tpa_5868	210	3	0.01
Tpa_5878	1434	263	0.18
Tpa_5913	2130	608	0.29
Tpa_5917	1609	264	0.16
