"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231A_S1_L001_R1_001" "90763_232A_S2_L001_R1_001" 166 229 0.724890829694323 0.48109243697479 476
"2" "90763_231A_S1_L001_R1_001" "90763_236A_S3_L001_R1_001" 201 277 0.725631768953069 0.581932773109244 476
"3" "90763_231A_S1_L001_R1_001" "90763_237A_S4_L001_R1_001" 73 97 0.752577319587629 0.203781512605042 476
"4" "90763_231A_S1_L001_R1_001" "90763_238A_S5_L001_R1_001" 129 164 0.786585365853659 0.34453781512605 476
"5" "90763_231A_S1_L001_R1_001" "90768_005A_S6_L001_R1_001" 161 207 0.777777777777778 0.434873949579832 476
"6" "90763_231A_S1_L001_R1_001" "90768_009A_S7_L001_R1_001" 34 44 0.772727272727273 0.092436974789916 476
"7" "90763_231A_S1_L001_R1_001" "90768_014A_S8_L001_R1_001" 24 36 0.666666666666667 0.0756302521008403 476
"8" "90763_231A_S1_L001_R1_001" "90768_015A_S9_L001_R1_001" 73 103 0.70873786407767 0.216386554621849 476
"9" "90763_231A_S1_L001_R1_001" "90768_018A_S10_L001_R1_001" 39 53 0.735849056603774 0.111344537815126 476
"10" "90763_231A_S1_L001_R1_001" "90768_027A_S11_L001_R1_001" 81 122 0.663934426229508 0.256302521008403 476
"11" "90763_231A_S1_L001_R1_001" "90768_029A_S12_L001_R1_001" 105 147 0.714285714285714 0.308823529411765 476
"12" "90763_231A_S1_L001_R1_001" "90768_034A_S13_L001_R1_001" 38 48 0.791666666666667 0.100840336134454 476
"13" "90763_231A_S1_L001_R1_001" "90768_040A_S14_L001_R1_001" 92 126 0.73015873015873 0.264705882352941 476
"14" "90763_231A_S1_L001_R1_001" "90768_042A_S15_L001_R1_001" 74 98 0.755102040816326 0.205882352941176 476
"15" "90763_231A_S1_L001_R1_001" "90768_044A_S16_L001_R1_001" 112 162 0.691358024691358 0.340336134453782 476
"16" "90763_231A_S1_L001_R1_001" "90768_054A_S17_L001_R1_001" 17 24 0.708333333333333 0.0504201680672269 476
"17" "90763_231A_S1_L001_R1_001" "90768_055A_S18_L001_R1_001" 138 181 0.762430939226519 0.380252100840336 476
"18" "90763_231A_S1_L001_R1_001" "90768_056A_S19_L001_R1_001" 38 49 0.775510204081633 0.102941176470588 476
"19" "90763_231A_S1_L001_R1_001" "90768_057A_S20_L001_R1_001" 81 118 0.686440677966102 0.247899159663866 476
"20" "90763_231A_S1_L001_R1_001" "90768_061A_S21_L001_R1_001" 25 34 0.735294117647059 0.0714285714285714 476
"21" "90763_231A_S1_L001_R1_001" "90768_064A_S22_L001_R1_001" 63 82 0.768292682926829 0.172268907563025 476
"22" "90763_231A_S1_L001_R1_001" "90768_067A_S23_L001_R1_001" 75 108 0.694444444444444 0.226890756302521 476
"23" "90763_231A_S1_L001_R1_001" "90768_075A_S24_L001_R1_001" 124 153 0.810457516339869 0.321428571428571 476
"24" "90763_231A_S1_L001_R1_001" "90768_076A_S25_L001_R1_001" 65 89 0.730337078651685 0.186974789915966 476
"25" "90763_231A_S1_L001_R1_001" "90768_077A_S26_L001_R1_001" 75 105 0.714285714285714 0.220588235294118 476
"26" "90763_231A_S1_L001_R1_001" "90768_078A_S27_L001_R1_001" 178 233 0.763948497854077 0.489495798319328 476
"27" "90763_231A_S1_L001_R1_001" "90768_083A_S28_L001_R1_001" 77 98 0.785714285714286 0.205882352941176 476
"28" "90763_231A_S1_L001_R1_001" "90768_084A_S29_L001_R1_001" 86 106 0.811320754716981 0.222689075630252 476
"29" "90763_231A_S1_L001_R1_001" "90768_088A_S30_L001_R1_001" 27 39 0.692307692307692 0.0819327731092437 476
"30" "90763_231A_S1_L001_R1_001" "90768_090A_S31_L001_R1_001" 8 10 0.8 0.0210084033613445 476
"31" "90763_231A_S1_L001_R1_001" "90768_104A_S32_L001_R1_001" 6 6 1 0.0126050420168067 476
"32" "90763_232A_S2_L001_R1_001" "90763_236A_S3_L001_R1_001" 189 245 0.771428571428571 0.514705882352941 476
"33" "90763_232A_S2_L001_R1_001" "90763_237A_S4_L001_R1_001" 75 101 0.742574257425743 0.21218487394958 476
"34" "90763_232A_S2_L001_R1_001" "90763_238A_S5_L001_R1_001" 132 177 0.745762711864407 0.371848739495798 476
"35" "90763_232A_S2_L001_R1_001" "90768_005A_S6_L001_R1_001" 149 202 0.737623762376238 0.42436974789916 476
"36" "90763_232A_S2_L001_R1_001" "90768_009A_S7_L001_R1_001" 33 45 0.733333333333333 0.0945378151260504 476
"37" "90763_232A_S2_L001_R1_001" "90768_014A_S8_L001_R1_001" 28 37 0.756756756756757 0.0777310924369748 476
"38" "90763_232A_S2_L001_R1_001" "90768_015A_S9_L001_R1_001" 75 106 0.707547169811321 0.222689075630252 476
"39" "90763_232A_S2_L001_R1_001" "90768_018A_S10_L001_R1_001" 39 53 0.735849056603774 0.111344537815126 476
"40" "90763_232A_S2_L001_R1_001" "90768_027A_S11_L001_R1_001" 96 128 0.75 0.26890756302521 476
"41" "90763_232A_S2_L001_R1_001" "90768_029A_S12_L001_R1_001" 121 155 0.780645161290323 0.32563025210084 476
"42" "90763_232A_S2_L001_R1_001" "90768_034A_S13_L001_R1_001" 38 48 0.791666666666667 0.100840336134454 476
"43" "90763_232A_S2_L001_R1_001" "90768_040A_S14_L001_R1_001" 98 128 0.765625 0.26890756302521 476
"44" "90763_232A_S2_L001_R1_001" "90768_042A_S15_L001_R1_001" 81 106 0.764150943396226 0.222689075630252 476
"45" "90763_232A_S2_L001_R1_001" "90768_044A_S16_L001_R1_001" 128 172 0.744186046511628 0.361344537815126 476
"46" "90763_232A_S2_L001_R1_001" "90768_054A_S17_L001_R1_001" 20 25 0.8 0.0525210084033613 476
"47" "90763_232A_S2_L001_R1_001" "90768_055A_S18_L001_R1_001" 141 191 0.738219895287958 0.401260504201681 476
"48" "90763_232A_S2_L001_R1_001" "90768_056A_S19_L001_R1_001" 39 50 0.78 0.105042016806723 476
