Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	244	63	0.26
Tpa_0012	336	286	0.85
Tpa_0024	4424	0	0.00
Tpa_0035	237	183	0.77
Tpa_0037	1692	8	0.00
Tpa_0095	1104	909	0.82
Tpa_0151	3259	2168	0.67
Tpa_0183	1292	1087	0.84
Tpa_0186	341	160	0.47
Tpa_0215	593	0	0.00
Tpa_0226	310	28	0.09
Tpa_0228	4522	9	0.00
Tpa_0263	18923	215	0.01
Tpa_0269	229	70	0.31
Tpa_0272	20	0	0.00
Tpa_0301	2357	2314	0.98
Tpa_0342	375	326	0.87
Tpa_0346	318	231	0.73
Tpa_0358	298	286	0.96
Tpa_0366	1167	193	0.17
Tpa_0367	456	286	0.63
Tpa_0371	259	226	0.87
Tpa_0395	277	224	0.81
Tpa_0409	153	46	0.30
Tpa_0427	472	457	0.97
Tpa_0429	261	154	0.59
Tpa_0438	151	30	0.20
Tpa_0439	892	875	0.98
Tpa_0474	2291	2	0.00
Tpa_0492	384	175	0.46
Tpa_0500	1903	100	0.05
Tpa_0540	13314	131	0.01
Tpa_0547	348	231	0.66
Tpa_0556	1641	271	0.17
Tpa_0569	330	166	0.50
Tpa_0592	1286	1146	0.89
Tpa_0650	2719	56	0.02
Tpa_0671	188	180	0.96
Tpa_0678	116	7	0.06
Tpa_0730	494	229	0.46
Tpa_0743	1417	231	0.16
Tpa_0763	68	54	0.79
Tpa_0768	20875	72	0.00
Tpa_0826	165	43	0.26
Tpa_0866	2378	2265	0.95
Tpa_0868	124	5	0.04
Tpa_0882	17	12	0.71
Tpa_0888	1964	113	0.06
Tpa_0895	686	194	0.28
Tpa_0905	267	244	0.91
Tpa_0912	19679	10	0.00
Tpa_0929	220	91	0.41
Tpa_0936	11469	185	0.02
Tpa_0953	2270	866	0.38
Tpa_0970	22	0	0.00
Tpa_0973	88	0	0.00
Tpa_0979	1385	148	0.11
Tpa_1007	934	124	0.13
Tpa_1022	21586	120	0.01
Tpa_1042	173	30	0.17
Tpa_1071	315	148	0.47
Tpa_1077	152	123	0.81
Tpa_1082	1968	1894	0.96
Tpa_1098	49	15	0.31
Tpa_1112	1325	220	0.17
Tpa_1136	95	1	0.01
Tpa_1144	52	43	0.83
Tpa_1154	153	124	0.81
Tpa_1156	214	1	0.00
Tpa_1187	196	111	0.57
Tpa_1268	63	56	0.89
Tpa_1290	1937	172	0.09
Tpa_1304	316	46	0.15
Tpa_1305	932	0	0.00
