sample	GenotypeRate	Heterozygosity	conScore
1	90763_231B_S33_L001_R1_001	0.586	0.092	0.068
2	90763_232B_S34_L001_R1_001	0.471	0.069	0.03
3	90763_236B_S35_L001_R1_001	0.924	0.151	0.236
4	90763_237B_S36_L001_R1_001	0.004	0	NA
5	90763_238B_S37_L001_R1_001	0.155	0.025	0
6	90768_005B_S38_L001_R1_001	0.38	0.063	0
7	90768_009B_S39_L001_R1_001	0	0	NA
8	90768_014B_S40_L001_R1_001	0.004	0	NA
9	90768_015B_S41_L001_R1_001	0.027	0.008	0
10	90768_018B_S42_L001_R1_001	0	0	NA
11	90768_027B_S43_L001_R1_001	0.008	0.004	0
12	90768_029B_S44_L001_R1_001	0.019	0.008	0
13	90768_034B_S45_L001_R1_001	0.002	0	NA
14	90768_040B_S46_L001_R1_001	0.006	0.002	0
15	90768_042B_S47_L001_R1_001	0.011	0.006	0
16	90768_044B_S48_L001_R1_001	0.237	0.04	0
17	90768_054B_S49_L001_R1_001	0.002	0	NA
18	90768_055B_S50_L001_R1_001	0.046	0.017	0
19	90768_056B_S51_L001_R1_001	0.002	0	NA
20	90768_057B_S52_L001_R1_001	0.008	0.004	0
21	90768_061B_S53_L001_R1_001	0	0	NA
22	90768_064B_S54_L001_R1_001	0.002	0	NA
23	90768_067B_S55_L001_R1_001	0.004	0.002	0
24	90768_075B_S56_L001_R1_001	0.032	0.006	0
25	90768_076B_S57_L001_R1_001	0.004	0.004	0
26	90768_077B_S58_L001_R1_001	0.002	0	NA
27	90768_078B_S59_L001_R1_001	0.008	0.002	0
28	90768_083B_S60_L001_R1_001	0	0	NA
29	90768_084B_S61_L001_R1_001	0	0	NA
30	90768_088B_S62_L001_R1_001	0	0	NA
31	90768_090B_S63_L001_R1_001	0	0	NA
32	90768_104B_S64_L001_R1_001	0	0	NA
