Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	252	72	0.29
Tpa_0012	441	396	0.90
Tpa_0024	3976	1	0.00
Tpa_0035	229	188	0.82
Tpa_0037	873	25	0.03
Tpa_0095	860	779	0.91
Tpa_0151	3288	2462	0.75
Tpa_0183	1472	1377	0.94
Tpa_0186	390	252	0.65
Tpa_0215	476	0	0.00
Tpa_0226	294	54	0.18
Tpa_0228	3898	22	0.01
Tpa_0263	17785	327	0.02
Tpa_0269	147	86	0.59
Tpa_0272	12	7	0.58
Tpa_0301	2362	2305	0.98
Tpa_0342	456	433	0.95
Tpa_0346	448	390	0.87
Tpa_0358	387	373	0.96
Tpa_0366	752	216	0.29
Tpa_0367	605	414	0.68
Tpa_0371	317	297	0.94
Tpa_0395	372	333	0.90
Tpa_0409	168	87	0.52
Tpa_0427	533	512	0.96
Tpa_0429	168	117	0.70
Tpa_0438	94	56	0.60
Tpa_0439	910	899	0.99
Tpa_0474	1939	9	0.00
Tpa_0492	270	173	0.64
Tpa_0500	3995	270	0.07
Tpa_0540	3561	166	0.05
Tpa_0547	376	300	0.80
Tpa_0556	1538	351	0.23
Tpa_0569	378	225	0.60
Tpa_0592	934	832	0.89
Tpa_0650	822	43	0.05
Tpa_0671	222	220	0.99
Tpa_0678	126	8	0.06
Tpa_0730	458	345	0.75
Tpa_0743	1196	322	0.27
Tpa_0763	75	73	0.97
Tpa_0768	18381	58	0.00
Tpa_0826	164	69	0.42
Tpa_0866	2148	2069	0.96
Tpa_0868	95	8	0.08
Tpa_0882	22	16	0.73
Tpa_0888	1640	149	0.09
Tpa_0895	733	308	0.42
Tpa_0905	262	253	0.97
Tpa_0912	17008	18	0.00
Tpa_0929	192	81	0.42
Tpa_0936	3994	163	0.04
Tpa_0953	2019	1232	0.61
Tpa_0970	18	1	0.06
Tpa_0973	50	4	0.08
Tpa_0979	408	182	0.45
Tpa_1007	828	397	0.48
Tpa_1022	19713	149	0.01
Tpa_1042	265	144	0.54
Tpa_1071	350	212	0.61
Tpa_1077	181	161	0.89
Tpa_1082	1208	1177	0.97
Tpa_1098	44	20	0.45
Tpa_1112	1228	230	0.19
Tpa_1136	79	0	0.00
Tpa_1144	72	65	0.90
Tpa_1154	146	126	0.86
Tpa_1156	238	1	0.00
Tpa_1187	214	147	0.69
Tpa_1268	79	78	0.99
Tpa_1290	1492	231	0.15
Tpa_1304	418	185	0.44
Tpa_1305	941	1	0.00
Tpa_1310	507	219	0.43
Tpa_1312	827	716	0.87
Tpa_1320	4346	37	0.01
Tpa_1341	495	152	0.31
Tpa_1357	538	466	0.87
Tpa_1359	198	85	0.43
Tpa_1394	184	173	0.94
Tpa_1443	89	44	0.49
Tpa_1486	437	120	0.27
Tpa_1515	44	38	0.86
Tpa_1528	21	18	0.86
Tpa_1542	629	223	0.35
Tpa_1548	1349	204	0.15
Tpa_1550	309	186	0.60
Tpa_1585	1336	1269	0.95
Tpa_1593	171	120	0.70
Tpa_1606	105687	330	0.00
Tpa_1638	189	72	0.38
Tpa_1646	1390	518	0.37
Tpa_1662	661	260	0.39
Tpa_1678	385	374	0.97
Tpa_1689	119	113	0.95
Tpa_1703	442	1	0.00
Tpa_1731	954	693	0.73
Tpa_1774	253	139	0.55
Tpa_1775	3704	90	0.02
Tpa_1818	709	81	0.11
Tpa_1831	794	783	0.99
Tpa_1832	97	93	0.96
Tpa_1843	1154	311	0.27
Tpa_1891	354	338	0.95
Tpa_1896	160	108	0.68
Tpa_1917	195	155	0.79
Tpa_1930	883	310	0.35
Tpa_1966	206	173	0.84
Tpa_2006	214	200	0.93
Tpa_2010	432	363	0.84
