Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_232C_S66_L001_R1_001	14609	6201	7792	616	0.42	0.53	0.04	0.155	0.017	0
90763_237C_S68_L001_R1_001	38804	12302	26196	306	0.32	0.68	0.01	0.069	0.013	0
90763_238C_S69_L001_R1_001	33340	12104	20100	1136	0.36	0.6	0.03	0.349	0.048	0
90768_009C_S71_L001_R1_001	29641	11387	18188	66	0.38	0.61	0	0.004	0.002	0
90768_014C_S72_L001_R1_001	25078	8788	16232	58	0.35	0.65	0	0.004	0	NA
90768_015C_S73_L001_R1_001	23519	9040	14269	210	0.38	0.61	0.01	0.025	0.006	0
90768_018C_S74_L001_R1_001	24537	9846	14643	48	0.4	0.6	0	0.002	0.002	0
90768_027C_S75_L001_R1_001	24984	9818	14933	233	0.39	0.6	0.01	0.036	0.011	0
90768_029C_S76_L001_R1_001	24041	8777	14393	871	0.37	0.6	0.04	0.208	0.036	0
90768_034C_S77_L001_R1_001	26792	10262	16458	72	0.38	0.61	0	0.008	0.004	0
90768_040C_S78_L001_R1_001	23863	9293	14197	373	0.39	0.59	0.02	0.084	0.021	0
90768_042C_S79_L001_R1_001	22364	9074	13030	260	0.41	0.58	0.01	0.034	0.006	0
90768_044C_S80_L001_R1_001	23525	8909	13478	1138	0.38	0.57	0.05	0.279	0.04	0
90768_054C_S81_L001_R1_001	24018	9260	14725	33	0.39	0.61	0	0.006	0.002	0
90768_055C_S82_L001_R1_001	25663	9788	14870	1005	0.38	0.58	0.04	0.303	0.065	0
90768_056C_S83_L001_R1_001	28190	11253	16859	78	0.4	0.6	0	0.008	0.002	0
90768_057C_S84_L001_R1_001	26234	10278	15703	253	0.39	0.6	0.01	0.036	0.011	0
90768_061C_S85_L001_R1_001	27103	10683	16309	111	0.39	0.6	0	0.004	0	NA
90768_064C_S86_L001_R1_001	24393	9998	14256	139	0.41	0.58	0.01	0.015	0.004	0
90768_067C_S87_L001_R1_001	23030	9237	13639	154	0.4	0.59	0.01	0.013	0.002	0
90768_075C_S88_L001_R1_001	24737	9641	14711	385	0.39	0.59	0.02	0.084	0.019	0
90768_076C_S89_L001_R1_001	37484	11458	25549	477	0.31	0.68	0.01	0.036	0.008	0
90768_077C_S90_L001_R1_001	28467	11205	17146	116	0.39	0.6	0	0.017	0.002	0
90768_078C_S91_L001_R1_001	31482	12122	18459	901	0.39	0.59	0.03	0.273	0.086	0.024
90768_083C_S92_L001_R1_001	26388	10832	15511	45	0.41	0.59	0	0.002	0.002	0
90768_084C_S93_L001_R1_001	23716	9322	14238	156	0.39	0.6	0.01	0.021	0.008	0
90768_088C_S94_L001_R1_001	19987	8552	11399	36	0.43	0.57	0	0.002	0	NA
90768_090C_S95_L001_R1_001	25126	9962	15098	66	0.4	0.6	0	0.002	0	NA
90768_104C_S96_L001_R1_001	28921	11675	17228	18	0.4	0.6	0	0.002	0	NA
