Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	370	255	0.69
Tpa_0012	1443	1095	0.76
Tpa_0024	5597	4	0.00
Tpa_0035	668	591	0.88
Tpa_0037	14310	56	0.00
Tpa_0095	1990	1934	0.97
Tpa_0151	10217	7006	0.69
Tpa_0183	6037	5150	0.85
Tpa_0186	722	559	0.77
Tpa_0215	724	1	0.00
Tpa_0226	358	160	0.45
Tpa_0228	3335	80	0.02
Tpa_0263	22695	1126	0.05
Tpa_0269	385	318	0.83
Tpa_0272	19	10	0.53
Tpa_0301	5385	5287	0.98
Tpa_0342	2000	1612	0.81
Tpa_0346	1806	1657	0.92
Tpa_0358	825	793	0.96
Tpa_0366	4231	512	0.12
Tpa_0367	1169	1026	0.88
Tpa_0371	1102	955	0.87
Tpa_0395	1080	1051	0.97
Tpa_0409	583	441	0.76
Tpa_0427	1123	1093	0.97
Tpa_0429	651	413	0.63
Tpa_0438	421	191	0.45
Tpa_0439	2271	2201	0.97
Tpa_0474	4686	21	0.00
Tpa_0492	1334	527	0.40
Tpa_0500	23804	1315	0.06
Tpa_0540	20015	579	0.03
Tpa_0547	1616	838	0.52
Tpa_0556	4157	1313	0.32
Tpa_0569	828	562	0.68
Tpa_0592	2482	2168	0.87
Tpa_0650	6953	179	0.03
Tpa_0671	433	425	0.98
Tpa_0678	252	25	0.10
Tpa_0730	1498	872	0.58
Tpa_0743	1397	1020	0.73
Tpa_0763	231	222	0.96
Tpa_0768	12574	148	0.01
Tpa_0826	412	297	0.72
Tpa_0866	4714	4496	0.95
Tpa_0868	109	23	0.21
Tpa_0882	56	50	0.89
Tpa_0888	2659	496	0.19
Tpa_0895	1801	1086	0.60
Tpa_0905	625	550	0.88
Tpa_0912	11093	47	0.00
Tpa_0929	554	168	0.30
Tpa_0936	14624	408	0.03
Tpa_0953	3455	3028	0.88
Tpa_0970	26	2	0.08
Tpa_0973	154	5	0.03
Tpa_0979	2311	780	0.34
Tpa_1007	4526	2320	0.51
Tpa_1022	27228	488	0.02
Tpa_1042	1814	1173	0.65
Tpa_1071	1248	915	0.73
Tpa_1077	431	383	0.89
Tpa_1082	3796	3691	0.97
Tpa_1098	118	79	0.67
Tpa_1112	1304	604	0.46
Tpa_1136	48	1	0.02
Tpa_1144	211	192	0.91
Tpa_1154	520	280	0.54
Tpa_1156	475	26	0.05
Tpa_1187	647	541	0.84
Tpa_1268	187	174	0.93
Tpa_1290	2157	610	0.28
