"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"1" "90763_231_S1_L001_R1_001" "90763_232_S2_L001_R1_001" 287 375 0.765333333333333 0.78781512605042 476
"2" "90763_231_S1_L001_R1_001" "90763_236_S3_L001_R1_001" 326 439 0.742596810933941 0.922268907563025 476
"3" "90763_231_S1_L001_R1_001" "90763_237_S4_L001_R1_001" 9 14 0.642857142857143 0.0294117647058824 476
"4" "90763_231_S1_L001_R1_001" "90763_238_S5_L001_R1_001" 192 261 0.735632183908046 0.548319327731092 476
"5" "90763_231_S1_L001_R1_001" "90768_005_S6_L001_R1_001" 280 360 0.777777777777778 0.756302521008403 476
"6" "90763_231_S1_L001_R1_001" "90768_009_S7_L001_R1_001" 0 0 NA 0 476
"7" "90763_231_S1_L001_R1_001" "90768_014_S8_L001_R1_001" 26 44 0.590909090909091 0.092436974789916 476
"8" "90763_231_S1_L001_R1_001" "90768_015_S9_L001_R1_001" 126 159 0.792452830188679 0.334033613445378 476
"9" "90763_231_S1_L001_R1_001" "90768_018_S10_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"10" "90763_231_S1_L001_R1_001" "90768_027_S11_L001_R1_001" 86 129 0.666666666666667 0.271008403361345 476
"11" "90763_231_S1_L001_R1_001" "90768_029_S12_L001_R1_001" 107 145 0.737931034482759 0.304621848739496 476
"12" "90763_231_S1_L001_R1_001" "90768_034_S13_L001_R1_001" 7 8 0.875 0.0168067226890756 476
"13" "90763_231_S1_L001_R1_001" "90768_040_S14_L001_R1_001" 125 157 0.796178343949045 0.329831932773109 476
"14" "90763_231_S1_L001_R1_001" "90768_042_S15_L001_R1_001" 131 169 0.775147928994083 0.355042016806723 476
"15" "90763_231_S1_L001_R1_001" "90768_044_S16_L001_R1_001" 257 358 0.717877094972067 0.752100840336134 476
"16" "90763_231_S1_L001_R1_001" "90768_054_S17_L001_R1_001" 64 67 0.955223880597015 0.140756302521008 476
"17" "90763_231_S1_L001_R1_001" "90768_055_S18_L001_R1_001" 235 311 0.755627009646302 0.653361344537815 476
"18" "90763_231_S1_L001_R1_001" "90768_056_S19_L001_R1_001" 11 11 1 0.023109243697479 476
"19" "90763_231_S1_L001_R1_001" "90768_057_S20_L001_R1_001" 71 104 0.682692307692308 0.218487394957983 476
"20" "90763_231_S1_L001_R1_001" "90768_061_S21_L001_R1_001" 15 17 0.882352941176471 0.0357142857142857 476
"21" "90763_231_S1_L001_R1_001" "90768_064_S22_L001_R1_001" 36 42 0.857142857142857 0.0882352941176471 476
"22" "90763_231_S1_L001_R1_001" "90768_067_S23_L001_R1_001" 62 90 0.688888888888889 0.189075630252101 476
"23" "90763_231_S1_L001_R1_001" "90768_075_S24_L001_R1_001" 206 280 0.735714285714286 0.588235294117647 476
"24" "90763_231_S1_L001_R1_001" "90768_076_S25_L001_R1_001" 90 104 0.865384615384615 0.218487394957983 476
"25" "90763_231_S1_L001_R1_001" "90768_077_S26_L001_R1_001" 12 22 0.545454545454545 0.046218487394958 476
"26" "90763_231_S1_L001_R1_001" "90768_078_S27_L001_R1_001" 158 213 0.741784037558685 0.447478991596639 476
"27" "90763_231_S1_L001_R1_001" "90768_083_S28_L001_R1_001" 9 12 0.75 0.0252100840336134 476
"28" "90763_231_S1_L001_R1_001" "90768_084_S29_L001_R1_001" 27 39 0.692307692307692 0.0819327731092437 476
"29" "90763_231_S1_L001_R1_001" "90768_088_S30_L001_R1_001" 14 22 0.636363636363636 0.046218487394958 476
"30" "90763_231_S1_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"31" "90763_231_S1_L001_R1_001" "90768_104_S32_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"32" "90763_232_S2_L001_R1_001" "90763_236_S3_L001_R1_001" 285 377 0.755968169761273 0.792016806722689 476
"33" "90763_232_S2_L001_R1_001" "90763_237_S4_L001_R1_001" 8 14 0.571428571428571 0.0294117647058824 476
"34" "90763_232_S2_L001_R1_001" "90763_238_S5_L001_R1_001" 182 248 0.733870967741935 0.521008403361345 476
"35" "90763_232_S2_L001_R1_001" "90768_005_S6_L001_R1_001" 249 337 0.738872403560831 0.707983193277311 476
"36" "90763_232_S2_L001_R1_001" "90768_009_S7_L001_R1_001" 0 0 NA 0 476
"37" "90763_232_S2_L001_R1_001" "90768_014_S8_L001_R1_001" 33 44 0.75 0.092436974789916 476
"38" "90763_232_S2_L001_R1_001" "90768_015_S9_L001_R1_001" 105 147 0.714285714285714 0.308823529411765 476
"39" "90763_232_S2_L001_R1_001" "90768_018_S10_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"40" "90763_232_S2_L001_R1_001" "90768_027_S11_L001_R1_001" 94 127 0.740157480314961 0.266806722689076 476
