Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_232_S2_L001_R1_001	77776	17191	50857	 9728	0.22	0.65	0.13	0.792	0.122	0.052
90763_237_S4_L001_R1_001	60627	16822	43569	  236	0.28	0.72	0.00	0.029	0.013	0.000
90763_238_S5_L001_R1_001	74373	18509	53645	 2219	0.25	0.72	0.03	0.550	0.084	0.000
90768_005_S6_L001_R1_001	61849	13570	36203	12076	0.22	0.59	0.20	0.763	0.111	0.094
90768_009_S7_L001_R1_001	  127	   32	   94	    1	0.25	0.74	0.01	0.000	0.000	  NaN
90768_014_S8_L001_R1_001	97064	23117	73515	  432	0.24	0.76	0.00	0.092	0.023	0.000
90768_015_S9_L001_R1_001	66440	17659	47487	 1294	0.27	0.71	0.02	0.336	0.088	0.048
90768_018_S10_L001_R1_001	69414	18611	50554	  249	0.27	0.73	0.00	0.044	0.011	0.000
90768_027_S11_L001_R1_001	62459	16516	44906	 1037	0.26	0.72	0.02	0.273	0.069	0.091
90768_029_S12_L001_R1_001	37675	 9183	26874	 1618	0.24	0.71	0.04	0.307	0.055	0.000
90768_034_S13_L001_R1_001	63932	17189	46576	  167	0.27	0.73	0.00	0.017	0.000	  NaN
90768_040_S14_L001_R1_001	53268	14061	37748	 1459	0.26	0.71	0.03	0.334	0.055	0.038
90768_042_S15_L001_R1_001	64405	17430	45760	 1215	0.27	0.71	0.02	0.357	0.059	0.036
90768_044_S16_L001_R1_001	82527	19174	56103	 7250	0.23	0.68	0.09	0.756	0.118	0.036
90768_054_S17_L001_R1_001	75740	19009	56045	  686	0.25	0.74	0.01	0.141	0.032	0.000
90768_055_S18_L001_R1_001	63125	15298	44740	 3087	0.24	0.71	0.05	0.658	0.092	0.000
90768_056_S19_L001_R1_001	34027	 8070	25791	  166	0.24	0.76	0.00	0.023	0.002	0.000
90768_057_S20_L001_R1_001	63013	16557	45617	  839	0.26	0.72	0.01	0.221	0.048	0.000
90768_061_S21_L001_R1_001	73389	18188	54995	  206	0.25	0.75	0.00	0.036	0.006	0.000
90768_064_S22_L001_R1_001	57608	15210	41986	  412	0.26	0.73	0.01	0.090	0.013	0.000
90768_067_S23_L001_R1_001	67947	17982	49161	  804	0.26	0.72	0.01	0.191	0.046	0.000
90768_075_S24_L001_R1_001	93124	22167	68724	 2233	0.24	0.74	0.02	0.595	0.099	0.000
90768_076_S25_L001_R1_001	85772	21006	63918	  848	0.24	0.75	0.01	0.218	0.063	0.033
90768_077_S26_L001_R1_001	54690	14360	40074	  256	0.26	0.73	0.00	0.050	0.015	0.000
90768_078_S27_L001_R1_001	77617	20754	55137	 1726	0.27	0.71	0.02	0.454	0.080	0.000
90768_083_S28_L001_R1_001	59389	15637	43612	  140	0.26	0.73	0.00	0.025	0.006	0.000
90768_084_S29_L001_R1_001	67854	17636	49854	  364	0.26	0.73	0.01	0.082	0.021	0.000
90768_088_S30_L001_R1_001	71826	18870	52745	  211	0.26	0.73	0.00	0.046	0.015	0.000
90768_090_S31_L001_R1_001	58294	15328	42947	   19	0.26	0.74	0.00	0.002	0.002	0.000
90768_104_S32_L001_R1_001	59340	14806	44445	   89	0.25	0.75	0.00	0.015	0.004	0.000
