sample	GenotypeRate	Heterozygosity	conScore
1	90763_231_S1_L001_R1_001	0.924	0.149	0.296
2	90763_232_S2_L001_R1_001	0.792	0.122	0.052
3	90763_236_S3_L001_R1_001	0.968	0.153	0.411
4	90763_237_S4_L001_R1_001	0.029	0.013	0
5	90763_238_S5_L001_R1_001	0.55	0.084	0
6	90768_005_S6_L001_R1_001	0.763	0.111	0.094
7	90768_009_S7_L001_R1_001	0	0	NA
8	90768_014_S8_L001_R1_001	0.092	0.023	0
9	90768_015_S9_L001_R1_001	0.336	0.088	0.048
10	90768_018_S10_L001_R1_001	0.044	0.011	0
11	90768_027_S11_L001_R1_001	0.273	0.069	0.091
12	90768_029_S12_L001_R1_001	0.307	0.055	0
13	90768_034_S13_L001_R1_001	0.017	0	NA
14	90768_040_S14_L001_R1_001	0.334	0.055	0.038
15	90768_042_S15_L001_R1_001	0.357	0.059	0.036
16	90768_044_S16_L001_R1_001	0.756	0.118	0.036
17	90768_054_S17_L001_R1_001	0.141	0.032	0
18	90768_055_S18_L001_R1_001	0.658	0.092	0
19	90768_056_S19_L001_R1_001	0.023	0.002	0
20	90768_057_S20_L001_R1_001	0.221	0.048	0
21	90768_061_S21_L001_R1_001	0.036	0.006	0
22	90768_064_S22_L001_R1_001	0.09	0.013	0
23	90768_067_S23_L001_R1_001	0.191	0.046	0
24	90768_075_S24_L001_R1_001	0.595	0.099	0
25	90768_076_S25_L001_R1_001	0.218	0.063	0.033
26	90768_077_S26_L001_R1_001	0.05	0.015	0
27	90768_078_S27_L001_R1_001	0.454	0.08	0
28	90768_083_S28_L001_R1_001	0.025	0.006	0
29	90768_084_S29_L001_R1_001	0.082	0.021	0
30	90768_088_S30_L001_R1_001	0.046	0.015	0
31	90768_090_S31_L001_R1_001	0.002	0.002	0
32	90768_104_S32_L001_R1_001	0.015	0.004	0
