Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	90763_231A_S1_L001_R1_001	243807	7155	194791	41861	0.03	0.8	0.17	0.708	0.13	0.161
2	90763_232A_S2_L001_R1_001	45043	1593	36492	6958	0.04	0.81	0.15	0.408	0.057	0.148
3	90763_236A_S3_L001_R1_001	43721	959	24271	18491	0.02	0.56	0.42	0.609	0.09	0.186
4	90763_237A_S4_L001_R1_001	227520	7296	210564	9660	0.03	0.93	0.04	0.37	0.078	0.027
5	90763_238A_S5_L001_R1_001	236986	7668	208564	20754	0.03	0.88	0.09	0.565	0.063	0.067
6	90768_005A_S6_L001_R1_001	147055	4260	124092	18703	0.03	0.84	0.13	0.477	0.076	0.194
7	90768_009A_S7_L001_R1_001	14085	512	13408	165	0.04	0.95	0.01	0.032	0.006	0
8	90768_014A_S8_L001_R1_001	19002	2029	16776	197	0.11	0.88	0.01	0.042	0.006	0.333
9	90768_015A_S9_L001_R1_001	141317	4514	130446	6357	0.03	0.92	0.04	0.29	0.055	0
10	90768_018A_S10_L001_R1_001	196076	6265	186437	3374	0.03	0.95	0.02	0.158	0.023	0.273
11	90768_027A_S11_L001_R1_001	199388	6407	183753	9228	0.03	0.92	0.05	0.374	0.057	0.074
12	90768_029A_S12_L001_R1_001	150960	4588	138902	7470	0.03	0.92	0.05	0.328	0.063	0.133
13	90768_034A_S13_L001_R1_001	374556	12217	357938	4401	0.03	0.96	0.01	0.185	0.027	0.154
14	90768_040A_S14_L001_R1_001	69241	2120	62723	4398	0.03	0.91	0.06	0.254	0.053	0.08
15	90768_042A_S15_L001_R1_001	88936	3130	80418	5388	0.04	0.9	0.06	0.305	0.046	0.045
16	90768_044A_S16_L001_R1_001	90932	2669	76605	11658	0.03	0.84	0.13	0.42	0.069	0.182
17	90768_054A_S17_L001_R1_001	177260	5674	170298	1288	0.03	0.96	0.01	0.092	0.017	0
18	90768_055A_S18_L001_R1_001	151156	4787	128279	18090	0.03	0.85	0.12	0.55	0.082	0.128
19	90768_056A_S19_L001_R1_001	166991	5340	158997	2654	0.03	0.95	0.02	0.158	0.023	0
20	90768_057A_S20_L001_R1_001	243994	7923	225339	10732	0.03	0.92	0.04	0.391	0.069	0.121
21	90768_061A_S21_L001_R1_001	146826	4766	140779	1281	0.03	0.96	0.01	0.107	0.021	0.1
22	90768_064A_S22_L001_R1_001	107852	3444	100182	4226	0.03	0.93	0.04	0.204	0.023	0
23	90768_067A_S23_L001_R1_001	196366	6102	181280	8984	0.03	0.92	0.05	0.34	0.055	0.077
24	90768_075A_S24_L001_R1_001	187869	6155	168332	13382	0.03	0.9	0.07	0.458	0.059	0.036
25	90768_076A_S25_L001_R1_001	242061	8127	231146	2788	0.03	0.95	0.01	0.191	0.038	0.111
26	90768_077A_S26_L001_R1_001	49751	1606	47040	1105	0.03	0.95	0.02	0.095	0.029	0
27	90768_078A_S27_L001_R1_001	47629	1606	41518	4505	0.03	0.87	0.09	0.319	0.053	0.08
28	90768_083A_S28_L001_R1_001	58947	1905	56514	528	0.03	0.96	0.01	0.067	0.017	0
29	90768_084A_S29_L001_R1_001	232	13	210	9	0.06	0.91	0.04	0	0	NA
30	90768_088A_S30_L001_R1_001	13848	514	13125	209	0.04	0.95	0.02	0.032	0.006	0
31	90768_090A_S31_L001_R1_001	12852	530	12321	1	0.04	0.96	0	0	0	NA
32	90768_104A_S32_L001_R1_001	26341	852	25328	161	0.03	0.96	0.01	0.015	0.002	0
