Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	356	223	0.63
Tpa_0012	475	56	0.12
Tpa_0024	4610	0	0.00
Tpa_0035	651	125	0.19
Tpa_0037	3180	57	0.02
Tpa_0095	599	33	0.06
Tpa_0151	1723	515	0.30
Tpa_0183	460	120	0.26
Tpa_0186	4958	73	0.01
Tpa_0215	4999	0	0.00
Tpa_0226	516	488	0.95
Tpa_0228	19379	226	0.01
Tpa_0263	1846	455	0.25
Tpa_0269	4362	42	0.01
Tpa_0272	1062	12	0.01
Tpa_0301	155	147	0.95
Tpa_0342	249	115	0.46
Tpa_0346	4448	579	0.13
Tpa_0358	721	101	0.14
Tpa_0366	25700	8	0.00
Tpa_0367	438	130	0.30
Tpa_0371	42	4	0.10
Tpa_0395	2	2	1.00
Tpa_0409	25139	4	0.00
Tpa_0427	872	694	0.80
Tpa_0429	1691	22	0.01
Tpa_0438	7614	62	0.01
Tpa_0439	12	4	0.33
Tpa_0474	92	29	0.32
Tpa_0492	3110	6	0.00
Tpa_0500	483	17	0.04
Tpa_0540	68308	787	0.01
Tpa_0547	830	5	0.01
Tpa_0556	48237	794	0.02
Tpa_0569	7	1	0.14
Tpa_0592	1675	77	0.05
Tpa_0650	19227	205	0.01
Tpa_0671	9	7	0.78
Tpa_0678	3901	56	0.01
Tpa_0730	3319	365	0.11
Tpa_0743	639	616	0.96
Tpa_0763	24	0	0.00
Tpa_0768	4108	921	0.22
Tpa_0826	4827	119	0.02
Tpa_0866	988	197	0.20
Tpa_0868	1806	17	0.01
Tpa_0882	74	50	0.68
Tpa_0888	9730	2	0.00
Tpa_0895	18044	82	0.00
Tpa_0905	428	7	0.02
Tpa_0912	15289	114	0.01
Tpa_0929	474	7	0.01
Tpa_0936	28226	260	0.01
Tpa_0953	18579	881	0.05
Tpa_0970	14182	1	0.00
Tpa_0973	47507	1	0.00
Tpa_0979	10666	2	0.00
Tpa_1007	208	43	0.21
Tpa_1022	103	0	0.00
Tpa_1042	24	1	0.04
Tpa_1071	7168	60	0.01
Tpa_1077	3343	8	0.00
Tpa_1082	782	132	0.17
Tpa_1098	64	2	0.03
Tpa_1112	409	0	0.00
Tpa_1136	6	0	0.00
Tpa_1144	14	0	0.00
Tpa_1154	20	0	0.00
Tpa_1156	0	0	NA
Tpa_1187	106	68	0.64
Tpa_1268	39	6	0.15
Tpa_1290	1006	63	0.06
Tpa_1304	8	0	0.00
Tpa_1305	10254	0	0.00
Tpa_1310	557	19	0.03
Tpa_1312	5412	1101	0.20
Tpa_1320	17684	867	0.05
Tpa_1341	27402	6	0.00
Tpa_1357	483	7	0.01
Tpa_1359	7723	3713	0.48
Tpa_1394	824	342	0.42
Tpa_1443	1592	146	0.09
Tpa_1486	11529	5	0.00
Tpa_1515	4271	60	0.01
Tpa_1528	13423	53	0.00
Tpa_1542	21540	3	0.00
Tpa_1548	15175	469	0.03
Tpa_1550	207	37	0.18
Tpa_1585	705	153	0.22
Tpa_1593	550	116	0.21
Tpa_1606	9821	3885	0.40
Tpa_1638	10256	58	0.01
Tpa_1646	23644	795	0.03
Tpa_1662	3001	13	0.00
Tpa_1678	846	16	0.02
Tpa_1689	3415	2	0.00
Tpa_1703	9	1	0.11
Tpa_1731	8356	1095	0.13
Tpa_1774	36	0	0.00
Tpa_1775	69138	3562	0.05
Tpa_1818	3437	53	0.02
Tpa_1831	75	71	0.95
Tpa_1832	380	376	0.99
Tpa_1843	25879	242	0.01
Tpa_1891	456	345	0.76
Tpa_1896	40327	172	0.00
Tpa_1917	388	3	0.01
Tpa_1930	169	129	0.76
Tpa_1966	8	0	0.00
Tpa_2006	10	7	0.70
Tpa_2010	4360	41	0.01
Tpa_2021	9459	0	0.00
Tpa_2034	9	7	0.78
Tpa_2040	55	26	0.47
Tpa_2041	5383	12	0.00
Tpa_2073	35219	150	0.00
Tpa_2076	1217	201	0.17
Tpa_2096	307	61	0.20
Tpa_2128	2	0	0.00
Tpa_2157	3119	667	0.21
Tpa_2180	14954	33	0.00
Tpa_2194	33	18	0.55
Tpa_2207	486	383	0.79
Tpa_2254	18175	23	0.00
Tpa_2278	64	51	0.80
Tpa_2334	44486	0	0.00
Tpa_2344	5273	672	0.13
Tpa_2353	1827	443	0.24
Tpa_2368	16004	13	0.00
Tpa_2412	30391	2592	0.09
Tpa_2417	667	109	0.16
Tpa_2453	1095	0	0.00
Tpa_2458	1056	3	0.00
Tpa_2460	50542	85	0.00
Tpa_2470	6840	165	0.02
Tpa_2483	11400	408	0.04
Tpa_2498	8167	10	0.00
Tpa_2509	17	11	0.65
Tpa_2518	4917	393	0.08
Tpa_2519	716	18	0.03
