Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_231B_S33_L001_R1_001	 61064	1772	 46093	13199	0.03	0.75	0.22	0.487	0.078	0.135
90763_232B_S34_L001_R1_001	 17313	 532	 13863	 2918	0.03	0.80	0.17	0.319	0.042	0.050
90763_237B_S36_L001_R1_001	 58548	1793	 53997	 2758	0.03	0.92	0.05	0.153	0.029	0.000
90763_238B_S37_L001_R1_001	198437	6171	176394	15872	0.03	0.89	0.08	0.393	0.057	0.185
90768_005B_S38_L001_R1_001	 40024	1116	 32991	 5917	0.03	0.82	0.15	0.353	0.057	0.185
90768_009B_S39_L001_R1_001	 34551	1136	 32953	  462	0.03	0.95	0.01	0.050	0.008	0.000
90768_014B_S40_L001_R1_001	 84825	2655	 81487	  683	0.03	0.96	0.01	0.074	0.013	0.000
90768_015B_S41_L001_R1_001	 77299	2495	 71250	 3554	0.03	0.92	0.05	0.212	0.040	0.053
90768_018B_S42_L001_R1_001	121470	3896	115799	 1775	0.03	0.95	0.01	0.103	0.019	0.222
90768_027B_S43_L001_R1_001	 51123	1585	 47210	 2328	0.03	0.92	0.05	0.176	0.036	0.000
90768_029B_S44_L001_R1_001	 46596	1450	 42285	 2861	0.03	0.91	0.06	0.197	0.038	0.278
90768_034B_S45_L001_R1_001	 48486	1632	 45911	  943	0.03	0.95	0.02	0.055	0.015	0.000
90768_040B_S46_L001_R1_001	 72811	2700	 66671	 3440	0.04	0.92	0.05	0.317	0.050	0.042
90768_042B_S47_L001_R1_001	 54499	1809	 49712	 2978	0.03	0.91	0.05	0.244	0.025	0.167
90768_044B_S48_L001_R1_001	 65531	1874	 55280	 8377	0.03	0.84	0.13	0.399	0.055	0.115
90768_054B_S49_L001_R1_001	 53322	1810	 51209	  303	0.03	0.96	0.01	0.023	0.000	  NaN
90768_055B_S50_L001_R1_001	 12459	 418	 10531	 1510	0.03	0.85	0.12	0.216	0.023	0.091
90768_056B_S51_L001_R1_001	 24918	 880	 23595	  443	0.04	0.95	0.02	0.048	0.002	0.000
90768_057B_S52_L001_R1_001	 31103	1004	 28735	 1364	0.03	0.92	0.04	0.130	0.025	0.083
90768_061B_S53_L001_R1_001	 46107	1500	 44105	  502	0.03	0.96	0.01	0.044	0.011	0.000
90768_064B_S54_L001_R1_001	 17199	 599	 16149	  451	0.03	0.94	0.03	0.095	0.011	0.000
90768_067B_S55_L001_R1_001	 47034	1572	 43858	 1604	0.03	0.93	0.03	0.130	0.017	0.125
90768_075B_S56_L001_R1_001	   292	  11	   275	    6	0.04	0.94	0.02	0.000	0.000	  NaN
90768_076B_S57_L001_R1_001	111571	3643	106817	 1111	0.03	0.96	0.01	0.099	0.019	0.000
90768_077B_S58_L001_R1_001	 85913	2675	 81840	 1398	0.03	0.95	0.02	0.088	0.019	0.000
90768_078B_S59_L001_R1_001	 53955	1684	 48466	 3805	0.03	0.90	0.07	0.256	0.042	0.100
90768_083B_S60_L001_R1_001	 85586	2754	 82421	  411	0.03	0.96	0.00	0.036	0.006	0.000
90768_084B_S61_L001_R1_001	105828	3393	100795	 1640	0.03	0.95	0.02	0.099	0.015	0.143
90768_088B_S62_L001_R1_001	 25699	 917	 24449	  333	0.04	0.95	0.01	0.040	0.011	0.200
90768_090B_S63_L001_R1_001	 48181	2237	 45827	  117	0.05	0.95	0.00	0.017	0.002	0.000
90768_104B_S64_L001_R1_001	 29256	1011	 28178	   67	0.03	0.96	0.00	0.015	0.002	0.000
