sample	GenotypeRate	Heterozygosity	conScore
1	90763_231B_S33_L001_R1_001	0.487	0.078	0.135
2	90763_232B_S34_L001_R1_001	0.319	0.042	0.05
3	90763_236B_S35_L001_R1_001	0.887	0.132	0.349
4	90763_237B_S36_L001_R1_001	0.153	0.029	0
5	90763_238B_S37_L001_R1_001	0.393	0.057	0.185
6	90768_005B_S38_L001_R1_001	0.353	0.057	0.185
7	90768_009B_S39_L001_R1_001	0.05	0.008	0
8	90768_014B_S40_L001_R1_001	0.074	0.013	0
9	90768_015B_S41_L001_R1_001	0.212	0.04	0.053
10	90768_018B_S42_L001_R1_001	0.103	0.019	0.222
11	90768_027B_S43_L001_R1_001	0.176	0.036	0
12	90768_029B_S44_L001_R1_001	0.197	0.038	0.278
13	90768_034B_S45_L001_R1_001	0.055	0.015	0
14	90768_040B_S46_L001_R1_001	0.317	0.05	0.042
15	90768_042B_S47_L001_R1_001	0.244	0.025	0.167
16	90768_044B_S48_L001_R1_001	0.399	0.055	0.115
17	90768_054B_S49_L001_R1_001	0.023	0	NA
18	90768_055B_S50_L001_R1_001	0.216	0.023	0.091
19	90768_056B_S51_L001_R1_001	0.048	0.002	0
20	90768_057B_S52_L001_R1_001	0.13	0.025	0.083
21	90768_061B_S53_L001_R1_001	0.044	0.011	0
22	90768_064B_S54_L001_R1_001	0.095	0.011	0
23	90768_067B_S55_L001_R1_001	0.13	0.017	0.125
24	90768_075B_S56_L001_R1_001	0	0	NA
25	90768_076B_S57_L001_R1_001	0.099	0.019	0
26	90768_077B_S58_L001_R1_001	0.088	0.019	0
27	90768_078B_S59_L001_R1_001	0.256	0.042	0.1
28	90768_083B_S60_L001_R1_001	0.036	0.006	0
29	90768_084B_S61_L001_R1_001	0.099	0.015	0.143
30	90768_088B_S62_L001_R1_001	0.04	0.011	0.2
31	90768_090B_S63_L001_R1_001	0.017	0.002	0
32	90768_104B_S64_L001_R1_001	0.015	0.002	0
