Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	90763_231C_S65_L001_R1_001	62855	1782	46923	14150	0.03	0.75	0.23	0.557	0.103	0.082
2	90763_232C_S66_L001_R1_001	22605	730	17828	4047	0.03	0.79	0.18	0.355	0.053	0.08
3	90763_236C_S67_L001_R1_001	42242	990	22937	18315	0.02	0.54	0.43	0.645	0.099	0.191
4	90763_237C_S68_L001_R1_001	103228	3326	96374	3528	0.03	0.93	0.03	0.189	0.04	0.211
5	90763_238C_S69_L001_R1_001	69073	2519	60425	6129	0.04	0.87	0.09	0.349	0.053	0.04
6	90768_005C_S70_L001_R1_001	51248	1777	43254	6217	0.03	0.84	0.12	0.412	0.063	0.133
7	90768_009C_S71_L001_R1_001	157350	5018	151125	1207	0.03	0.96	0.01	0.084	0.013	0.333
8	90768_014C_S72_L001_R1_001	25762	992	24580	190	0.04	0.95	0.01	0.038	0.008	0
9	90768_015C_S73_L001_R1_001	119370	3747	110564	5059	0.03	0.93	0.04	0.244	0.055	0.038
10	90768_018C_S74_L001_R1_001	73777	2400	70024	1353	0.03	0.95	0.02	0.084	0.017	0.125
11	90768_027C_S75_L001_R1_001	201293	6596	187769	6928	0.03	0.93	0.03	0.286	0.042	0.1
12	90768_029C_S76_L001_R1_001	162986	4951	150693	7342	0.03	0.92	0.05	0.3	0.053	0.16
13	90768_034C_S77_L001_R1_001	79436	2516	75915	1005	0.03	0.96	0.01	0.076	0.013	0
14	90768_040C_S78_L001_R1_001	70371	2227	63396	4748	0.03	0.9	0.07	0.233	0.032	0.067
15	90768_042C_S79_L001_R1_001	94679	3140	86668	4871	0.03	0.92	0.05	0.244	0.029	0.214
16	90768_044C_S80_L001_R1_001	26766	842	23005	2919	0.03	0.86	0.11	0.269	0.036	0.059
17	90768_054C_S81_L001_R1_001	78157	2638	74888	631	0.03	0.96	0.01	0.053	0.004	0
18	90768_055C_S82_L001_R1_001	44006	1543	36746	5717	0.04	0.84	0.13	0.393	0.069	0.03
19	90768_056C_S83_L001_R1_001	81093	2550	77074	1469	0.03	0.95	0.02	0.109	0.021	0
20	90768_057C_S84_L001_R1_001	168947	5577	154828	8542	0.03	0.92	0.05	0.292	0.048	0.087
21	90768_061C_S85_L001_R1_001	48281	1529	46117	635	0.03	0.96	0.01	0.059	0.015	0
22	90768_064C_S86_L001_R1_001	165827	5388	155844	4595	0.03	0.94	0.03	0.244	0.019	0
23	90768_067C_S87_L001_R1_001	31719	1117	28988	1614	0.04	0.91	0.05	0.147	0.023	0.091
24	90768_075C_S88_L001_R1_001	4602	213	4123	266	0.05	0.9	0.06	0.059	0.006	0
25	90768_076C_S89_L001_R1_001	81905	2852	77708	1345	0.03	0.95	0.02	0.101	0.019	0.111
26	90768_077C_S90_L001_R1_001	179884	5525	171887	2472	0.03	0.96	0.01	0.13	0.023	0
27	90768_078C_S91_L001_R1_001	253632	8447	231057	14128	0.03	0.91	0.06	0.464	0.074	0.029
28	90768_083C_S92_L001_R1_001	242536	8154	232772	1610	0.03	0.96	0.01	0.12	0.017	0.125
29	90768_084C_S93_L001_R1_001	213393	7043	203076	3274	0.03	0.95	0.02	0.204	0.038	0.111
30	90768_088C_S94_L001_R1_001	178639	5785	170334	2520	0.03	0.95	0.01	0.145	0.027	0.308
31	90768_090C_S95_L001_R1_001	291998	9850	281447	701	0.03	0.96	0	0.04	0.008	0
32	90768_104C_S96_L001_R1_001	1562	733	814	15	0.47	0.52	0.01	0.004	0.002	0
