sample	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_184_S123_L001_R1_001	0.43	0.048	0.167
2	CAT_52507_184_S27_L001_R1_001	0.786	0.104	0.173
3	CAT_52507_212_S124_L001_R1_001	0.604	0.086	0.116
4	CAT_52507_212_S28_L001_R1_001	0.956	0.152	0.289
5	CAT_52507_240_S125_L001_R1_001	0.298	0.04	0.1
6	CAT_52507_240_S29_L001_R1_001	0.58	0.08	0.05
7	CAT_52507_271_S126_L001_R1_001	0.434	0.054	0.111
8	CAT_52507_271_S30_L001_R1_001	0.862	0.126	0.27
9	CAT_52507_351_S127_L001_R1_001	0.402	0.052	0.077
10	CAT_52507_351_S31_L001_R1_001	0.862	0.114	0.123
11	CAT_52507_356_S128_L001_R1_001	0.554	0.072	0.167
12	CAT_52507_356_S32_L001_R1_001	0.91	0.132	0.348
13	CAT_52507_362_S129_L001_R1_001	0.206	0.038	0.158
14	CAT_52507_362_S33_L001_R1_001	0.564	0.094	0.128
15	CAT_52507_385_S1_L001_R1_001	0.668	0.1	0.08
16	CAT_52507_385_S97_L001_R1_001	0.528	0.074	0.081
17	CAT_52507_392_S2_L001_R1_001	0.572	0.084	0
18	CAT_52507_392_S98_L001_R1_001	0.466	0.06	0.033
19	CAT_52507_397_S3_L001_R1_001	0.656	0.102	0.059
20	CAT_52507_397_S99_L001_R1_001	0.548	0.086	0.14
21	CAT_52507_401_S100_L001_R1_001	0.062	0.008	0.25
22	CAT_52507_401_S4_L001_R1_001	0.094	0.02	0.1
23	CAT_52507_406_S101_L001_R1_001	0.376	0.05	0.2
24	CAT_52507_406_S5_L001_R1_001	0.672	0.09	0.067
25	CAT_52507_407_S102_L001_R1_001	0.178	0.02	0.1
26	CAT_52507_407_S6_L001_R1_001	0.156	0.018	0.111
27	CAT_52507_411_S103_L001_R1_001	0.284	0.046	0.217
28	CAT_52507_411_S7_L001_R1_001	0.53	0.088	0.091
29	CAT_52507_413_S104_L001_R1_001	0.378	0.062	0.129
30	CAT_52507_413_S8_L001_R1_001	0.68	0.094	0.085
31	CAT_52507_414_S105_L001_R1_001	0.122	0.02	0.2
32	CAT_52507_414_S9_L001_R1_001	0.162	0.028	0.071
33	CAT_52507_415_S10_L001_R1_001	0.814	0.122	0.082
34	CAT_52507_415_S106_L001_R1_001	0.392	0.074	0.108
35	CAT_52507_418_S107_L001_R1_001	0.496	0.082	0.098
36	CAT_52507_418_S11_L001_R1_001	0.72	0.1	0.08
37	CAT_52507_422_S108_L001_R1_001	0.208	0.034	0.059
38	CAT_52507_422_S12_L001_R1_001	0.348	0.052	0.038
39	CAT_52507_425_S109_L001_R1_001	0.228	0.036	0.111
40	CAT_52507_425_S13_L001_R1_001	0.404	0.068	0.088
41	CAT_52507_429_S110_L001_R1_001	0.182	0.03	0.067
42	CAT_52507_429_S14_L001_R1_001	0.454	0.082	0.049
43	CAT_52507_431_S111_L001_R1_001	0.412	0.054	0.148
44	CAT_52507_431_S15_L001_R1_001	0.726	0.1	0.14
45	CAT_52507_440_S112_L001_R1_001	0.238	0.042	0.048
46	CAT_52507_440_S16_L001_R1_001	0.654	0.088	0.023
47	CAT_52507_442_S113_L001_R1_001	0.328	0.044	0.091
48	CAT_52507_442_S17_L001_R1_001	0.754	0.096	0.083
49	CAT_52507_445_S114_L001_R1_001	0.396	0.064	0.188
50	CAT_52507_445_S18_L001_R1_001	0.788	0.108	0.13
51	CAT_52507_465_S115_L001_R1_001	0.426	0.076	0.158
52	CAT_52507_465_S19_L001_R1_001	0.736	0.128	0.172
53	CAT_52507_467_S116_L001_R1_001	0.376	0.056	0.143
54	CAT_52507_467_S20_L001_R1_001	0.704	0.104	0.135
55	CAT_52507_472_S117_L001_R1_001	0.19	0.04	0.1
56	CAT_52507_472_S21_L001_R1_001	0.416	0.074	0.054
57	CAT_52507_473_S118_L001_R1_001	0.4	0.056	0.107
58	CAT_52507_473_S22_L001_R1_001	0.734	0.104	0.173
59	CAT_52507_477_S119_L001_R1_001	0.252	0.052	0.115
60	CAT_52507_477_S23_L001_R1_001	0.562	0.102	0.02
61	CAT_52507_479_S120_L001_R1_001	0.356	0.054	0.074
62	CAT_52507_479_S24_L001_R1_001	0.666	0.1	0.08
63	CAT_52507_484_S121_L001_R1_001	0.386	0.062	0.097
64	CAT_52507_484_S25_L001_R1_001	0.798	0.13	0.123
65	CAT_52507_485_S122_L001_R1_001	0.508	0.072	0.139
66	CAT_52507_485_S26_L001_R1_001	0.854	0.106	0.151
67	CAT_52508_002_S130_L001_R1_001	0.3	0.042	0
68	CAT_52508_002_S34_L001_R1_001	0.602	0.11	0
69	CAT_52508_004_S131_L001_R1_001	0.148	0.028	0.143
70	CAT_52508_004_S35_L001_R1_001	0.172	0.036	0.056
71	CAT_52508_011_S132_L001_R1_001	0.512	0.062	0.129
72	CAT_52508_011_S36_L001_R1_001	0.952	0.148	0.311
73	CAT_52508_014_S133_L001_R1_001	0.156	0.016	0
74	CAT_52508_014_S37_L001_R1_001	0.27	0.038	0.053
75	CAT_52508_017_S134_L001_R1_001	0.45	0.06	0.167
76	CAT_52508_017_S38_L001_R1_001	0.83	0.122	0.197
77	CAT_52508_019_S135_L001_R1_001	0.186	0.032	0.188
78	CAT_52508_019_S39_L001_R1_001	0.338	0.058	0.103
79	CAT_52508_022_S136_L001_R1_001	0.064	0.016	0
80	CAT_52508_022_S40_L001_R1_001	0.158	0.028	0
81	CAT_52508_024_S137_L001_R1_001	0.168	0.026	0.077
82	CAT_52508_024_S41_L001_R1_001	0.254	0.038	0.053
83	CAT_52508_025_S138_L001_R1_001	0.278	0.052	0.154
84	CAT_52508_025_S42_L001_R1_001	0.282	0.05	0.04
85	CAT_52508_027_S139_L001_R1_001	0.34	0.06	0.033
86	CAT_52508_027_S43_L001_R1_001	0.66	0.108	0.056
87	CAT_52508_031_S140_L001_R1_001	0.272	0.032	0.062
88	CAT_52508_031_S44_L001_R1_001	0.418	0.054	0.037
89	CAT_52508_033_S141_L001_R1_001	0.332	0.058	0.172
90	CAT_52508_033_S45_L001_R1_001	0.612	0.108	0.074
91	CAT_52508_036_S142_L001_R1_001	0.376	0.074	0.243
92	CAT_52508_036_S46_L001_R1_001	0.74	0.152	0.184
93	CAT_52508_039_S143_L001_R1_001	0.17	0.024	0.083
94	CAT_52508_039_S47_L001_R1_001	0.282	0.042	0.048
95	CAT_52508_040_S144_L001_R1_001	0.262	0.046	0.043
96	CAT_52508_040_S48_L001_R1_001	0.484	0.074	0.027
97	CAT_52508_043_S145_L001_R1_001	0.252	0.05	0.04
98	CAT_52508_043_S49_L001_R1_001	0.64	0.118	0.051
99	CAT_52508_046_S146_L001_R1_001	0.278	0.044	0.045
100	CAT_52508_046_S50_L001_R1_001	0.498	0.084	0.048
101	CAT_52508_047_S147_L001_R1_001	0.21	0.034	0.059
102	CAT_52508_047_S51_L001_R1_001	0.424	0.072	0
103	CAT_52508_052_S148_L001_R1_001	0.488	0.068	0.176
104	CAT_52508_052_S52_L001_R1_001	0.796	0.13	0.092
105	CAT_52508_056_S149_L001_R1_001	0.206	0.036	0.111
106	CAT_52508_056_S53_L001_R1_001	0.404	0.05	0.04
107	CAT_52508_062_S150_L001_R1_001	0.226	0.03	0
108	CAT_52508_062_S54_L001_R1_001	0.444	0.072	0.028
109	CAT_52508_064_S151_L001_R1_001	0.152	0.016	0.25
110	CAT_52508_064_S55_L001_R1_001	0.286	0.046	0.043
111	CAT_52508_065_S152_L001_R1_001	0.34	0.056	0.036
112	CAT_52508_065_S56_L001_R1_001	0.75	0.108	0.093
113	CAT_52508_069_S153_L001_R1_001	0.402	0.064	0.094
114	CAT_52508_069_S57_L001_R1_001	0.79	0.122	0.066
115	CAT_52508_070_S154_L001_R1_001	0.238	0.036	0.222
116	CAT_52508_070_S58_L001_R1_001	0.532	0.096	0.042
117	CAT_52508_078_S155_L001_R1_001	0.316	0.038	0.105
118	CAT_52508_078_S59_L001_R1_001	0.576	0.078	0
119	CAT_52508_079_S156_L001_R1_001	0.44	0.05	0.08
120	CAT_52508_079_S60_L001_R1_001	0.842	0.1	0.18
121	CAT_52508_086_S157_L001_R1_001	0.096	0.008	0
122	CAT_52508_086_S61_L001_R1_001	0.15	0.018	0
123	CAT_52508_087_S158_L001_R1_001	0.274	0.048	0.125
124	CAT_52508_087_S62_L001_R1_001	0.606	0.108	0.074
125	CAT_52508_088_S159_L001_R1_001	0.436	0.078	0.128
126	CAT_52508_088_S63_L001_R1_001	0.808	0.136	0.25
127	CAT_52508_090_S160_L001_R1_001	0.36	0.062	0.129
128	CAT_52508_090_S64_L001_R1_001	0.792	0.132	0.152
129	CAT_52508_091_S161_L001_R1_001	0.04	0.01	0.2
130	CAT_52508_091_S65_L001_R1_001	0.306	0.06	0.167
131	CAT_52508_101_S162_L001_R1_001	0.084	0.01	0
132	CAT_52508_101_S66_L001_R1_001	0.22	0.032	0
133	CAT_52508_105_S163_L001_R1_001	0.42	0.062	0.161
134	CAT_52508_105_S67_L001_R1_001	0.784	0.11	0.091
135	CAT_52508_106_S164_L001_R1_001	0.38	0.06	0.167
136	CAT_52508_106_S68_L001_R1_001	0.752	0.114	0.07
137	CAT_52508_111_S165_L001_R1_001	0.144	0.022	0
138	CAT_52508_111_S69_L001_R1_001	0.2	0.032	0
139	CAT_52508_114_S166_L001_R1_001	0.062	0.008	0.25
140	CAT_52508_114_S70_L001_R1_001	0.108	0.024	0.083
141	CAT_52508_115_S167_L001_R1_001	0.228	0.04	0.1
142	CAT_52508_115_S71_L001_R1_001	0.424	0.072	0
143	CAT_52508_117_S168_L001_R1_001	0.042	0.006	0.333
144	CAT_52508_117_S72_L001_R1_001	0.128	0.018	0.111
145	CAT_52508_119_S169_L001_R1_001	0.358	0.06	0.033
146	CAT_52508_119_S73_L001_R1_001	0.72	0.116	0.017
147	CAT_52508_127_S170_L001_R1_001	0.48	0.082	0.073
148	CAT_52508_127_S74_L001_R1_001	0.852	0.122	0.328
149	CAT_52508_129_S171_L001_R1_001	0.206	0.032	0.062
150	CAT_52508_129_S75_L001_R1_001	0.512	0.088	0.045
151	CAT_52508_131_S172_L001_R1_001	0.356	0.06	0.133
152	CAT_52508_131_S76_L001_R1_001	0.57	0.088	0.068
153	CAT_52508_134_S173_L001_R1_001	0.234	0.03	0
154	CAT_52508_134_S77_L001_R1_001	0.346	0.05	0
155	CAT_52508_135_S174_L001_R1_001	0.048	0.006	0.333
156	CAT_52508_135_S78_L001_R1_001	0.064	0.014	0.143
157	CAT_52508_139_S175_L001_R1_001	0.304	0.042	0.095
158	CAT_52508_139_S79_L001_R1_001	0.648	0.096	0
159	CAT_52508_143_S176_L001_R1_001	0.356	0.056	0.179
160	CAT_52508_143_S80_L001_R1_001	0.538	0.09	0.089
