Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	85	50	0.59
Tpa_0012	4030	270	0.07
Tpa_0024	193	0	0.00
Tpa_0035	421	45	0.11
Tpa_0037	1166	13	0.01
Tpa_0095	20472	6490	0.32
Tpa_0151	12584	10335	0.82
Tpa_0183	1454	970	0.67
Tpa_0186	1633	52	0.03
Tpa_0215	106	0	0.00
Tpa_0226	7	4	0.57
Tpa_0228	1561	8	0.01
Tpa_0263	482	44	0.09
Tpa_0269	2740	16	0.01
Tpa_0272	42	0	0.00
Tpa_0301	8212	8008	0.98
Tpa_0342	971	814	0.84
Tpa_0346	1665	20	0.01
Tpa_0358	286	138	0.48
Tpa_0366	74606	541	0.01
Tpa_0367	267	61	0.23
Tpa_0371	947	255	0.27
Tpa_0395	316	257	0.81
Tpa_0409	1771	1	0.00
Tpa_0427	174	137	0.79
Tpa_0429	1276	24	0.02
Tpa_0438	4012	27	0.01
Tpa_0439	661	543	0.82
Tpa_0474	44	2	0.05
Tpa_0492	1744	4	0.00
Tpa_0500	843	2	0.00
Tpa_0540	11065	8	0.00
Tpa_0547	4268	236	0.06
Tpa_0556	4266	3	0.00
Tpa_0569	791	497	0.63
Tpa_0584	3622	29	0.01
Tpa_0592	11592	4727	0.41
Tpa_0650	44612	17	0.00
Tpa_0671	244	216	0.89
Tpa_0678	34	3	0.09
Tpa_0687	402	59	0.15
Tpa_0730	880	33	0.04
Tpa_0743	144	140	0.97
Tpa_0763	680	145	0.21
Tpa_0768	356	25	0.07
Tpa_0791	18510	202	0.01
Tpa_0826	918	26	0.03
Tpa_0866	16657	12559	0.75
Tpa_0868	3	0	0.00
Tpa_0882	1	1	1.00
Tpa_0888	71825	218	0.00
Tpa_0895	898	11	0.01
Tpa_0905	2747	251	0.09
Tpa_0912	466	0	0.00
Tpa_0929	1720	5	0.00
Tpa_0936	23674	48	0.00
Tpa_0953	103163	5404	0.05
Tpa_0970	38	0	0.00
Tpa_0973	66894	0	0.00
Tpa_0979	65189	24	0.00
Tpa_1007	202	8	0.04
Tpa_1022	1810	44	0.02
Tpa_1042	14	1	0.07
Tpa_1071	2657	33	0.01
Tpa_1077	29530	345	0.01
Tpa_1082	23557	19409	0.82
Tpa_1098	11	0	0.00
Tpa_1112	1797	42	0.02
Tpa_1136	1	1	1.00
Tpa_1144	545	74	0.14
Tpa_1154	722	89	0.12
Tpa_1156	2	0	0.00
Tpa_1187	81	54	0.67
Tpa_1268	768	111	0.14
Tpa_1290	0	0	NA
Tpa_1304	175	15	0.09
Tpa_1305	209	0	0.00
Tpa_1310	639	9	0.01
Tpa_1312	15307	391	0.03
Tpa_1320	524	5	0.01
Tpa_1341	8955	2	0.00
Tpa_1357	2587	155	0.06
Tpa_1359	496	45	0.09
Tpa_1394	6	4	0.67
Tpa_1404	144465	1	0.00
Tpa_1443	185	2	0.01
Tpa_1486	59902	138	0.00
Tpa_1515	1611	75	0.05
Tpa_1528	5279	22	0.00
Tpa_1542	60448	273	0.00
Tpa_1548	609	13	0.02
Tpa_1550	10439	673	0.06
Tpa_1585	17870	14852	0.83
Tpa_1593	1022	60	0.06
Tpa_1606	925	45	0.05
Tpa_1638	4000	17	0.00
Tpa_1646	25273	339	0.01
Tpa_1662	12630	215	0.02
Tpa_1678	5017	1422	0.28
Tpa_1689	4223	165	0.04
Tpa_1703	6	0	0.00
Tpa_1731	18874	1434	0.08
Tpa_1774	1151	324	0.28
Tpa_1775	7098	132	0.02
Tpa_1804	78806	1310	0.02
Tpa_1818	1760	8	0.00
Tpa_1831	473	445	0.94
Tpa_1832	11	11	1.00
Tpa_1843	30084	27	0.00
Tpa_1847	43656	0	0.00
Tpa_1891	1152	182	0.16
Tpa_1896	3214	42	0.01
Tpa_1917	654	6	0.01
Tpa_1930	102	76	0.75
Tpa_1966	377	69	0.18
Tpa_2006	4021	3822	0.95
Tpa_2010	30745	41	0.00
Tpa_2021	83786	1027	0.01
Tpa_2034	18	15	0.83
Tpa_2040	2917	1816	0.62
Tpa_2041	24549	888	0.04
Tpa_2073	1613	1	0.00
Tpa_2076	1401	226	0.16
Tpa_2096	52	32	0.62
Tpa_2128	49	28	0.57
Tpa_2157	885	534	0.60
Tpa_2180	5364	106	0.02
Tpa_2194	37	22	0.59
Tpa_2207	101	86	0.85
Tpa_2254	2627	24	0.01
Tpa_2278	182	78	0.43
Tpa_2334	23228	0	0.00
Tpa_2344	15974	1961	0.12
Tpa_2353	550	351	0.64
Tpa_2368	41172	1316	0.03
Tpa_2412	20486	83	0.00
Tpa_2417	415	102	0.25
Tpa_2453	138	0	0.00
Tpa_2458	1284	233	0.18
Tpa_2460	51408	0	0.00
Tpa_2470	23305	221	0.01
Tpa_2483	50628	47	0.00
Tpa_2498	3995	7	0.00
Tpa_2509	2260	2134	0.94
Tpa_2518	878	25	0.03
Tpa_2519	474	10	0.02
Tpa_2523	23047	0	0.00
Tpa_2581	1248	603	0.48
Tpa_2601	4074	3932	0.97
Tpa_2608	66638	940	0.01
Tpa_2636	723	15	0.02
Tpa_2639	60302	2	0.00
Tpa_2664	34407	16	0.00
Tpa_2702	8045	543	0.07
Tpa_2712	27862	4302	0.15
Tpa_2734	7095	443	0.06
Tpa_2741	2	0	0.00
Tpa_2745	23481	2669	0.11
Tpa_2763	194	156	0.80
Tpa_2845	15	1	0.07
Tpa_2854	4429	0	0.00
