Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52507_184_S27_L001_R1_001	224890	35034	102577	87279	0.16	0.46	0.39	0.786	0.104	0.173
CAT_52507_240_S29_L001_R1_001	113173	28388	 76542	 8243	0.25	0.68	0.07	0.580	0.080	0.050
CAT_52507_362_S33_L001_R1_001	111786	22247	 80022	 9517	0.20	0.72	0.09	0.564	0.094	0.128
CAT_52507_385_S1_L001_R1_001	156584	39342	104615	12627	0.25	0.67	0.08	0.668	0.100	0.080
CAT_52507_392_S2_L001_R1_001	149225	36396	106463	 6366	0.24	0.71	0.04	0.572	0.084	0.000
CAT_52507_397_S3_L001_R1_001	204231	38088	147343	18800	0.19	0.72	0.09	0.656	0.102	0.059
CAT_52507_401_S4_L001_R1_001	184046	29685	152579	 1782	0.16	0.83	0.01	0.094	0.020	0.100
CAT_52507_406_S5_L001_R1_001	167900	31033	121789	15078	0.18	0.73	0.09	0.672	0.090	0.067
CAT_52507_407_S6_L001_R1_001	 95517	13748	 77612	 4157	0.14	0.81	0.04	0.156	0.018	0.111
CAT_52507_411_S7_L001_R1_001	 93444	20062	 64750	 8632	0.21	0.69	0.09	0.530	0.088	0.091
CAT_52507_413_S8_L001_R1_001	136431	23552	 92691	20188	0.17	0.68	0.15	0.680	0.094	0.085
CAT_52507_414_S9_L001_R1_001	 90625	20471	 68300	 1854	0.23	0.75	0.02	0.162	0.028	0.071
CAT_52507_418_S11_L001_R1_001	132989	23702	 87185	22102	0.18	0.66	0.17	0.720	0.100	0.080
CAT_52507_422_S12_L001_R1_001	167174	36415	125125	 5634	0.22	0.75	0.03	0.348	0.052	0.038
CAT_52507_425_S13_L001_R1_001	 88963	23637	 60476	 4850	0.27	0.68	0.05	0.404	0.068	0.088
CAT_52507_429_S14_L001_R1_001	 80301	20393	 55764	 4144	0.25	0.69	0.05	0.454	0.082	0.049
CAT_52507_431_S15_L001_R1_001	130908	25412	 85731	19765	0.19	0.65	0.15	0.726	0.100	0.140
CAT_52507_440_S16_L001_R1_001	130286	25198	 93685	11403	0.19	0.72	0.09	0.654	0.088	0.023
CAT_52507_442_S17_L001_R1_001	186399	32199	122244	31956	0.17	0.66	0.17	0.754	0.096	0.083
CAT_52507_445_S18_L001_R1_001	114301	18645	 57425	38231	0.16	0.50	0.33	0.788	0.108	0.130
CAT_52507_465_S19_L001_R1_001	179719	30607	 89301	59811	0.17	0.50	0.33	0.736	0.128	0.172
CAT_52507_467_S20_L001_R1_001	156460	26701	 94930	34829	0.17	0.61	0.22	0.704	0.104	0.135
CAT_52507_472_S21_L001_R1_001	128384	32855	 90102	 5427	0.26	0.70	0.04	0.416	0.074	0.054
CAT_52507_473_S22_L001_R1_001	215928	31890	111893	72145	0.15	0.52	0.33	0.734	0.104	0.173
CAT_52507_477_S23_L001_R1_001	120132	24866	 87508	 7758	0.21	0.73	0.06	0.562	0.102	0.020
CAT_52507_479_S24_L001_R1_001	 83185	 9511	 45270	28404	0.11	0.54	0.34	0.666	0.100	0.080
CAT_52507_484_S25_L001_R1_001	176419	31700	104516	40203	0.18	0.59	0.23	0.798	0.130	0.123
CAT_52508_002_S34_L001_R1_001	118306	30461	 78785	 9060	0.26	0.67	0.08	0.602	0.110	0.000
CAT_52508_004_S35_L001_R1_001	171462	32696	134619	 4147	0.19	0.79	0.02	0.172	0.036	0.056
CAT_52508_014_S37_L001_R1_001	105176	26033	 76298	 2845	0.25	0.73	0.03	0.270	0.038	0.053
CAT_52508_019_S39_L001_R1_001	110536	24566	 81298	 4672	0.22	0.74	0.04	0.338	0.058	0.103
