CAT_52507_184_S123_L001_R1_001	CAT_52507_212_S124_L001_R1_001	CAT_52507_240_S125_L001_R1_001	CAT_52507_271_S126_L001_R1_001	CAT_52507_351_S127_L001_R1_001	CAT_52507_356_S128_L001_R1_001	CAT_52507_362_S129_L001_R1_001	CAT_52507_385_S97_L001_R1_001	CAT_52507_392_S98_L001_R1_001	CAT_52507_397_S99_L001_R1_001	CAT_52507_401_S100_L001_R1_001	CAT_52507_406_S101_L001_R1_001	CAT_52507_407_S102_L001_R1_001	CAT_52507_411_S103_L001_R1_001	CAT_52507_413_S104_L001_R1_001	CAT_52507_414_S105_L001_R1_001	CAT_52507_415_S106_L001_R1_001	CAT_52507_418_S107_L001_R1_001	CAT_52507_422_S108_L001_R1_001	CAT_52507_425_S109_L001_R1_001	CAT_52507_429_S110_L001_R1_001	CAT_52507_431_S111_L001_R1_001	CAT_52507_440_S112_L001_R1_001	CAT_52507_442_S113_L001_R1_001	CAT_52507_445_S114_L001_R1_001	CAT_52507_465_S115_L001_R1_001	CAT_52507_467_S116_L001_R1_001	CAT_52507_472_S117_L001_R1_001	CAT_52507_473_S118_L001_R1_001	CAT_52507_477_S119_L001_R1_001	CAT_52507_479_S120_L001_R1_001	CAT_52507_484_S121_L001_R1_001	CAT_52507_485_S122_L001_R1_001	CAT_52508_002_S130_L001_R1_001	CAT_52508_004_S131_L001_R1_001	CAT_52508_011_S132_L001_R1_001	CAT_52508_014_S133_L001_R1_001	CAT_52508_017_S134_L001_R1_001	CAT_52508_019_S135_L001_R1_001	CAT_52508_022_S136_L001_R1_001	CAT_52508_024_S137_L001_R1_001	CAT_52508_025_S138_L001_R1_001	CAT_52508_027_S139_L001_R1_001	CAT_52508_031_S140_L001_R1_001	CAT_52508_033_S141_L001_R1_001	CAT_52508_036_S142_L001_R1_001	CAT_52508_039_S143_L001_R1_001	CAT_52508_040_S144_L001_R1_001	CAT_52508_043_S145_L001_R1_001	CAT_52508_046_S146_L001_R1_001	CAT_52508_047_S147_L001_R1_001	CAT_52508_052_S148_L001_R1_001	CAT_52508_056_S149_L001_R1_001	CAT_52508_062_S150_L001_R1_001	CAT_52508_064_S151_L001_R1_001	CAT_52508_065_S152_L001_R1_001	CAT_52508_069_S153_L001_R1_001	CAT_52508_070_S154_L001_R1_001	CAT_52508_078_S155_L001_R1_001	CAT_52508_079_S156_L001_R1_001	CAT_52508_086_S157_L001_R1_001	CAT_52508_087_S158_L001_R1_001	CAT_52508_088_S159_L001_R1_001	CAT_52508_090_S160_L001_R1_001	CAT_52508_091_S161_L001_R1_001	CAT_52508_101_S162_L001_R1_001	CAT_52508_105_S163_L001_R1_001	CAT_52508_106_S164_L001_R1_001	CAT_52508_111_S165_L001_R1_001	CAT_52508_114_S166_L001_R1_001	CAT_52508_115_S167_L001_R1_001	CAT_52508_117_S168_L001_R1_001	CAT_52508_119_S169_L001_R1_001	CAT_52508_127_S170_L001_R1_001	CAT_52508_129_S171_L001_R1_001	CAT_52508_131_S172_L001_R1_001	CAT_52508_134_S173_L001_R1_001	CAT_52508_135_S174_L001_R1_001	CAT_52508_139_S175_L001_R1_001	CAT_52508_143_S176_L001_R1_001	CAT_52508_145_S177_L001_R1_001	CAT_52508_149_S178_L001_R1_001	CAT_52508_156_S179_L001_R1_001	CAT_52508_157_S180_L001_R1_001	CAT_52508_158_S181_L001_R1_001	CAT_52508_167_S182_L001_R1_001	CAT_52508_168_S183_L001_R1_001	CAT_52508_173_S184_L001_R1_001	CAT_52508_174_S185_L001_R1_001	CAT_52508_176_S186_L001_R1_001	CAT_52508_179_S187_L001_R1_001	CAT_52508_182_S188_L001_R1_001	CAT_52508_183_S189_L001_R1_001	CAT_52508_189_S190_L001_R1_001	CAT_52508_201_S191_L001_R1_001
Tpa_0010_1	0,0	1,3	0,0	0,0	0,0	3,0	0,0	1,0	0,0	5,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	1,0	0,0	1,0	2,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,1	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,1	0,0	1,0	0,0	1,0	0,0	0,0	1,0	4,3	0,0	1,0	0,1	2,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	3,0	1,0	0,0
Tpa_0012_1	0,5	0,27	0,3	0,6	0,3	0,22	0,1	0,8	0,2	2,1	0,0	0,0	0,2	0,2	0,2	0,0	0,6	0,7	0,0	0,1	0,0	0,0	0,2	0,1	0,0	0,6	0,2	0,0	0,5	0,0	0,1	0,4	0,6	0,0	0,0	0,13	0,1	0,4	0,1	0,0	0,0	0,1	0,3	0,0	0,2	0,1	0,0	0,3	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,4	0,0	0,3	0,1	0,0	0,2	0,5	0,5	0,0	0,0	0,6	0,4	0,0	0,0	0,1	0,1	0,2	0,14	0,0	0,3	0,2	0,0	0,3	0,1	0,31	0,4	0,2	0,4	0,2	0,0	0,0	0,0	0,1	0,6	0,0	0,1	0,1	0,4	0,0
Tpa_0024_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0035_1	0,1	0,5	0,0	0,0	0,0	0,4	0,1	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,1	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,1	0,0
Tpa_0037_1	0,0	2,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0095_1	0,262	0,197	0,30	0,121	0,160	0,267	17,23	0,52	0,28	0,71	0,0	0,35	0,6	0,62	0,72	0,3	0,63	0,94	0,3	0,6	5,5	92,0	0,17	1,74	38,51	0,258	0,125	0,15	1,178	0,20	0,102	0,215	0,82	0,39	9,15	1,78	0,5	0,150	0,48	0,1	0,17	0,27	23,23	0,13	0,38	0,157	0,19	0,12	0,20	0,11	0,11	0,64	8,4	0,5	0,6	0,16	0,176	0,31	0,45	0,185	0,2	0,74	0,257	0,108	0,1	0,1	0,124	0,40	0,8	0,0	0,9	0,1	32,19	0,246	0,42	0,25	0,9	0,0	7,14	0,30	149,156	0,70	0,120	0,376	0,28	0,0	0,0	0,1	65,103	1,57	0,35	0,36	0,69	0,64	0,3
Tpa_0151_1	0,238	0,476	0,36	0,165	0,119	0,314	0,22	0,118	0,138	0,193	0,2	0,127	0,20	22,27	0,252	0,8	0,74	0,237	0,16	0,52	5,7	0,131	0,24	0,107	0,155	0,321	0,177	0,30	0,222	1,59	0,120	0,186	0,207	0,57	0,36	0,196	0,13	0,235	0,26	0,0	0,30	22,32	0,109	1,54	1,217	0,210	0,52	0,50	0,48	0,50	0,33	0,216	0,15	0,33	0,21	0,52	0,144	0,51	0,111	0,164	0,10	0,87	0,249	0,150	2,1	0,9	0,157	35,47	0,11	0,3	0,25	0,0	0,80	0,246	0,40	0,76	0,12	0,1	0,26	0,63	1,840	0,75	1,157	259,262	0,61	0,0	0,2	0,0	0,190	0,105	0,28	0,44	41,58	0,186	0,8
Tpa_0183_1	16,0	148,0	2,1	26,0	7,0	45,45	0,0	31,0	43,0	36,0	0,0	3,0	0,0	0,0	7,0	0,0	5,4	13,0	4,0	0,1	0,0	3,0	2,0	2,0	7,1	8,5	2,0	2,0	12,0	4,0	0,3	2,0	1,8	0,0	0,0	81,0	0,0	70,0	2,0	0,0	0,0	1,0	2,2	1,0	7,4	12,0	1,0	1,0	0,1	1,0	1,0	11,0	1,0	0,1	1,0	1,0	1,1	6,0	0,0	5,0	1,0	2,0	75,0	2,1	0,0	0,0	1,5	1,1	1,0	0,0	0,0	0,0	0,0	40,0	1,1	2,0	1,0	0,0	1,0	3,0	19,19	0,19	9,0	26,0	1,0	0,0	0,0	0,0	5,0	0,1	0,2	1,2	0,3	3,7	0,0
Tpa_0186_1	0,0	0,9	0,0	0,0	0,0	0,3	0,0	0,2	0,1	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0,1	0,0	0,6	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	1,2	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,0
Tpa_0215_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0226_1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0228_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0
Tpa_0263_1	0,1	0,5	0,0	0,0	0,1	1,1	0,2	0,0	0,1	0,4	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,1	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	0,0	0,2	1,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	1,1	0,2	0,0
Tpa_0269_1	0,0	0,2	0,0	0,1	0,0	1,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0272_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0301_1	262,0	284,0	70,0	125,0	128,0	246,0	31,3	85,0	88,0	225,0	0,0	58,1	24,0	69,0	112,0	6,0	86,0	134,0	14,0	15,0	11,0	102,0	16,0	126,0	132,0	235,0	118,0	20,0	202,0	68,0	116,0	206,0	219,0	71,0	47,0	148,0	16,2	140,0	39,0	5,0	40,0	53,0	57,0	25,0	63,0	173,1	78,0	29,0	55,0	18,0	17,0	188,1	31,10	14,0	19,0	41,0	111,0	40,0	70,0	204,0	8,0	43,0	264,0	116,0	2,0	7,0	143,0	62,0	14,0	7,0	19,0	6,1	83,0	213,0	24,6	27,0	31,0	0,0	56,0	80,0	262,1	89,0	172,0	283,1	25,0	1,0	2,0	1,0	174,0	66,0	53,0	42,0	61,0	109,1	10,0
Tpa_0342_1	7,5	50,0	0,3	9,1	5,4	17,16	1,0	6,0	12,0	10,0	0,0	12,0	0,0	5,0	13,0	2,0	6,1	5,7	0,0	1,0	0,3	10,0	3,0	0,4	6,12	1,4	8,0	0,2	2,1	2,0	3,1	4,0	16,0	6,0	0,0	20,0	0,0	10,6	0,0	0,0	3,0	1,0	8,0	1,0	6,5	7,7	2,0	1,0	2,5	11,0	1,1	23,0	5,0	0,1	1,0	10,0	3,0	2,0	2,0	0,22	0,0	1,0	0,35	11,0	0,0	0,0	17,0	5,0	0,0	0,0	0,0	0,0	4,0	20,14	1,0	5,0	0,0	0,0	0,1	6,3	140,1	5,4	7,3	31,0	1,0	0,0	0,0	0,0	10,0	3,0	5,0	3,0	1,5	19,0	1,0
Tpa_0346_1	0,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	1,0	0,0
Tpa_0358_1	0,0	36,0	0,0	2,0	1,0	0,0	0,0	0,4	1,0	8,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	5,0	0,0	0,0	0,0	1,0	0,0	2,0	2,0	0,0	1,0	0,0	1,0	1,0	0,0	2,0	6,0	1,0	0,0	8,0	0,0	2,0	0,1	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	7,0	0,0	0,0	0,0	1,0	3,0	0,0	4,0	1,0	0,0	0,0	2,0	1,0	0,0	0,0	2,0	1,0	0,0	0,0	0,0	0,0	1,0	3,0	0,0	0,0	0,0	0,0	0,0	1,0	6,0	1,0	1,0	3,0	0,0	0,0	0,0	0,0	0,3	2,0	2,0	0,0	0,0	3,0	0,0
Tpa_0366_1	1,0	0,0	3,0	6,0	9,0	25,0	0,0	9,0	2,0	5,0	0,0	5,0	1,1	1,0	6,0	0,0	3,0	14,0	1,1	1,0	2,0	2,0	3,0	1,0	12,0	9,0	4,0	0,0	8,0	2,0	8,0	11,0	11,0	3,0	2,0	0,0	1,0	7,0	1,0	0,0	1,0	6,0	1,0	2,0	4,0	14,0	0,0	1,2	4,0	1,0	0,0	16,0	3,0	1,0	2,0	2,0	1,2	1,0	11,0	15,0	0,0	1,0	17,0	12,0	0,0	0,0	15,0	9,0	0,0	0,0	2,0	0,0	4,0	12,0	2,0	2,0	1,0	0,0	1,1	2,0	46,37	8,0	19,0	41,0	1,0	0,0	0,0	0,0	11,0	3,2	0,0	3,0	4,0	13,0	1,0
