	90763_231A_S1_L001_R1_001	90763_231B_S33_L001_R1_001	90763_231C_S65_L001_R1_001	90763_232A_S2_L001_R1_001	90763_232B_S34_L001_R1_001	90763_232C_S66_L001_R1_001	90763_236A_S3_L001_R1_001	90763_236B_S35_L001_R1_001	90763_236C_S67_L001_R1_001	90763_237A_S4_L001_R1_001	90763_237B_S36_L001_R1_001	90763_237C_S68_L001_R1_001	90763_238A_S5_L001_R1_001	90763_238B_S37_L001_R1_001	90763_238C_S69_L001_R1_001	90768_005A_S6_L001_R1_001	90768_005B_S38_L001_R1_001	90768_005C_S70_L001_R1_001	90768_009A_S7_L001_R1_001	90768_009B_S39_L001_R1_001	90768_009C_S71_L001_R1_001	90768_014A_S8_L001_R1_001	90768_014B_S40_L001_R1_001	90768_014C_S72_L001_R1_001	90768_015A_S9_L001_R1_001	90768_015B_S41_L001_R1_001	90768_015C_S73_L001_R1_001	90768_018A_S10_L001_R1_001	90768_018B_S42_L001_R1_001	90768_018C_S74_L001_R1_001	90768_027A_S11_L001_R1_001	90768_027B_S43_L001_R1_001	90768_027C_S75_L001_R1_001	90768_029A_S12_L001_R1_001	90768_029B_S44_L001_R1_001	90768_029C_S76_L001_R1_001	90768_034A_S13_L001_R1_001	90768_034B_S45_L001_R1_001	90768_034C_S77_L001_R1_001	90768_040A_S14_L001_R1_001	90768_040B_S46_L001_R1_001	90768_040C_S78_L001_R1_001	90768_042A_S15_L001_R1_001	90768_042B_S47_L001_R1_001	90768_042C_S79_L001_R1_001	90768_044A_S16_L001_R1_001	90768_044B_S48_L001_R1_001	90768_044C_S80_L001_R1_001	90768_054A_S17_L001_R1_001	90768_054B_S49_L001_R1_001	90768_054C_S81_L001_R1_001	90768_055A_S18_L001_R1_001	90768_055B_S50_L001_R1_001	90768_055C_S82_L001_R1_001	90768_056A_S19_L001_R1_001	90768_056B_S51_L001_R1_001	90768_056C_S83_L001_R1_001	90768_057A_S20_L001_R1_001	90768_057B_S52_L001_R1_001	90768_057C_S84_L001_R1_001	90768_061A_S21_L001_R1_001	90768_061B_S53_L001_R1_001	90768_061C_S85_L001_R1_001	90768_064A_S22_L001_R1_001	90768_064B_S54_L001_R1_001	90768_064C_S86_L001_R1_001	90768_067A_S23_L001_R1_001	90768_067B_S55_L001_R1_001	90768_067C_S87_L001_R1_001	90768_075A_S24_L001_R1_001	90768_075B_S56_L001_R1_001	90768_075C_S88_L001_R1_001	90768_076A_S25_L001_R1_001	90768_076B_S57_L001_R1_001	90768_076C_S89_L001_R1_001	90768_077A_S26_L001_R1_001	90768_077B_S58_L001_R1_001	90768_077C_S90_L001_R1_001	90768_078A_S27_L001_R1_001	90768_078B_S59_L001_R1_001	90768_078C_S91_L001_R1_001	90768_083A_S28_L001_R1_001	90768_083B_S60_L001_R1_001	90768_083C_S92_L001_R1_001	90768_084A_S29_L001_R1_001	90768_084B_S61_L001_R1_001	90768_084C_S93_L001_R1_001	90768_088A_S30_L001_R1_001	90768_088B_S62_L001_R1_001	90768_088C_S94_L001_R1_001	90768_090A_S31_L001_R1_001	90768_090B_S63_L001_R1_001	90768_090C_S95_L001_R1_001	90768_104A_S32_L001_R1_001	90768_104B_S64_L001_R1_001	90768_104C_S96_L001_R1_001
Tpa_0010_1	2,0	3,0	1,0	1,11	2,4	0,0	9,0	50,0	53,0	6,0	0,0	2,0	10,0	0,0	3,0	3,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	4,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	2,1	0,0	0,1	2,2	1,0	0,2	2,0	0,0	0,0	12,0	0,0	1,0	1,0	0,0	1,0	9,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	2,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	0,0	17,22	0,0	1,1	4,0	0,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_0012_1	0,31	0,6	0,2	0,15	0,4	0,0	0,64	0,272	0,374	0,0	0,0	0,1	0,4	0,1	0,3	0,4	0,1	0,7	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,5	0,1	0,0	0,0	0,0	0,0	0,5	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,1	0,15	0,0	0,5	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0024_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0035_1	0,31	0,4	0,3	0,25	0,14	0,1	62,24	108,54	116,58	0,1	0,0	0,1	0,6	0,1	0,2	0,4	0,1	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,2	0,0	0,0	0,4	0,1	0,0	0,1	0,0	0,0	0,9	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,3	0,0	0,0	0,3	0,0	0,0	0,2	0,0	0,1	0,3	0,0	0,0	0,33	0,0	1,0	0,1	0,0	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0037_1	1,0	0,0	0,0	4,0	1,0	1,0	0,0	3,1	4,4	2,0	0,0	0,0	0,0	2,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	1,0	0,0	0,0	0,1	0,0	0,0	0,0	3,0	0,1	1,2	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,1	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0095_1	0,146	0,164	0,104	0,38	0,48	0,6	0,32	0,647	1,600	0,1	0,2	0,1	1,1	1,2	0,1	0,18	0,28	0,37	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,6	0,2	0,12	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,1	0,1	0,1	0,10	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0,0	0,0	0,2	0,0	0,1	0,3	0,1	0,4	0,2	0,0	0,0	2,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0151_1	0,151	0,355	0,154	0,84	1,46	1,3	0,188	0,1666	1,2133	0,1	0,1	0,2	0,9	0,3	0,6	0,142	0,70	0,116	0,0	0,1	0,0	0,0	0,0	0,0	0,2	0,2	0,0	0,2	0,0	0,0	0,4	0,1	0,2	0,55	0,0	0,16	0,3	0,0	0,0	0,15	0,2	0,1	0,2	0,1	0,1	0,32	0,16	0,11	0,0	0,0	0,0	0,15	0,1	0,3	0,1	0,0	0,0	5,2	0,0	0,1	0,1	0,0	0,0	0,3	0,0	0,0	0,2	0,0	0,0	0,8	0,1	0,2	0,3	0,0	0,0	0,15	0,0	0,1	0,41	0,0	0,7	0,3	0,0	0,0	0,4	0,0	0,0	0,2	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,1
Tpa_0183_1	10,6	44,44	33,20	5,0	15,0	1,0	81,0	939,0	1262,0	0,0	0,0	3,0	2,0	4,0	3,0	1,4	17,9	12,14	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	5,0	1,0	0,0	0,0	0,1	1,0	3,1	0,0	0,0	0,0	1,0	9,0	6,0	0,0	0,0	0,0	2,0	1,0	3,0	0,0	0,0	0,0	0,0	0,1	1,0	0,1	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	1,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	3,0	1,0	0,0	1,0	2,0	0,0	1,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0186_1	0,12	0,8	0,3	0,11	0,4	0,1	0,38	0,139	0,227	0,0	0,1	0,0	0,4	0,0	0,3	1,2	0,4	3,1	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,1	0,0	0,3	0,0	0,3	0,0	0,0	0,0	0,6	0,1	0,0	0,0	0,0	0,0	0,2	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,1	0,1	0,1	0,0	0,1	0,0	0,1	0,0	0,8	0,0	0,3	0,0	0,0	0,0	0,3	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0215_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
